Section,,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Mar 2018,Mar 2019,Mar 2020,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Revenue,289,272,325,343,365,353,395,411,450,467,497,508,546,,,,,,,
Quarterly Results,Interest,115,113,116,125,124,135,141,150,165,187,204,217,222,,,,,,,
Quarterly Results,Expenses,76,80,86,97,89,98,110,117,118,132,129,134,139,,,,,,,
Quarterly Results,Financing Profit,98,79,123,120,153,121,144,144,167,148,164,157,186,,,,,,,
Quarterly Results,Financing Margin %,34%,29%,38%,35%,42%,34%,37%,35%,37%,32%,33%,31%,34%,,,,,,,
Quarterly Results,Other Income,2,0,1,0,0,0,0,1,1,0,1,1,1,,,,,,,
Quarterly Results,Depreciation,5,5,6,6,7,6,7,7,9,7,8,9,9,,,,,,,
Quarterly Results,Profit before tax,95,74,118,115,146,114,138,138,159,141,157,150,177,,,,,,,
Quarterly Results,Tax %,8%,20%,22%,23%,21%,22%,22%,22%,20%,22%,23%,22%,20%,,,,,,,
Quarterly Results,Net Profit,87,59,92,89,115,89,107,107,127,110,122,117,142,,,,,,,
Quarterly Results,EPS in Rs,11.14,7.52,11.65,11.25,14.63,11.28,13.49,13.55,16.05,13.89,15.38,14.75,18.00,,,,,,,
Quarterly Results,Gross NPA %,,,,,,,,,,1.00%,,,0.94%,,,,,,,
Quarterly Results,Net NPA %,,,,,,,,,,0.73%,,,0.67%,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Revenue,1103,,,,1304,,,,1609,,,,2018,494,710,903,,,,
Profit & Loss,Interest,458,,,,478,,,,591,,,,828,193,255,356,,,,
Profit & Loss,Expenses,274,,,,352,,,,442,,,,534,162,188,226,,,,
Profit & Loss,Financing Profit,371,,,,475,,,,575,,,,655,139,267,321,,,,
Profit & Loss,Financing Margin %,34%,,,,36%,,,,36%,,,,32%,28%,38%,36%,,,,
Profit & Loss,Other Income,2,,,,1,,,,2,,,,3,1,1,1,,,,
Profit & Loss,Depreciation,21,,,,24,,,,29,,,,33,6,10,20,,,,
Profit & Loss,Profit before tax,353,,,,453,,,,548,,,,625,134,258,302,,,,
Profit & Loss,Tax %,18%,,,,22%,,,,22%,,,,22%,31%,32%,18%,,,,
Profit & Loss,Net Profit,289,,,,355,,,,430,,,,491,93,176,249,,,,
Profit & Loss,EPS in Rs,36.80,,,,45.00,,,,54.36,,,,62.00,13.45,22.54,31.80,,,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,,,,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,78,,,,79,,,,79,,,,79,69,78,78,,,,
Balance Sheet,Reserves,2322,,,,2728,,,,3191,,,,3694,1121,1759,2020,,,,
Balance Sheet,Borrowing,6378,,,,8012,,,,9887,,,,12398,2755,3653,5382,,,,
Balance Sheet,Other Liabilities,181,,,,199,,,,253,,,,348,95,137,177,,,,
Balance Sheet,Total Liabilities,8959,,,,11017,,,,13410,,,,16519,4040,5627,7657,,,,
Balance Sheet,Fixed Assets,58,,,,66,,,,78,,,,116,18,23,60,,,,
Balance Sheet,CWIP,0,,,,2,,,,20,,,,11,0,0,1,,,,
Balance Sheet,Investments,0,,,,53,,,,111,,,,182,0,0,0,,,,
Balance Sheet,Other Assets,8901,,,,10897,,,,13200,,,,16210,4022,5604,7596,,,,
Balance Sheet,Total Assets,8959,,,,11017,,,,13410,,,,16519,4040,5627,7657,,,,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-1071,,,,-1135,,,,-1924,,,,-1987,-933,-1276,-1172,,,,
Cash Flows,Cash from Investing Activity,-265,,,,-463,,,,196,,,,-648,-218,-327,-342,,,,
Cash Flows,Cash from Financing Activity,1008,,,,1623,,,,1858,,,,2477,1240,1404,1705,,,,
Cash Flows,Net Cash Flow,-328,,,,26,,,,130,,,,-157,90,-198,191,,,,
,,,,,,,,,,,,,,,,,,,,,
Ratios,ROE %,13%,,,,14%,,,,14%,,,,14%,,12%,13%,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,39.19%,39.16%,39.15%,39.14%,39.13%,39.11%,39.10%,26.47%,,,,26.47%,26.47%,26.47%,26.47%
Shareholding Pattern (Quarterly),FIIs,,,,,,39.03%,37.67%,37.91%,38.83%,35.01%,35.49%,32.32%,34.80%,,,,35.88%,35.50%,33.97%,29.67%
Shareholding Pattern (Quarterly),DIIs,,,,,,10.21%,11.01%,10.91%,12.49%,14.34%,14.13%,15.29%,23.99%,,,,24.39%,25.55%,25.69%,10.75%
Shareholding Pattern (Quarterly),Public,,,,,,11.57%,12.16%,12.03%,9.53%,11.51%,11.24%,13.29%,14.76%,,,,13.26%,12.49%,13.87%,33.11%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,54261,58409,62631,60388,94788,107718,132644,151680,,,,144395,144452,147894,132792
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,50.08%,,,,39.20%,,,,39.14%,,,,26.47%,,58.29%,53.46%,,,,26.47%
Shareholding Pattern (Yearly),FIIs,31.86%,,,,39.91%,,,,38.83%,,,,34.80%,,13.13%,23.64%,,,,29.67%
Shareholding Pattern (Yearly),DIIs,8.49%,,,,9.89%,,,,12.49%,,,,23.99%,,18.71%,13.46%,,,,10.75%
Shareholding Pattern (Yearly),Public,9.57%,,,,11.00%,,,,9.53%,,,,14.76%,,9.86%,9.44%,,,,33.11%
Shareholding Pattern (Yearly),No. of Shareholders,25935,,,,50248,,,,60388,,,,151680,,12227,21719,,,,132792
,,,,,,,,,,,,,,,,,,,,,
