Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Sales,264,352,401,457,680,510,215,242,297,342,230,242,294,,,,,,,,,
Quarterly Results,Expenses,209,285,307,328,556,401,151,139,247,258,203,181,187,,,,,,,,,
Quarterly Results,Operating Profit,55,67,94,129,124,109,64,103,50,84,28,61,106,,,,,,,,,
Quarterly Results,OPM %,21%,19%,23%,28%,18%,21%,30%,42%,17%,24%,12%,25%,36%,,,,,,,,,
Quarterly Results,Other Income,11,8,14,16,15,16,28,31,42,36,41,33,37,,,,,,,,,
Quarterly Results,Interest,14,15,15,15,14,9,6,7,12,4,3,3,5,,,,,,,,,
Quarterly Results,Depreciation,3,2,3,3,3,2,2,3,3,2,2,2,2,,,,,,,,,
Quarterly Results,Profit before tax,50,58,90,127,122,114,83,123,77,113,63,89,136,,,,,,,,,
Quarterly Results,Tax %,16%,25%,30%,28%,25%,23%,21%,30%,16%,25%,25%,5%,28%,,,,,,,,,
Quarterly Results,Net Profit,41,44,63,91,92,87,65,87,65,84,47,84,97,,,,,,,,,
Quarterly Results,EPS in Rs,1.01,1.05,1.44,2.28,2.20,2.22,1.88,2.24,1.76,2.09,1.20,2.23,2.05,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,961,,,,1890,,,,1263,,,,1108,397,275,226,452,652,371,267,427,
Profit & Loss,Expenses,714,,,,1476,,,,937,,,,808,381,245,191,343,453,271,269,331,
Profit & Loss,Operating Profit,248,,,,414,,,,326,,,,301,17,29,35,109,199,101,-2,97,
Profit & Loss,OPM %,26%,,,,22%,,,,26%,,,,27%,4%,11%,16%,24%,31%,27%,-1%,23%,
Profit & Loss,Other Income,202,,,,53,,,,116,,,,123,45,66,33,51,44,46,32,26,
Profit & Loss,Interest,62,,,,58,,,,35,,,,15,1,7,21,40,56,54,57,58,
Profit & Loss,Depreciation,9,,,,11,,,,10,,,,8,12,12,8,8,8,7,7,9,
Profit & Loss,Profit before tax,379,,,,397,,,,397,,,,401,48,75,39,112,179,85,-34,55,
Profit & Loss,Tax %,21%,,,,27%,,,,24%,,,,22%,36%,35%,60%,42%,39%,50%,-64%,40%,
Profit & Loss,Net Profit,299,,,,289,,,,303,,,,313,31,49,15,66,109,43,-12,33,
Profit & Loss,EPS in Rs,5.83,,,,6.96,,,,8.09,,,,7.53,0.78,1.28,0.47,1.43,1.79,1.13,-0.19,0.86,
Profit & Loss,Dividend Payout %,22%,,,,13%,,,,20%,,,,12%,23%,14%,215%,25%,20%,75%,-191%,70%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,74,,,,74,,,,74,,,,75,50,50,50,50,50,50,50,50,
Balance Sheet,Reserves,785,,,,1015,,,,1389,,,,1688,549,588,552,605,639,644,620,625,
Balance Sheet,Borrowings,557,,,,206,,,,131,,,,36,82,158,283,305,437,450,405,506,
Balance Sheet,Other Liabilities,300,,,,486,,,,560,,,,378,202,148,139,239,226,202,224,275,
Balance Sheet,Total Liabilities,1716,,,,1781,,,,2154,,,,2177,883,943,1024,1198,1351,1347,1298,1456,
Balance Sheet,Fixed Assets,60,,,,61,,,,53,,,,49,58,43,37,40,34,83,81,59,
Balance Sheet,CWIP,2,,,,0,,,,0,,,,0,78,125,130,130,130,132,0,1,
Balance Sheet,Investments,150,,,,113,,,,277,,,,272,31,120,115,168,97,24,22,63,
Balance Sheet,Other Assets,1504,,,,1607,,,,1824,,,,1856,717,655,742,861,1090,1108,1195,1333,
Balance Sheet,Total Assets,1716,,,,1781,,,,2154,,,,2177,883,943,1024,1198,1351,1347,1298,1456,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,187,,,,448,,,,573,,,,133,40,-45,-169,94,-169,16,88,78,
Cash Flows,Cash from Investing Activity,28,,,,-102,,,,-397,,,,-115,-107,50,63,-59,87,119,83,-84,
Cash Flows,Cash from Financing Activity,-91,,,,-458,,,,-28,,,,-116,77,6,118,-17,44,-129,-137,20,
Cash Flows,Net Cash Flow,123,,,,-111,,,,148,,,,-98,10,11,12,18,-39,6,34,14,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,48,,,,64,,,,42,,,,29,131,182,199,77,54,132,112,89,
Ratios,Inventory Days,837,,,,186,,,,743,,,,599,83,915,,1398,1489,5344,2211,1545,
Ratios,Days Payable,195,,,,97,,,,181,,,,89,158,252,,340,241,396,257,301,
Ratios,Cash Conversion Cycle,690,,,,153,,,,604,,,,539,56,845,199,1134,1302,5081,2066,1334,
Ratios,Working Capital Days,264,,,,132,,,,214,,,,394,315,440,516,229,250,460,713,515,
Ratios,ROCE %,33%,,,,32%,,,,28%,,,,24%,7%,8%,7%,15%,21%,12%,2%,10%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,67.03%,67.12%,67.12%,67.12%,67.15%,67.19%,67.31%,67.31%,67.18%,66.62%,66.65%,,,,,,,,,65.09%
Shareholding Pattern (Quarterly),FIIs,,,0.57%,0.41%,0.44%,2.39%,3.72%,3.50%,3.55%,3.57%,3.71%,4.56%,3.81%,,,,,,,,,4.25%
Shareholding Pattern (Quarterly),DIIs,,,1.62%,1.62%,1.62%,1.67%,2.10%,2.09%,2.10%,2.09%,1.69%,2.15%,2.16%,,,,,,,,,2.12%
Shareholding Pattern (Quarterly),Public,,,30.77%,30.84%,30.81%,28.81%,27.02%,27.19%,27.04%,27.04%,27.40%,26.66%,27.37%,,,,,,,,,28.51%
Shareholding Pattern (Quarterly),No. of Shareholders,,,70886,71790,70948,66725,74569,78874,87458,96711,108199,100983,99601,,,,,,,,,95526
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,66.79%,,,,67.12%,,,,67.31%,,,,66.65%,,,,62.04%,63.35%,64.16%,64.58%,65.72%,65.09%
Shareholding Pattern (Yearly),FIIs,0.87%,,,,0.44%,,,,3.55%,,,,3.81%,,,,0.17%,1.27%,0.85%,0.12%,0.03%,4.25%
Shareholding Pattern (Yearly),DIIs,1.63%,,,,1.62%,,,,2.10%,,,,2.16%,,,,1.17%,1.14%,1.02%,1.09%,0.00%,2.12%
Shareholding Pattern (Yearly),Public,30.71%,,,,30.81%,,,,27.04%,,,,27.37%,,,,36.62%,34.24%,33.96%,34.21%,34.25%,28.51%
Shareholding Pattern (Yearly),No. of Shareholders,70071,,,,70948,,,,87458,,,,99601,,,,23139,31325,30360,28599,37419,95526
,,,,,,,,,,,,,,,,,,,,,,,
