Section,,Jun 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 2022,Apr 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,10.29,15.18,62.62,25.80,41.18,62.69,152.17,110.06,135.99,148.68,112.59,,,,,,,,
Quarterly Results,Expenses,8.86,12.40,57.87,22.65,35.35,55.76,132.95,94.70,117.91,141.54,93.45,,,,,,,,
Quarterly Results,Operating Profit,1.43,2.78,4.75,3.15,5.83,6.93,19.22,15.36,18.08,7.14,19.14,,,,,,,,
Quarterly Results,OPM %,13.90%,18.31%,7.59%,12.21%,14.16%,11.05%,12.63%,13.96%,13.30%,4.80%,17.00%,,,,,,,,
Quarterly Results,Other Income,0.04,0.27,-2.64,0.23,0.39,1.87,1.02,1.34,0.93,1.62,1.05,,,,,,,,
Quarterly Results,Interest,0.56,0.90,1.00,0.88,1.39,1.89,2.22,1.85,2.15,2.05,1.57,,,,,,,,
Quarterly Results,Depreciation,0.80,0.88,1.00,1.04,0.98,1.30,3.02,3.92,4.78,4.79,3.95,,,,,,,,
Quarterly Results,Profit before tax,0.11,1.27,0.11,1.46,3.85,5.61,15.00,10.93,12.08,1.92,14.67,,,,,,,,
Quarterly Results,Tax %,9.09%,26.77%,663.64%,43.15%,27.01%,21.39%,30.53%,27.90%,26.32%,-1.04%,40.56%,,,,,,,,
Quarterly Results,Net Profit,0.10,0.73,-0.42,0.82,2.80,4.41,10.43,7.88,8.89,1.94,8.73,,,,,,,,
Quarterly Results,EPS in Rs,0.10,0.70,-0.38,0.69,2.39,3.34,8.31,6.02,6.38,1.45,5.34,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,105,,,,282,,,,507,,,,,,,,
Profit & Loss,Expenses,,,93,,,,246,,,,448,,,,,,,,
Profit & Loss,Operating Profit,,,12,,,,36,,,,60,,,,,,,,
Profit & Loss,OPM %,,,11%,,,,13%,,,,12%,,,,,,,,
