Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Quarterly Results,Sales,8797,9387,8336,7866,8509,7282,6791,7310,7549,8130,8252,8614,9087,,,,,,
Quarterly Results,Expenses,3835,4250,3929,4159,4254,3935,3652,3789,3900,4184,4129,4115,4267,,,,,,
Quarterly Results,Operating Profit,4962,5137,4407,3707,4255,3347,3139,3521,3649,3946,4123,4499,4820,,,,,,
Quarterly Results,OPM %,56%,55%,53%,47%,50%,46%,46%,48%,48%,49%,50%,52%,53%,,,,,,
Quarterly Results,Other Income,277,310,367,348,354,282,223,296,273,268,187,218,227,,,,,,
Quarterly Results,Interest,66,44,51,62,176,218,232,243,262,256,303,285,251,,,,,,
Quarterly Results,Depreciation,816,731,798,807,928,801,825,905,937,844,877,905,1014,,,,,,
Quarterly Results,Profit before tax,4357,4672,3925,3186,3505,2610,2305,2669,2723,3114,3130,3527,3782,,,,,,
Quarterly Results,Tax %,33%,34%,32%,32%,26%,25%,25%,24%,25%,25%,26%,24%,21%,,,,,,
Quarterly Results,Net Profit,2928,3092,2680,2156,2583,1964,1729,2028,2038,2345,2327,2678,3003,,,,,,
Quarterly Results,EPS in Rs,6.93,7.32,6.34,5.10,6.11,4.65,4.09,4.80,4.82,5.55,5.51,6.34,7.11,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,29440,,,,34098,,,,28932,,,,34083,22629,,,,,
Profit & Loss,Expenses,13215,,,,16583,,,,15256,,,,16695,10957,,,,,
Profit & Loss,Operating Profit,16225,,,,17515,,,,13676,,,,17388,11672,,,,,
Profit & Loss,OPM %,55%,,,,51%,,,,47%,,,,51%,52%,,,,,
Profit & Loss,Other Income,1082,,,,1370,,,,1054,,,,900,1819,,,,,
Profit & Loss,Interest,290,,,,333,,,,955,,,,1095,386,,,,,
Profit & Loss,Depreciation,2917,,,,3264,,,,3468,,,,3640,2531,,,,,
Profit & Loss,Profit before tax,14100,,,,15288,,,,10307,,,,13553,10574,,,,,
Profit & Loss,Tax %,32%,,,,31%,,,,25%,,,,24%,25%,,,,,
Profit & Loss,Net Profit,9629,,,,10511,,,,7759,,,,10353,7980,,,,,
Profit & Loss,EPS in Rs,22.79,,,,24.88,,,,18.36,,,,24.50,18.89,,,,,
Profit & Loss,Dividend Payout %,79%,,,,303%,,,,71%,,,,118%,113%,,,,,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,845,,,,845,,,,845,,,,845,845,,,,,
Balance Sheet,Reserves,33436,,,,12087,,,,14350,,,,12481,31468,,,,,
Balance Sheet,Borrowings,2844,,,,11881,,,,8722,,,,10967,7201,,,,,
Balance Sheet,Other Liabilities,7545,,,,10654,,,,9978,,,,10197,6213,,,,,
Balance Sheet,Total Liabilities,44670,,,,35467,,,,33895,,,,34490,45727,,,,,
Balance Sheet,Fixed Assets,17396,,,,17622,,,,18151,,,,18608,16808,,,,,
