Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,312,410,382,388,464,496,488,471,554,462,518,534,,
Quarterly Results,Expenses,325,384,370,391,435,456,454,438,508,493,491,507,,
Quarterly Results,Operating Profit,-12,26,12,-3,29,40,34,33,46,-31,26,27,,
Quarterly Results,OPM %,-4%,6%,3%,-1%,6%,8%,7%,7%,8%,-7%,5%,5%,,
Quarterly Results,Other Income,4,5,7,-148,13,7,11,19,19,20,19,21,,
Quarterly Results,Interest,1,2,2,2,1,2,3,3,3,3,3,3,,
Quarterly Results,Depreciation,5,6,6,8,6,6,8,10,9,11,13,12,,
Quarterly Results,Profit before tax,-14,23,11,-161,34,39,35,39,52,-24,29,32,,
Quarterly Results,Tax %,-18%,34%,33%,1%,27%,25%,25%,22%,23%,-24%,12%,22%,,
Quarterly Results,Net Profit,-12,15,7,-162,25,29,26,30,40,-19,26,25,,
Quarterly Results,EPS in Rs,-0.68,1.25,0.69,-11.73,1.90,2.16,0.80,0.94,1.24,-0.57,0.80,0.77,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,1493,,,,1920,,,,2067,460,943
Profit & Loss,Expenses,,,,1470,,,,1782,,,,1998,1794,932
Profit & Loss,Operating Profit,,,,23,,,,138,,,,69,-1334,12
Profit & Loss,OPM %,,,,2%,,,,7%,,,,3%,-290%,1%
Profit & Loss,Other Income,,,,-132,,,,49,,,,79,12,21
Profit & Loss,Interest,,,,7,,,,9,,,,13,1,3
Profit & Loss,Depreciation,,,,25,,,,31,,,,45,2,7
Profit & Loss,Profit before tax,,,,-141,,,,147,,,,90,-1325,22
Profit & Loss,Tax %,,,,7%,,,,25%,,,,19%,1%,36%
Profit & Loss,Net Profit,,,,-151,,,,111,,,,73,-1332,14
Profit & Loss,EPS in Rs,,,,-10.47,,,,3.45,,,,2.24,-1306098.04,15262.14
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,,,,0%,0%,0%
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,136,,,,324,,,,325,0.01,0.01
Balance Sheet,Reserves,,,,-1323,,,,771,,,,855,-1765,-1087
Balance Sheet,Borrowings,,,,1885,,,,131,,,,136,1954,1853
Balance Sheet,Other Liabilities,,,,288,,,,413,,,,474,114,271
Balance Sheet,Total Liabilities,,,,986,,,,1640,,,,1790,303,1036
Balance Sheet,Fixed Assets,,,,252,,,,299,,,,302,21,342
Balance Sheet,CWIP,,,,0,,,,0,,,,0,0,2
Balance Sheet,Investments,,,,260,,,,292,,,,305,164,339
Balance Sheet,Other Assets,,,,474,,,,1049,,,,1183,117,354
Balance Sheet,Total Assets,,,,986,,,,1640,,,,1790,303,1036
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,-52,,,,235,,,,102,30,45
Cash Flows,Cash from Investing Activity,,,,40,,,,-470,,,,-145,-21,-505
Cash Flows,Cash from Financing Activity,,,,-14,,,,337,,,,-31,-1,481
Cash Flows,Net Cash Flow,,,,-26,,,,102,,,,-74,8,21
,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,32,,,,30,,,,23,27,28
Ratios,Inventory Days,,,,99,,,,83,,,,94,114,86
Ratios,Days Payable,,,,161,,,,185,,,,212,221,219
Ratios,Cash Conversion Cycle,,,,-30,,,,-71,,,,-95,-80,-105
Ratios,Working Capital Days,,,,13,,,,-7,,,,38,-2,-8
Ratios,ROCE %,,,,3%,,,,16%,,,,8%,,5%
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,35.34%,35.07%,35.07%,34.98%,35.03%,34.99%,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,10.12%,12.22%,13.95%,19.31%,15.44%,15.55%,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,17.58%,15.91%,17.36%,17.49%,18.45%,18.49%,,
Shareholding Pattern (Quarterly),Public,,,,,,,36.96%,36.80%,33.62%,28.23%,31.07%,30.97%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,53186,51095,44824,65724,94585,92008,,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,35.07%,,,,34.99%,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,12.22%,,,,15.55%,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,15.91%,,,,18.49%,,
Shareholding Pattern (Yearly),Public,,,,,,,,36.80%,,,,30.97%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,51095,,,,92008,,
,,,,,,,,,,,,,,,
