Section,,Mar 2011,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,3461,4789,5994,7696,9164,,,,,,,,,,,,,,,
Profit & Loss,Expenses,3436,4740,5942,7638,9201,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,25,50,52,58,-37,,,,,,,,,,,,,,,
Profit & Loss,OPM %,1%,1%,1%,1%,-0%,,,,,,,,,,,,,,,
Profit & Loss,Other Income,5,3,-0,4,11,,,,,,,,,,,,,,,
Profit & Loss,Interest,7,13,11,7,4,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,2,5,5,4,3,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,20,35,37,51,-34,,,,,,,,,,,,,,,
Profit & Loss,Tax %,36%,38%,37%,35%,-60%,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,13,15,21,33,-13,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,10.91,12.78,17.99,28.44,-9.03,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,18%,59%,17%,4%,0%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,12,12,12,12,11,,,,,,,,,,,,,,,
Balance Sheet,Reserves,33,78,114,167,94,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,85,78,63,119,56,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,86,93,103,103,132,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,216,261,291,400,293,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,54,39,39,39,8,,,,,,,,,,,,,,,
Balance Sheet,CWIP,0,0,0,0,0,,,,,,,,,,,,,,,
Balance Sheet,Investments,0,18,43,73,0,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,162,204,210,289,285,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,216,261,291,400,293,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,14,24,64,-5,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,-9,-8,20,16,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,-29,-14,-11,-43,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,-24,1,73,-32,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,5,6,6,3,1,,,,,,,,,,,,,,,
Ratios,Inventory Days,2,1,1,1,1,,,,,,,,,,,,,,,
Ratios,Days Payable,7,4,4,2,2,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,-1,3,4,2,0,,,,,,,,,,,,,,,
Ratios,Working Capital Days,3,4,4,1,2,,,,,,,,,,,,,,,
Ratios,ROCE %,,,27%,24%,-6%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,89.55%,89.55%,89.55%,89.55%,89.55%,89.55%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,0.24%,,,
Shareholding Pattern (Quarterly),Government,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.96%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
Shareholding Pattern (Quarterly),Public,,,,,,10.45%,10.44%,10.44%,10.45%,10.44%,10.44%,23.02%,24.99%,24.99%,25.00%,24.87%,24.76%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,8621,8534,8260,8239,8002,8089,10492,11034,11233,10470,9711,9570,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,74.77%,74.77%,74.84%,,,,89.55%,,,,75.00%,,,,75.00%,89.94%,89.94%,89.62%
Shareholding Pattern (Yearly),FIIs,,,0.00%,0.66%,2.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,0.00%,0.01%,0.20%,,,,0.00%,,,,0.00%,,,,0.24%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,25.23%,24.56%,22.95%,,,,10.45%,,,,24.99%,,,,24.76%,10.06%,10.06%,10.38%
Shareholding Pattern (Yearly),No. of Shareholders,,,8213,10235,8612,,,,8239,,,,11034,,,,9570,7793,7793,8570
,,,,,,,,,,,,,,,,,,,,,
