Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,179,194,168,168,236,245,200,215,252,278,,,
Quarterly Results,Expenses,107,107,105,108,140,154,137,150,160,161,,,
Quarterly Results,Operating Profit,72,87,63,60,97,91,63,64,93,117,,,
Quarterly Results,OPM %,40%,45%,38%,36%,41%,37%,31%,30%,37%,42%,,,
Quarterly Results,Other Income,19,5,1,0,4,3,5,8,8,9,,,
Quarterly Results,Interest,67,62,64,68,72,61,28,26,30,24,,,
Quarterly Results,Depreciation,21,19,19,20,26,26,27,27,28,28,,,
Quarterly Results,Profit before tax,3,10,-19,-27,3,7,13,20,44,73,,,
Quarterly Results,Tax %,52%,-43%,-43%,-43%,-21%,-581%,11%,240%,25%,25%,,,
Quarterly Results,Net Profit,1,15,-11,-16,4,47,12,-28,32,55,,,
Quarterly Results,EPS in Rs,,,,-0.91,0.21,2.10,0.52,-1.25,1.46,2.47,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,,667,,,,818,,,,944,539,166,309
Profit & Loss,Expenses,,395,,,,507,,,,608,369,171,242
Profit & Loss,Operating Profit,,272,,,,311,,,,337,170,-4,66
Profit & Loss,OPM %,,41%,,,,38%,,,,36%,32%,-3%,22%
Profit & Loss,Other Income,,50,,,,9,,,,31,12,26,35
Profit & Loss,Interest,,266,,,,265,,,,109,207,186,216
Profit & Loss,Depreciation,,82,,,,91,,,,109,110,105,100
Profit & Loss,Profit before tax,,-26,,,,-37,,,,150,-135,-269,-214
Profit & Loss,Tax %,,-94%,,,,-165%,,,,52%,-42%,-26%,-12%
Profit & Loss,Net Profit,,-2,,,,24,,,,71,-79,-199,-188
Profit & Loss,EPS in Rs,,,,,,1.07,,,,3.20,,,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,0%,0%,0%
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,144,,,,222,,,,222,144,144,144
Balance Sheet,Reserves,,211,,,,2433,,,,2504,600,400,213
Balance Sheet,Borrowings,,2444,,,,1257,,,,1457,1718,2208,2504
Balance Sheet,Other Liabilities,,217,,,,362,,,,213,657,300,205
Balance Sheet,Total Liabilities,,3016,,,,4274,,,,4397,3118,3051,3066
Balance Sheet,Fixed Assets,,2739,,,,3467,,,,3633,2557,2905,2830
Balance Sheet,CWIP,,49,,,,54,,,,256,445,0,44
Balance Sheet,Investments,,2,,,,1,,,,2,1,1,1
Balance Sheet,Other Assets,,226,,,,751,,,,505,116,146,191
Balance Sheet,Total Assets,,3016,,,,4274,,,,4397,3118,3051,3066
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,286,,,,327,,,,309,224,54,-36
Cash Flows,Cash from Investing Activity,,28,,,,-74,,,,-678,-19,-8,-63
Cash Flows,Cash from Financing Activity,,-311,,,,155,,,,-36,-195,-41,90
Cash Flows,Net Cash Flow,,3,,,,409,,,,-404,9,4,-9
,,,,,,,,,,,,,,
Ratios,Debtor Days,,24,,,,27,,,,21,22,53,35
Ratios,Inventory Days,,,,,,,,,,49,62,,
Ratios,Days Payable,,,,,,,,,,464,792,,
Ratios,Cash Conversion Cycle,,24,,,,27,,,,-394,-708,53,35
Ratios,Working Capital Days,,-41,,,,-80,,,,56,-140,-429,-104
Ratios,ROCE %,,8%,,,,7%,,,,6%,,-3%,0%
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,77.53%,77.53%,77.53%,77.53%,77.53%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,10.72%,10.58%,9.91%,9.39%,7.41%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,9.34%,9.56%,9.68%,9.65%,10.70%,,,
Shareholding Pattern (Quarterly),Public,,,,,,2.40%,2.34%,2.89%,3.44%,4.36%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,46661,41184,40072,40400,40455,,,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,77.53%,,,,77.53%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,10.72%,,,,7.41%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,9.34%,,,,10.70%,,,
Shareholding Pattern (Yearly),Public,,,,,,2.40%,,,,4.36%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,46661,,,,40455,,,
,,,,,,,,,,,,,,
