Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2023
Quarterly Results,Sales,34.33,39.39,48.71,43.07,39.16,47.85,39.16,26.36,
Quarterly Results,Expenses,35.14,38.67,47.00,39.86,38.00,44.15,40.86,28.06,
Quarterly Results,Operating Profit,-0.81,0.72,1.71,3.21,1.16,3.70,-1.70,-1.70,
Quarterly Results,OPM %,-2.36%,1.83%,3.51%,7.45%,2.96%,7.73%,-4.34%,-6.45%,
Quarterly Results,Other Income,0.65,1.28,0.38,1.62,0.78,0.36,0.72,13.64,
Quarterly Results,Interest,0.50,0.60,0.46,0.58,0.70,0.98,0.64,0.20,
Quarterly Results,Depreciation,1.06,1.07,1.14,1.21,0.94,1.13,0.71,1.09,
Quarterly Results,Profit before tax,-1.72,0.33,0.49,3.04,0.30,1.95,-2.33,10.65,
Quarterly Results,Tax %,13.37%,69.70%,30.61%,3.62%,46.67%,18.97%,-54.51%,32.02%,
Quarterly Results,Net Profit,-1.95,0.10,0.33,2.94,0.17,1.58,-1.07,7.23,
Quarterly Results,EPS in Rs,,,,,0.16,1.49,-1.01,6.81,
Quarterly Results,Raw PDF,,,,,,,,,
,,,,,,,,,,
Profit & Loss,Sales,,,,166,,,,153,149
Profit & Loss,Expenses,,,,162,,,,151,146
Profit & Loss,Operating Profit,,,,5,,,,1,3
Profit & Loss,OPM %,,,,3%,,,,1%,2%
Profit & Loss,Other Income,,,,4,,,,16,4
Profit & Loss,Interest,,,,2,,,,3,2
Profit & Loss,Depreciation,,,,4,,,,4,5
Profit & Loss,Profit before tax,,,,2,,,,11,1
Profit & Loss,Tax %,,,,33%,,,,25%,163%
Profit & Loss,Net Profit,,,,1,,,,8,-0
Profit & Loss,EPS in Rs,,,,,,,,7.45,
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,0%
,,,,,,,,,,
Balance Sheet,Equity Capital,,,,11,,,,11,11
Balance Sheet,Reserves,,,,79,,,,87,78
Balance Sheet,Borrowings,,,,36,,,,44,30
Balance Sheet,Other Liabilities,,,,43,,,,51,37
Balance Sheet,Total Liabilities,,,,169,,,,193,155
Balance Sheet,Fixed Assets,,,,90,,,,78,86
Balance Sheet,CWIP,,,,2,,,,19,0
Balance Sheet,Investments,,,,0,,,,0,0
Balance Sheet,Other Assets,,,,76,,,,96,69
Balance Sheet,Total Assets,,,,169,,,,193,155
,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,5,,,,-12,-8
Cash Flows,Cash from Investing Activity,,,,-7,,,,4,-14
Cash Flows,Cash from Financing Activity,,,,3,,,,6,23
Cash Flows,Net Cash Flow,,,,1,,,,-1,1
,,,,,,,,,,
Ratios,Debtor Days,,,,74,,,,44,70
Ratios,Inventory Days,,,,77,,,,28,84
Ratios,Days Payable,,,,188,,,,161,200
Ratios,Cash Conversion Cycle,,,,-37,,,,-89,-45
Ratios,Working Capital Days,,,,33,,,,65,33
Ratios,ROCE %,,,,3%,,,,0%,
,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,64.80%,64.80%,64.80%,
Shareholding Pattern (Quarterly),FIIs,,,,,,0.10%,0.09%,0.80%,
Shareholding Pattern (Quarterly),DIIs,,,,,,0.07%,0.07%,0.07%,
Shareholding Pattern (Quarterly),Public,,,,,,35.03%,35.02%,34.33%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,4680,4651,4729,
,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,64.80%,
Shareholding Pattern (Yearly),FIIs,,,,,,,,0.80%,
Shareholding Pattern (Yearly),DIIs,,,,,,,,0.07%,
Shareholding Pattern (Yearly),Public,,,,,,,,34.33%,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,4729,
,,,,,,,,,,
