Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021
Quarterly Results,Sales,99.42,67.59,72.54,81.05,93.79,74.13,82.53,65.26,79.77,59.89,69.90,79.44,94.98,
Quarterly Results,Expenses,83.48,60.96,65.54,72.78,84.32,66.24,74.84,63.86,72.23,59.70,63.98,72.56,85.27,
Quarterly Results,Operating Profit,15.94,6.63,7.00,8.27,9.47,7.89,7.69,1.40,7.54,0.19,5.92,6.88,9.71,
Quarterly Results,OPM %,16.03%,9.81%,9.65%,10.20%,10.10%,10.64%,9.32%,2.15%,9.45%,0.32%,8.47%,8.66%,10.22%,
Quarterly Results,Other Income,-0.48,0.27,0.51,3.71,-0.66,0.40,0.60,0.47,0.77,0.19,-0.12,0.12,0.31,
Quarterly Results,Interest,1.25,1.77,2.01,2.38,3.13,3.56,3.41,3.46,3.78,2.98,3.16,2.96,2.86,
Quarterly Results,Depreciation,3.38,3.47,3.62,4.35,4.34,4.46,4.55,-1.98,2.34,2.35,2.41,2.41,2.35,
Quarterly Results,Profit before tax,10.83,1.66,1.88,5.25,1.34,0.27,0.33,0.39,2.19,-4.95,0.23,1.63,4.81,
Quarterly Results,Tax %,30.84%,34.34%,27.13%,29.33%,17.91%,40.74%,36.36%,-71.79%,45.21%,-14.34%,373.91%,24.54%,27.03%,
Quarterly Results,Net Profit,7.50,1.08,1.37,3.72,1.10,0.16,0.22,0.67,1.20,-4.24,-0.63,1.24,3.51,
Quarterly Results,EPS in Rs,0.17,0.02,0.03,0.08,0.02,0.00,0.00,0.01,0.03,-0.09,-0.01,0.03,0.08,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,325,,,,317,,,,301,,,,304,254
Profit & Loss,Expenses,276,,,,283,,,,277,,,,281,206
Profit & Loss,Operating Profit,48,,,,34,,,,25,,,,23,48
Profit & Loss,OPM %,15%,,,,11%,,,,8%,,,,7%,19%
Profit & Loss,Other Income,1,,,,2,,,,2,,,,0,4
Profit & Loss,Interest,10,,,,9,,,,14,,,,12,21
Profit & Loss,Depreciation,14,,,,16,,,,9,,,,10,14
Profit & Loss,Profit before tax,26,,,,10,,,,3,,,,2,17
Profit & Loss,Tax %,31%,,,,28%,,,,30%,,,,107%,11%
Profit & Loss,Net Profit,18,,,,7,,,,2,,,,-0,15
Profit & Loss,EPS in Rs,0.40,,,,0.16,,,,0.05,,,,-0.00,0.45
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,45,,,,45,,,,45,,,,45,34
Balance Sheet,Reserves,222,,,,229,,,,232,,,,232,102
Balance Sheet,Borrowings,57,,,,94,,,,97,,,,92,161
Balance Sheet,Other Liabilities,81,,,,100,,,,112,,,,122,72
Balance Sheet,Total Liabilities,405,,,,468,,,,486,,,,491,369
Balance Sheet,Fixed Assets,150,,,,198,,,,194,,,,192,159
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0
Balance Sheet,Investments,0,,,,10,,,,1,,,,0,1
Balance Sheet,Other Assets,255,,,,259,,,,291,,,,299,209
Balance Sheet,Total Assets,405,,,,468,,,,486,,,,491,369
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,25,,,,23,,,,5,,,,23,38
Cash Flows,Cash from Investing Activity,-9,,,,-67,,,,6,,,,-5,-2
Cash Flows,Cash from Financing Activity,-1,,,,28,,,,-11,,,,-17,-34
Cash Flows,Net Cash Flow,14,,,,-16,,,,0,,,,1,2
,,,,,,,,,,,,,,,
Ratios,Debtor Days,114,,,,127,,,,141,,,,138,129
Ratios,Inventory Days,357,,,,433,,,,516,,,,502,451
Ratios,Days Payable,180,,,,253,,,,303,,,,306,220
Ratios,Cash Conversion Cycle,291,,,,307,,,,355,,,,334,361
Ratios,Working Capital Days,180,,,,188,,,,222,,,,218,193
Ratios,ROCE %,12%,,,,6%,,,,5%,,,,4%,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,42.07%,42.07%,42.07%,42.07%,42.07%,42.07%,42.07%,42.07%,42.07%,42.07%,42.07%,42.07%,
Shareholding Pattern (Quarterly),FIIs,,4.13%,4.23%,4.13%,4.13%,4.13%,4.02%,4.02%,4.15%,4.02%,5.52%,5.12%,4.57%,
Shareholding Pattern (Quarterly),DIIs,,4.86%,4.86%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
Shareholding Pattern (Quarterly),Public,,48.95%,48.84%,53.81%,53.81%,53.80%,53.92%,53.91%,53.78%,53.92%,52.42%,52.80%,53.36%,
Shareholding Pattern (Quarterly),No. of Shareholders,,37391,36115,34721,32721,31221,29961,30677,32191,36140,36668,48233,55417,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,42.07%,,,,42.07%,,,,42.07%,,,,42.07%,
Shareholding Pattern (Yearly),FIIs,4.17%,,,,4.13%,,,,4.15%,,,,4.57%,
Shareholding Pattern (Yearly),DIIs,4.86%,,,,0.00%,,,,0.00%,,,,0.00%,
Shareholding Pattern (Yearly),Public,48.90%,,,,53.81%,,,,53.78%,,,,53.36%,
Shareholding Pattern (Yearly),No. of Shareholders,39387,,,,32721,,,,32191,,,,55417,
,,,,,,,,,,,,,,,
