Section,,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,0.11,0.69,0.66,0.20,0.10,0.07,0.08,0.20,0.12,0.11,0.08,0.07,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,0.74,1.35,0.81,0.40,0.26,0.27,0.25,0.14,0.37,0.50,0.36,0.37,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,-0.63,-0.66,-0.15,-0.20,-0.16,-0.20,-0.17,0.06,-0.25,-0.39,-0.28,-0.30,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,-572.73%,-95.65%,-22.73%,-100.00%,-160.00%,-285.71%,-212.50%,30.00%,-208.33%,-354.55%,-350.00%,-428.57%,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,0.76,1.78,0.64,0.36,0.19,0.07,0.00,0.01,0.17,0.22,0.02,0.00,,,,,,,,,,,,,,,,
Profit & Loss,Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,0.05,0.04,0.03,0.02,0.02,0.02,0.02,0.02,0.04,0.03,0.02,0.02,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,0.08,1.08,0.46,0.14,0.01,-0.15,-0.19,0.05,-0.12,-0.20,-0.28,-0.32,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,87.50%,0.00%,15.22%,28.57%,0.00%,6.67%,0.00%,20.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,0.01,1.08,0.39,0.10,0.01,-0.15,-0.19,0.04,-0.12,-0.20,-0.29,-0.32,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,0.00,0.40,0.14,0.04,0.00,-0.06,-0.07,0.01,-0.04,-0.07,-0.11,-0.12,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,27.16,27.16,27.16,27.16,27.16,27.16,27.16,27.16,27.16,27.16,27.16,27.16,,,,,,,,,,,,,,,,
