Section,,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,54,62,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,42,49,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,13,13,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,23%,21%,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,2,5,,,,,,,,,,,,,,,,
Profit & Loss,Interest,0,0,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,3,3,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,12,15,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,25%,21%,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,9,12,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,18.33,23.60,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0%,0%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,5,5,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,97,111,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,0,0,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,7,8,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,108,125,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,38,39,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,0,0,,,,,,,,,,,,,,,,
Balance Sheet,Investments,41,63,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,30,23,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,108,125,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,9,6,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-7,-6,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-2,-2,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,1,-2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,14,32,,,,,,,,,,,,,,,,
Ratios,Inventory Days,148,151,,,,,,,,,,,,,,,,
Ratios,Days Payable,18,37,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,144,145,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,37,49,,,,,,,,,,,,,,,,
Ratios,ROCE %,,14%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,49.79%,49.79%,49.79%,49.79%,49.79%,49.79%,49.79%,49.79%,49.79%,49.79%,49.79%,49.79%,,,,
Shareholding Pattern (Quarterly),DIIs,,,12.25%,9.26%,7.49%,7.19%,4.89%,4.41%,4.41%,4.41%,4.41%,3.92%,3.92%,3.92%,,,,
Shareholding Pattern (Quarterly),Public,,,37.96%,40.94%,42.70%,43.02%,45.32%,45.80%,45.80%,45.80%,45.80%,46.28%,46.28%,46.28%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,3942,4314,4367,4286,4638,4963,4759,4967,4605,4702,5544,5713,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,49.78%,49.79%,,,,49.79%,,,,49.79%,,,,49.79%,49.79%,49.79%,49.79%,49.79%
Shareholding Pattern (Yearly),DIIs,17.05%,17.05%,,,,7.19%,,,,4.41%,,,,3.92%,17.05%,15.83%,12.81%,12.25%
Shareholding Pattern (Yearly),Public,33.18%,32.99%,,,,43.02%,,,,45.80%,,,,46.28%,33.15%,34.36%,37.40%,37.96%
Shareholding Pattern (Yearly),No. of Shareholders,2605,2802,,,,4286,,,,4967,,,,5713,2842,2888,3290,4039
,,,,,,,,,,,,,,,,,,,
