Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,746,637,569,657,794,762,783,862,974,915,850,,,,
Quarterly Results,Expenses,665,582,521,593,719,682,700,762,857,804,746,,,,
Quarterly Results,Operating Profit,81,55,48,64,74,80,82,101,117,111,104,,,,
Quarterly Results,OPM %,11%,9%,8%,10%,9%,11%,11%,12%,12%,12%,12%,,,,
Quarterly Results,Other Income,3,2,3,3,7,12,4,4,3,5,6,,,,
Quarterly Results,Interest,3,3,4,4,8,8,8,8,9,8,9,,,,
Quarterly Results,Depreciation,15,15,15,15,17,18,19,20,22,23,25,,,,
Quarterly Results,Profit before tax,67,39,32,48,57,66,60,76,89,86,76,,,,
Quarterly Results,Tax %,27%,25%,29%,27%,28%,24%,20%,25%,25%,23%,24%,,,,
Quarterly Results,Net Profit,49,29,23,35,41,50,48,57,67,66,58,,,,
Quarterly Results,EPS in Rs,2.47,1.48,1.14,1.77,2.09,2.53,2.42,2.88,3.41,3.34,2.92,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,2555,,,,2995,,,,3601,1785,1645,1544,2013
Profit & Loss,Expenses,,,2325,,,,2694,,,,3169,1559,1436,1362,1847
Profit & Loss,Operating Profit,,,231,,,,301,,,,432,226,209,182,166
Profit & Loss,OPM %,,,9%,,,,10%,,,,12%,13%,13%,12%,8%
Profit & Loss,Other Income,,,11,,,,27,,,,18,12,7,24,11
Profit & Loss,Interest,,,11,,,,29,,,,34,20,20,11,8
Profit & Loss,Depreciation,,,61,,,,69,,,,89,37,52,52,56
Profit & Loss,Profit before tax,,,170,,,,230,,,,327,181,144,143,113
Profit & Loss,Tax %,,,28%,,,,24%,,,,24%,33%,18%,26%,27%
Profit & Loss,Net Profit,,,123,,,,174,,,,248,114,107,106,83
Profit & Loss,EPS in Rs,,,6.24,,,,8.81,,,,12.56,25.58,21.03,5.22,4.11
Profit & Loss,Dividend Payout %,,,0%,,,,11%,,,,12%,0%,2%,0%,0%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,39,,,,39,,,,39,9,10,41,40
Balance Sheet,Reserves,,,604,,,,777,,,,1004,415,509,582,592
Balance Sheet,Borrowings,,,328,,,,346,,,,412,307,149,84,175
Balance Sheet,Other Liabilities,,,310,,,,406,,,,469,234,206,242,298
Balance Sheet,Total Liabilities,,,1281,,,,1568,,,,1924,965,874,948,1106
Balance Sheet,Fixed Assets,,,726,,,,992,,,,1305,560,607,603,738
Balance Sheet,CWIP,,,118,,,,64,,,,65,61,16,10,3
Balance Sheet,Investments,,,4,,,,20,,,,0,19,16,3,0
Balance Sheet,Other Assets,,,433,,,,492,,,,555,326,235,332,365
Balance Sheet,Total Assets,,,1281,,,,1568,,,,1924,965,874,948,1106
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,139,,,,303,,,,360,176,246,128,144
Cash Flows,Cash from Investing Activity,,,-161,,,,-278,,,,-339,-297,-58,-6,-80
Cash Flows,Cash from Financing Activity,,,23,,,,-16,,,,-14,119,-186,-107,-81
Cash Flows,Net Cash Flow,,,1,,,,10,,,,8,-3,2,15,-17
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,30,,,,26,,,,20,33,16,37,36
Ratios,Inventory Days,,,31,,,,32,,,,34,31,33,41,33
Ratios,Days Payable,,,35,,,,44,,,,43,39,34,55,47
Ratios,Cash Conversion Cycle,,,27,,,,13,,,,11,26,14,24,22
Ratios,Working Capital Days,,,20,,,,12,,,,9,7,-3,22,17
Ratios,ROCE %,,,20%,,,,24%,,,,28%,,23%,20%,16%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,85.00%,85.00%,85.00%,78.95%,78.95%,78.95%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,4.92%,4.48%,4.91%,9.16%,9.91%,9.94%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,3.83%,4.02%,4.20%,4.51%,4.66%,4.95%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,6.25%,6.51%,5.87%,7.38%,6.47%,6.16%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,91238,88349,76532,81907,85600,81492,,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,85.00%,,,,78.95%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,4.48%,,,,9.94%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,4.02%,,,,4.95%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,6.51%,,,,6.16%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,88349,,,,81492,,,,
,,,,,,,,,,,,,,,,
