Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,58,51,54,57,61,60,64,65,75,86,102,128,149,,,,,,,,,
Quarterly Results,Expenses,56,48,50,51,55,53,57,58,65,77,90,113,131,,,,,,,,,
Quarterly Results,Operating Profit,2,3,4,6,6,6,6,7,9,9,12,15,18,,,,,,,,,
Quarterly Results,OPM %,4%,7%,8%,10%,10%,11%,10%,11%,13%,11%,12%,12%,12%,,,,,,,,,
Quarterly Results,Other Income,6,3,3,2,7,2,4,5,3,2,4,4,7,,,,,,,,,
Quarterly Results,Interest,1,0,1,1,1,1,1,1,1,0,0,0,0,,,,,,,,,
Quarterly Results,Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
Quarterly Results,Profit before tax,6,5,5,6,10,6,8,9,10,10,15,17,23,,,,,,,,,
Quarterly Results,Tax %,16%,22%,33%,30%,18%,28%,23%,25%,26%,24%,25%,25%,24%,,,,,,,,,
Quarterly Results,Net Profit,5,4,4,4,8,4,7,7,7,8,11,13,18,,,,,,,,,
Quarterly Results,EPS in Rs,0.06,0.04,0.04,0.04,0.09,0.05,0.07,0.07,0.08,0.08,0.12,0.14,0.19,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,216,,,,222,,,,262,,,,465,115,151,173,184,185,,,,
Profit & Loss,Expenses,196,,,,202,,,,232,,,,411,104,135,155,167,168,,,,
Profit & Loss,Operating Profit,20,,,,20,,,,30,,,,54,11,16,18,17,17,,,,
Profit & Loss,OPM %,9%,,,,9%,,,,11%,,,,12%,9%,11%,11%,9%,9%,,,,
Profit & Loss,Other Income,12,,,,15,,,,14,,,,17,1,1,1,3,3,,,,
Profit & Loss,Interest,2,,,,3,,,,5,,,,1,1,0,0,0,0,,,,
Profit & Loss,Depreciation,4,,,,5,,,,5,,,,5,3,3,3,3,3,,,,
Profit & Loss,Profit before tax,26,,,,27,,,,34,,,,66,8,14,16,16,16,,,,
Profit & Loss,Tax %,24%,,,,24%,,,,25%,,,,25%,33%,33%,38%,36%,34%,,,,
Profit & Loss,Net Profit,20,,,,20,,,,25,,,,49,6,9,10,10,11,,,,
Profit & Loss,EPS in Rs,0.23,,,,0.21,,,,0.27,,,,0.53,0.07,0.12,0.13,0.13,0.13,,,,
Profit & Loss,Dividend Payout %,13%,,,,-0%,,,,-0%,,,,-0%,24%,17%,16%,15%,15%,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,86,,,,94,,,,94,,,,94,22,78,78,78,78,,,,
Balance Sheet,Reserves,136,,,,162,,,,194,,,,248,65,17,22,31,39,,,,
Balance Sheet,Borrowings,58,,,,83,,,,72,,,,5,2,3,6,6,12,,,,
Balance Sheet,Other Liabilities,28,,,,39,,,,44,,,,67,33,42,31,61,50,,,,
Balance Sheet,Total Liabilities,308,,,,378,,,,405,,,,413,123,140,138,175,180,,,,
Balance Sheet,Fixed Assets,94,,,,91,,,,120,,,,125,50,50,46,46,55,,,,
Balance Sheet,CWIP,6,,,,26,,,,-0,,,,-0,-0,-0,-0,5,0,,,,
Balance Sheet,Investments,43,,,,64,,,,66,,,,93,7,9,6,23,36,,,,
Balance Sheet,Other Assets,165,,,,197,,,,219,,,,196,66,80,85,101,89,,,,
Balance Sheet,Total Assets,308,,,,378,,,,405,,,,413,123,140,138,175,180,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,16,,,,11,,,,-6,,,,23,6,7,0,24,14,,,,
Cash Flows,Cash from Investing Activity,-27,,,,-45,,,,83,,,,-18,-0,-4,1,-23,-18,,,,
Cash Flows,Cash from Financing Activity,8,,,,35,,,,-15,,,,-68,-6,-1,1,-2,5,,,,
Cash Flows,Net Cash Flow,-2,,,,1,,,,62,,,,-63,-1,2,2,-1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,114,,,,124,,,,144,,,,84,92,71,66,91,91,,,,
Ratios,Inventory Days,51,,,,55,,,,49,,,,49,29,36,34,43,29,,,,
Ratios,Days Payable,36,,,,53,,,,56,,,,51,91,105,63,130,92,,,,
Ratios,Cash Conversion Cycle,129,,,,126,,,,137,,,,83,29,1,37,4,27,,,,
Ratios,Working Capital Days,131,,,,133,,,,152,,,,168,101,83,97,51,66,,,,
Ratios,ROCE %,,,,,10%,,,,11%,,,,19%,,15%,16%,15%,13%,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,50.57%,50.57%,50.57%,50.57%,50.57%,50.57%,50.57%,50.57%,50.57%,50.57%,50.57%,50.57%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.09%,0.10%,0.13%,0.11%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,49.43%,49.43%,49.43%,49.44%,49.44%,49.44%,49.44%,49.35%,49.34%,49.34%,49.30%,49.32%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,235517,232750,232069,227478,224925,224252,289982,325761,376530,469242,489520,484529,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,46.12%,,,,50.57%,,,,50.57%,,,,50.57%,,,,,38.98%,38.98%,38.98%,40.14%,41.18%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.08%,,,,0.11%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,,0.00%,0.00%,0.00%,0.01%,0.00%
Shareholding Pattern (Yearly),Public,53.88%,,,,49.44%,,,,49.35%,,,,49.32%,,,,,61.02%,61.02%,61.02%,59.85%,58.82%
Shareholding Pattern (Yearly),No. of Shareholders,232617,,,,227478,,,,325761,,,,484529,,,,,38397,39233,41126,39180,72736
,,,,,,,,,,,,,,,,,,,,,,,
