Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021
Quarterly Results,Sales,4.65,4.47,5.74,8.64,6.77,7.11,9.89,13.56,17.12,15.36,16.14,16.95,16.93,
Quarterly Results,Expenses,4.03,3.08,3.96,3.98,8.93,5.27,7.42,7.85,12.32,10.13,11.67,11.93,10.92,
Quarterly Results,Operating Profit,0.62,1.39,1.78,4.66,-2.16,1.84,2.47,5.71,4.80,5.23,4.47,5.02,6.01,
Quarterly Results,OPM %,13.33%,31.10%,31.01%,53.94%,-31.91%,25.88%,24.97%,42.11%,28.04%,34.05%,27.70%,29.62%,35.50%,
Quarterly Results,Other Income,0.17,0.15,-0.04,0.19,4.00,0.01,0.02,0.07,0.06,0.03,0.07,0.24,0.13,
Quarterly Results,Interest,0.03,0.27,0.25,0.09,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,
Quarterly Results,Depreciation,0.27,0.25,0.26,0.27,0.42,0.43,0.63,0.72,0.78,0.93,0.75,1.17,1.45,
Quarterly Results,Profit before tax,0.49,1.02,1.23,4.49,1.41,1.41,1.84,5.04,4.06,4.32,3.78,4.08,4.68,
Quarterly Results,Tax %,26.53%,31.37%,28.46%,12.69%,15.60%,21.28%,20.11%,-1.39%,2.71%,10.88%,13.49%,12.99%,5.98%,
Quarterly Results,Net Profit,0.36,0.70,0.88,3.93,1.19,1.11,1.48,5.10,3.96,3.85,3.27,3.55,4.41,
Quarterly Results,EPS in Rs,0.03,0.06,0.08,0.30,0.09,0.08,0.11,0.38,0.30,0.29,0.25,0.27,0.33,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,20,,,,26,,,,48,,,,65,
Profit & Loss,Expenses,17,,,,20,,,,33,,,,45,
Profit & Loss,Operating Profit,2,,,,6,,,,15,,,,21,
Profit & Loss,OPM %,12%,,,,23%,,,,31%,,,,32%,
Profit & Loss,Other Income,0,,,,4,,,,0,,,,0,
Profit & Loss,Interest,0,,,,1,,,,0,,,,0,
Profit & Loss,Depreciation,1,,,,1,,,,3,,,,4,
Profit & Loss,Profit before tax,1,,,,8,,,,12,,,,17,
Profit & Loss,Tax %,41%,,,,18%,,,,6%,,,,11%,
Profit & Loss,Net Profit,1,,,,7,,,,12,,,,15,
Profit & Loss,EPS in Rs,0.06,,,,0.51,,,,0.88,,,,1.13,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,4,,,,4,,,,13,,,,13,
Balance Sheet,Reserves,3,,,,30,,,,35,,,,51,
Balance Sheet,Borrowings,15,,,,1,,,,1,,,,0,
Balance Sheet,Other Liabilities,3,,,,4,,,,30,,,,35,
Balance Sheet,Total Liabilities,25,,,,39,,,,79,,,,100,
Balance Sheet,Fixed Assets,3,,,,5,,,,17,,,,48,
Balance Sheet,CWIP,0,,,,0,,,,10,,,,0,
Balance Sheet,Investments,14,,,,20,,,,21,,,,21,
Balance Sheet,Other Assets,8,,,,14,,,,30,,,,31,
Balance Sheet,Total Assets,25,,,,39,,,,79,,,,100,
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-1,,,,3,,,,28,,,,33,
Cash Flows,Cash from Investing Activity,-15,,,,-5,,,,-26,,,,-35,
Cash Flows,Cash from Financing Activity,15,,,,4,,,,-0,,,,-0,
Cash Flows,Net Cash Flow,-1,,,,2,,,,2,,,,-2,
,,,,,,,,,,,,,,,
Ratios,Debtor Days,112,,,,82,,,,151,,,,54,
Ratios,Inventory Days,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,112,,,,82,,,,151,,,,54,
Ratios,Working Capital Days,89,,,,111,,,,-24,,,,-25,
Ratios,ROCE %,,,,,31%,,,,30%,,,,30%,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,25.63%,25.63%,22.57%,22.57%,22.57%,22.57%,22.44%,22.44%,22.44%,22.44%,22.40%,22.23%,
Shareholding Pattern (Quarterly),FIIs,,1.40%,1.39%,1.06%,1.06%,1.05%,1.02%,0.68%,0.67%,0.38%,0.41%,0.21%,0.00%,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.36%,0.37%,
Shareholding Pattern (Quarterly),Public,,72.97%,72.97%,76.38%,76.38%,76.38%,76.41%,76.88%,76.88%,77.18%,77.15%,77.02%,77.39%,
Shareholding Pattern (Quarterly),No. of Shareholders,,6393,6526,6508,6676,6861,7359,10949,17669,25825,26404,28819,29223,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,25.63%,,,,22.57%,,,,22.44%,,,,22.23%,28.55%
Shareholding Pattern (Yearly),FIIs,1.40%,,,,1.06%,,,,0.67%,,,,0.00%,3.38%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.37%,0.00%
Shareholding Pattern (Yearly),Public,72.97%,,,,76.38%,,,,76.88%,,,,77.39%,68.08%
Shareholding Pattern (Yearly),No. of Shareholders,6415,,,,6676,,,,17669,,,,29223,8322
,,,,,,,,,,,,,,,
