Section,,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2022
Quarterly Results,Sales,250,278,250,265,305,
Quarterly Results,Expenses,121,105,103,113,109,
Quarterly Results,Operating Profit,128,173,147,152,196,
Quarterly Results,OPM %,51%,62%,59%,57%,64%,
Quarterly Results,Other Income,9,12,9,12,8,
Quarterly Results,Interest,4,3,2,1,3,
Quarterly Results,Depreciation,13,12,6,10,10,
Quarterly Results,Profit before tax,121,171,147,153,191,
Quarterly Results,Tax %,35%,26%,26%,26%,26%,
Quarterly Results,Net Profit,78,126,110,114,141,
Quarterly Results,EPS in Rs,,,2.76,2.63,3.26,
Quarterly Results,Raw PDF,,,,,,
,,,,,,,
Profit & Loss,Sales,639,,,1053,,491
Profit & Loss,Expenses,188,,,453,,156
Profit & Loss,Operating Profit,450,,,600,,335
Profit & Loss,OPM %,71%,,,57%,,68%
Profit & Loss,Other Income,10,,,35,,8
Profit & Loss,Interest,3,,,9,,3
Profit & Loss,Depreciation,13,,,41,,12
Profit & Loss,Profit before tax,444,,,585,,329
Profit & Loss,Tax %,27%,,,27%,,27%
Profit & Loss,Net Profit,325,,,427,,242
Profit & Loss,EPS in Rs,,,,9.89,,
Profit & Loss,Dividend Payout %,0%,,,25%,,0%
,,,,,,,
Balance Sheet,Equity Capital,0.40,,,86,,0.40
Balance Sheet,Reserves,509,,,976,,339
Balance Sheet,Borrowings,31,,,145,,27
Balance Sheet,Other Liabilities,64,,,296,,43
Balance Sheet,Total Liabilities,603,,,1504,,409
Balance Sheet,Fixed Assets,117,,,384,,110
Balance Sheet,CWIP,20,,,36,,0
Balance Sheet,Investments,0,,,0,,0
Balance Sheet,Other Assets,466,,,1084,,299
Balance Sheet,Total Assets,603,,,1504,,409
,,,,,,,
Cash Flows,Cash from Operating Activity,303,,,393,,194
Cash Flows,Cash from Investing Activity,-85,,,-1634,,-43
Cash Flows,Cash from Financing Activity,-162,,,1188,,-154
Cash Flows,Net Cash Flow,55,,,-52,,-2
,,,,,,,
Ratios,Debtor Days,62,,,57,,47
Ratios,Inventory Days,,,,,,
Ratios,Days Payable,,,,,,
Ratios,Cash Conversion Cycle,62,,,57,,47
Ratios,Working Capital Days,38,,,121,,32
Ratios,ROCE %,99%,,,68%,,
,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,76.55%,76.55%,
Shareholding Pattern (Quarterly),FIIs,,,,9.10%,9.87%,
Shareholding Pattern (Quarterly),DIIs,,,,5.87%,5.88%,
Shareholding Pattern (Quarterly),Public,,,,8.47%,7.69%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,187356,186402,
,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,76.55%,
Shareholding Pattern (Yearly),FIIs,,,,,9.87%,
Shareholding Pattern (Yearly),DIIs,,,,,5.88%,
Shareholding Pattern (Yearly),Public,,,,,7.69%,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,186402,
,,,,,,,
