Section,,Jun 2008,Sep 2008,Dec 2008,Mar 2009,Jun 2009,Sep 2009,Dec 2009,Mar 2010,Mar 2011,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,502,513,516,514,512,543,602,621,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,350,357,367,384,356,428,468,461,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,152,157,150,130,156,114,133,161,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,30%,30%,29%,25%,31%,21%,22%,26%,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,3,5,2,3,1,7,1,22,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,75,93,84,54,73,103,93,81,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,114,115,116,118,119,134,145,166,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,-35,-47,-48,-39,-34,-117,-103,-64,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,1%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,-35,-47,-49,-39,-34,-116,-103,-64,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,-0.16,-0.22,-0.23,-0.18,-0.16,-0.54,-0.48,-0.30,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,1950,,,,2098,2266,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,1458,,,,1748,2903,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,492,,,,350,-637,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,25%,,,,17%,-28%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,108,,,,247,1834,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,306,,,,351,359,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,463,,,,564,758,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,-169,,,,-318,80,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,1%,,,,0%,0%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,-170,,,,-318,80,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,-0.79,,,,-1.48,0.37,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,0%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,1897,,,,1897,1897,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,,-2276,,,,-2594,-2514,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,,3344,,,,3940,4653,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,,1061,,,,1566,1811,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,,4026,,,,4809,5847,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,,3196,,,,3951,4803,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,,230,,,,205,153,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,,10,,,,0,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,,591,,,,653,891,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,,4026,,,,4809,5847,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,388,,,,590,246,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,,-816,,,,-840,-536,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,421,,,,245,342,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,-7,,,,-4,52,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,47,,,,51,48,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,47,,,,51,48,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,,-93,,,,-163,-160,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,-0%,-13%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,74.36%,74.36%,74.36%,74.36%,74.36%,74.36%,74.36%,74.36%,74.36%,74.36%,74.36%,74.36%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,2.34%,2.32%,2.18%,2.16%,2.03%,2.23%,2.26%,2.46%,2.38%,2.39%,2.34%,2.53%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,0.04%,0.05%,0.04%,0.04%,0.05%,0.06%,0.05%,0.06%,0.07%,0.08%,0.09%,0.12%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,23.26%,23.26%,23.40%,23.43%,23.56%,23.35%,23.33%,23.12%,23.19%,23.16%,23.18%,22.98%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,819762,852805,837131,837251,827582,821354,808618,820372,817121,1018223,1044616,1038037,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,,74.36%,,,,74.36%,,,,74.36%,74.86%,74.36%,74.36%,74.36%,74.36%,74.36%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,,,2.16%,,,,2.46%,,,,2.53%,0.45%,0.40%,0.27%,0.00%,0.01%,1.59%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,,,0.04%,,,,0.06%,,,,0.12%,0.05%,0.09%,0.05%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,,23.43%,,,,23.12%,,,,22.98%,24.63%,25.15%,25.32%,25.63%,25.63%,24.05%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,,837251,,,,820372,,,,1038037,377720,347472,332173,322466,398794,792384
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
