Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,99,40,8,39,97,24,91,102,86,37,18,20,,,
Quarterly Results,Expenses,44,33,24,37,69,32,71,87,84,53,35,42,,,
Quarterly Results,Operating Profit,55,7,-16,1,28,-8,20,15,2,-16,-17,-22,,,
Quarterly Results,OPM %,55%,17%,-207%,3%,29%,-33%,22%,15%,3%,-43%,-99%,-108%,,,
Quarterly Results,Other Income,1,3,2,4,4,15,7,5,6,6,5,4,,,
Quarterly Results,Interest,0,1,1,3,2,1,0,0,0,1,0,0,,,
Quarterly Results,Depreciation,3,3,3,3,5,5,6,6,7,7,7,8,,,
Quarterly Results,Profit before tax,53,6,-18,-0,25,1,20,14,2,-18,-20,-26,,,
Quarterly Results,Tax %,22%,38%,-57%,1029%,25%,33%,27%,27%,25%,-24%,18%,0%,,,
Quarterly Results,Net Profit,41,4,-8,-5,19,1,15,10,1,-14,-24,-26,,,
Quarterly Results,EPS in Rs,4552.98,438.19,-3.73,-2.54,4.95,0.21,3.45,2.41,0.27,-3.19,-5.58,-5.97,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,186,,,,314,,,,161,14,35,159
Profit & Loss,Expenses,,,,138,,,,257,,,,214,26,45,85
Profit & Loss,Operating Profit,,,,48,,,,57,,,,-53,-12,-11,75
Profit & Loss,OPM %,,,,26%,,,,18%,,,,-33%,-88%,-31%,47%
Profit & Loss,Other Income,,,,10,,,,30,,,,21,2,2,2
Profit & Loss,Interest,,,,6,,,,5,,,,2,1,2,19
Profit & Loss,Depreciation,,,,12,,,,21,,,,29,3,4,7
Profit & Loss,Profit before tax,,,,41,,,,61,,,,-62,-13,-14,50
Profit & Loss,Tax %,,,,22%,,,,26%,,,,-0%,0%,1%,12%
Profit & Loss,Net Profit,,,,32,,,,45,,,,-62,-13,-15,44
Profit & Loss,EPS in Rs,,,,14.99,,,,10.56,,,,-14.46,-1499.44,-1625.56,4862.98
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,,,,0%,0%,0%,0%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,21,,,,43,,,,43,0.09,0.09,0.09
Balance Sheet,Reserves,,,,303,,,,618,,,,566,68,60,163
Balance Sheet,Borrowings,,,,101,,,,14,,,,16,7,51,16
Balance Sheet,Other Liabilities,,,,63,,,,67,,,,47,5,13,43
Balance Sheet,Total Liabilities,,,,488,,,,743,,,,672,80,124,222
Balance Sheet,Fixed Assets,,,,49,,,,67,,,,193,5,13,26
Balance Sheet,CWIP,,,,25,,,,54,,,,4,17,14,19
Balance Sheet,Investments,,,,125,,,,88,,,,120,12,0,11
Balance Sheet,Other Assets,,,,289,,,,533,,,,355,46,97,166
Balance Sheet,Total Assets,,,,488,,,,743,,,,672,80,124,222
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,-53,,,,76,,,,-77,-16,-31,67
Cash Flows,Cash from Investing Activity,,,,-149,,,,-102,,,,-68,5,-7,-31
Cash Flows,Cash from Financing Activity,,,,176,,,,189,,,,-8,1,43,-11
Cash Flows,Net Cash Flow,,,,-26,,,,164,,,,-152,-11,5,25
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,113,,,,52,,,,127,264,250,46
Ratios,Inventory Days,,,,639,,,,222,,,,318,532,451,433
Ratios,Days Payable,,,,85,,,,36,,,,30,40,91,66
Ratios,Cash Conversion Cycle,,,,667,,,,237,,,,416,756,609,413
Ratios,Working Capital Days,,,,379,,,,208,,,,628,882,591,132
Ratios,ROCE %,,,,15%,,,,11%,,,,-9%,,-14%,48%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,30.19%,29.34%,29.33%,29.33%,29.23%,29.23%,29.17%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,2.76%,3.46%,2.75%,2.92%,3.50%,1.36%,1.56%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,10.15%,6.39%,3.76%,3.40%,2.34%,2.48%,1.52%,,,
Shareholding Pattern (Quarterly),Public,,,,,,56.90%,60.80%,64.15%,64.32%,64.92%,66.93%,67.74%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,87735,104732,144920,174253,179920,178211,174302,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,29.33%,,,,29.17%,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,2.75%,,,,1.56%,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,3.76%,,,,1.52%,,,
Shareholding Pattern (Yearly),Public,,,,,,,,64.15%,,,,67.74%,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,144920,,,,174302,,,
,,,,,,,,,,,,,,,,
