Section,,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,137,157,164,171,165,182,206,242,284,,,,
Quarterly Results,Expenses,124,147,164,155,152,167,190,222,263,,,,
Quarterly Results,Operating Profit,13,10,0,15,13,15,16,19,21,,,,
Quarterly Results,OPM %,10%,6%,0%,9%,8%,8%,8%,8%,8%,,,,
Quarterly Results,Other Income,-4,2,32,2,3,6,5,5,6,,,,
Quarterly Results,Interest,0,1,1,1,0,1,1,1,1,,,,
Quarterly Results,Depreciation,3,3,4,3,3,2,2,3,3,,,,
Quarterly Results,Profit before tax,6,8,26,14,13,18,18,21,24,,,,
Quarterly Results,Tax %,24%,-1%,-2%,-120%,41%,18%,29%,28%,30%,,,,
Quarterly Results,Net Profit,5,8,27,31,7,15,13,16,17,,,,
Quarterly Results,EPS in Rs,0.12,0.24,0.75,0.81,0.24,0.38,0.34,0.40,0.43,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,501,,,,656,,,,914,40,112,136,380
Profit & Loss,Expenses,473,,,,618,,,,842,94,136,132,392
Profit & Loss,Operating Profit,29,,,,38,,,,72,-54,-24,3,-12
Profit & Loss,OPM %,6%,,,,6%,,,,8%,-134%,-22%,2%,-3%
Profit & Loss,Other Income,4,,,,39,,,,23,2,1,3,5
Profit & Loss,Interest,1,,,,3,,,,2,2,1,2,3
Profit & Loss,Depreciation,11,,,,13,,,,10,4,2,2,8
Profit & Loss,Profit before tax,21,,,,61,,,,82,-57,-27,3,-18
Profit & Loss,Tax %,-13%,,,,-20%,,,,26%,0%,0%,-179%,20%
Profit & Loss,Net Profit,23,,,,73,,,,60,-57,-27,8,-21
Profit & Loss,EPS in Rs,0.58,,,,2.03,,,,1.54,-1330.01,-616.97,174.59,-0.66
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,37,,,,37,,,,39,0.04,0.04,0.04,37
Balance Sheet,Reserves,337,,,,409,,,,595,-199,-225,30,306
Balance Sheet,Borrowings,10,,,,46,,,,40,224,240,15,7
Balance Sheet,Other Liabilities,200,,,,140,,,,232,36,55,136,188
Balance Sheet,Total Liabilities,583,,,,632,,,,905,60,70,181,538
Balance Sheet,Fixed Assets,292,,,,271,,,,286,8,6,100,289
Balance Sheet,CWIP,8,,,,0,,,,0,0,0,0,0
Balance Sheet,Investments,48,,,,86,,,,119,6,12,2,40
Balance Sheet,Other Assets,236,,,,276,,,,500,46,52,79,209
Balance Sheet,Total Assets,583,,,,632,,,,905,60,70,181,538
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,31,,,,43,,,,122,-42,34,-15,-34
Cash Flows,Cash from Investing Activity,22,,,,-45,,,,-203,48,-5,-10,-222
Cash Flows,Cash from Financing Activity,-2,,,,-46,,,,104,-1,-2,14,258
Cash Flows,Net Cash Flow,51,,,,-48,,,,23,5,27,-12,2
,,,,,,,,,,,,,,
Ratios,Debtor Days,9,,,,15,,,,15,199,14,71,8
Ratios,Inventory Days,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,9,,,,15,,,,15,199,14,71,8
Ratios,Working Capital Days,-32,,,,2,,,,25,-14,-120,-165,-42
Ratios,ROCE %,8%,,,,7%,,,,14%,,-126%,13%,-8%
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,58.18%,59.83%,61.07%,59.48%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,9.94%,8.50%,8.19%,9.74%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,31.88%,31.66%,30.74%,30.77%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,103237,99684,84954,88925,,,,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,,59.48%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,,9.74%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,,,30.77%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,88925,,,,
,,,,,,,,,,,,,,
