Section,,Mar 2006,Mar 2007,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,579,688,1157,1287,1099,985,1095,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,530,621,1078,1206,1028,943,1045,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,49,67,79,81,71,42,50,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,8%,10%,7%,6%,6%,4%,5%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,9,10,16,24,9,7,14,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,11,19,34,32,27,27,28,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,16,21,29,30,31,37,40,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,30,36,31,44,22,-15,-4,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,34%,35%,32%,36%,36%,-34%,-108%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,20,24,21,28,14,-10,0,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,9.34,11.06,9.95,13.15,6.53,-4.51,0.15,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,21%,20%,20%,15%,15%,0%,0%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,21,21,21,21,21,21,21,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,91,112,157,181,192,182,180,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,173,256,265,211,229,290,320,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,116,125,202,228,183,214,216,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,402,515,646,640,625,707,738,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,200,259,301,328,335,416,454,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,32,24,1,9,18,21,1,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,170,232,344,303,272,270,283,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,402,515,646,640,625,707,738,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,37,44,108,143,62,52,53,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-72,-72,-7,-58,-49,-130,-44,,,,,,,,,,,,,,,,,,
