Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2017,Mar 2018
Quarterly Results,Sales,374,481,544,477,483,509,545,422,406,510,522,522,512,,,,,
Quarterly Results,Expenses,355,456,518,459,461,484,509,396,373,480,492,500,477,,,,,
Quarterly Results,Operating Profit,20,25,26,17,21,25,36,26,34,30,31,22,35,,,,,
Quarterly Results,OPM %,5%,5%,5%,4%,4%,5%,7%,6%,8%,6%,6%,4%,7%,,,,,
Quarterly Results,Other Income,1,51,3,3,3,10,7,-28,35,1,12,5,1,,,,,
Quarterly Results,Interest,3,5,7,7,7,7,7,7,6,7,8,8,8,,,,,
Quarterly Results,Depreciation,7,12,13,14,14,14,14,14,14,14,15,15,15,,,,,
Quarterly Results,Profit before tax,11,58,9,-0,4,14,22,-23,48,10,21,3,13,,,,,
Quarterly Results,Tax %,5%,22%,14%,748%,36%,28%,33%,-0%,25%,-2%,2%,167%,18%,,,,,
Quarterly Results,Net Profit,10,45,8,-4,2,10,15,-23,36,10,20,-2,10,,,,,
Quarterly Results,EPS in Rs,0.98,4.55,0.77,-0.07,0.36,0.99,1.38,-1.22,2.72,1.17,1.86,-0.22,0.83,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1916,,,,1984,,,,1882,,,,2066,1214,1236,2123,,
Profit & Loss,Expenses,1833,,,,1894,,,,1761,,,,1949,1143,1190,2040,,
Profit & Loss,Operating Profit,83,,,,90,,,,120,,,,117,71,45,83,,
Profit & Loss,OPM %,4%,,,,5%,,,,6%,,,,6%,6%,4%,4%,,
Profit & Loss,Other Income,5,,,,60,,,,24,,,,19,3,5,5,,
Profit & Loss,Interest,12,,,,27,,,,28,,,,31,4,12,16,,
Profit & Loss,Depreciation,36,,,,53,,,,56,,,,59,20,32,39,,
Profit & Loss,Profit before tax,41,,,,70,,,,61,,,,46,49,7,33,,
Profit & Loss,Tax %,27%,,,,27%,,,,38%,,,,16%,23%,44%,38%,,
