Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Mar 2025
Quarterly Results,Sales,258.76,387.64,302.73,236.84,322.09,371.07,268.25,258.86,305.42,347.95,279.49,162.05,223.50,,,,,,,,
Quarterly Results,Expenses,248.74,340.05,309.19,266.97,310.81,337.23,272.20,290.46,291.80,299.11,283.82,170.57,223.32,,,,,,,,
Quarterly Results,Operating Profit,10.02,47.59,-6.46,-30.13,11.28,33.84,-3.95,-31.60,13.62,48.84,-4.33,-8.52,0.18,,,,,,,,
Quarterly Results,OPM %,3.87%,12.28%,-2.13%,-12.72%,3.50%,9.12%,-1.47%,-12.21%,4.46%,14.04%,-1.55%,-5.26%,0.08%,,,,,,,,
Quarterly Results,Other Income,4.23,-20.59,4.43,4.45,4.41,4.94,6.06,5.43,2.86,5.57,4.37,5.43,4.23,,,,,,,,
Quarterly Results,Interest,6.32,24.43,6.41,6.39,5.72,6.95,6.75,6.92,7.12,10.48,6.75,0.13,0.00,,,,,,,,
Quarterly Results,Depreciation,8.14,18.19,7.92,8.05,8.05,7.95,6.90,6.98,6.92,6.78,6.94,7.02,7.02,,,,,,,,
Quarterly Results,Profit before tax,-0.21,-15.62,-16.36,-40.12,1.92,23.88,-11.54,-40.07,2.44,37.15,-13.65,-10.24,-2.61,,,,,,,,
Quarterly Results,Tax %,71.43%,7.55%,0.12%,0.00%,0.00%,0.63%,-2.69%,-0.45%,0.00%,1.64%,7.99%,0.00%,0.00%,,,,,,,,
Quarterly Results,Net Profit,-0.37,-16.81,-16.38,-40.12,1.93,23.74,-11.23,-39.89,2.43,36.54,-14.74,-10.24,-2.61,,,,,,,,
Quarterly Results,EPS in Rs,-0.10,-2.50,-3.97,-9.72,0.47,5.75,-2.69,-9.64,0.59,8.80,-3.44,-2.46,-0.63,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,1185,,,,1233,,,,1180,,,,1115,861,1010,1082,1081,1297,1013,
Profit & Loss,Expenses,,1135,,,,1224,,,,1148,,,,1031,783,1059,997,1025,1232,977,
Profit & Loss,Operating Profit,,51,,,,9,,,,32,,,,84,78,-49,85,57,65,36,
Profit & Loss,OPM %,,4%,,,,1%,,,,3%,,,,8%,9%,-5%,8%,5%,5%,4%,
Profit & Loss,Other Income,,-8,,,,18,,,,15,,,,9,37,2,-7,4,4,20,
Profit & Loss,Interest,,45,,,,25,,,,31,,,,140,123,72,57,52,50,17,
Profit & Loss,Depreciation,,42,,,,32,,,,28,,,,66,47,58,48,47,46,28,
Profit & Loss,Profit before tax,,-45,,,,-31,,,,-12,,,,-113,-55,-177,-27,-38,-27,11,
Profit & Loss,Tax %,,3%,,,,1%,,,,1%,,,,1%,-1%,3%,17%,0%,1%,,
Profit & Loss,Net Profit,,-46,,,,-31,,,,-12,,,,-114,-54,-182,-31,-38,-27,9,
Profit & Loss,EPS in Rs,,-9.65,,,,-7.48,,,,-2.94,,,,-29.88,-14.40,-48.43,-9.38,-8.32,-5.31,2.27,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,,
,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,41,,,,41,,,,41,,41,,37,37,39,41,41,41,,
Balance Sheet,Reserves,,-128,,,,-160,,,,-173,,-197,,278,201,7,-31,-68,-89,,
Balance Sheet,Borrowings,,1035,,,,1030,,,,1028,,1028,,1378,1013,1168,1134,1106,1071,,
Balance Sheet,Other Liabilities,,1170,,,,1178,,,,1214,,893,,787,863,938,1188,1315,1246,,
Balance Sheet,Total Liabilities,,2118,,,,2089,,,,2110,,1765,,2480,2114,2152,2333,2394,2268,,
Balance Sheet,Fixed Assets,,1471,,,,1449,,,,1429,,1416,,1894,1353,1649,1596,1552,1519,,
Balance Sheet,CWIP,,4,,,,3,,,,1,,3,,8,14,2,1,8,1,,
Balance Sheet,Investments,,7,,,,7,,,,7,,31,,19,140,7,3,6,0,,
Balance Sheet,Other Assets,,636,,,,631,,,,673,,315,,559,607,495,732,828,749,,
Balance Sheet,Total Assets,,2118,,,,2089,,,,2110,,1765,,2480,2114,2152,2333,2394,2268,,
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,72,,,,7,,,,25,,,,78,121,6,48,117,68,,
Cash Flows,Cash from Investing Activity,,-11,,,,-5,,,,-2,,,,-83,-63,53,0,-17,7,,
Cash Flows,Cash from Financing Activity,,-82,,,,-15,,,,-18,,,,16,-55,-64,-61,-70,-65,,
Cash Flows,Net Cash Flow,,-21,,,,-13,,,,6,,,,11,3,-5,-12,30,10,,
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,18,,,,18,,,,15,,,,31,18,32,49,32,23,,
Ratios,Inventory Days,,190,,,,169,,,,187,,,,151,235,141,220,252,168,,
Ratios,Days Payable,,302,,,,266,,,,282,,,,253,343,244,369,418,293,,
