Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Quarterly Results,Sales,175.10,223.10,263.80,314.83,289.32,254.43,297.24,320.40,266.21,250.08,318.94,534.69,520.20,,,,,,,
Quarterly Results,Expenses,162.20,193.00,250.10,284.82,262.01,221.41,270.56,284.07,264.65,225.85,295.01,497.98,491.08,,,,,,,
Quarterly Results,Operating Profit,12.90,30.10,13.70,30.01,27.31,33.02,26.68,36.33,1.56,24.23,23.93,36.71,29.12,,,,,,,
Quarterly Results,OPM %,7.37%,13.49%,5.19%,9.53%,9.44%,12.98%,8.98%,11.34%,0.59%,9.69%,7.50%,6.87%,5.60%,,,,,,,
Quarterly Results,Other Income,9.60,6.60,23.70,11.51,5.66,11.74,13.98,18.38,20.82,25.57,23.45,21.94,9.00,,,,,,,
Quarterly Results,Interest,0.40,0.40,0.90,0.49,2.92,1.28,2.66,2.04,0.82,0.57,1.75,2.81,4.80,,,,,,,
Quarterly Results,Depreciation,11.30,13.60,10.30,14.92,16.04,15.21,15.08,15.20,21.50,15.20,25.74,30.52,37.29,,,,,,,
Quarterly Results,Profit before tax,10.80,22.70,26.20,26.11,14.01,28.27,22.92,37.47,0.06,34.03,19.89,25.32,-3.97,,,,,,,
Quarterly Results,Tax %,54.63%,27.31%,33.59%,22.94%,33.12%,26.21%,-5.50%,21.22%,-200.00%,30.59%,18.35%,45.97%,-202.52%,,,,,,,
Quarterly Results,Net Profit,4.90,16.50,17.40,20.12,9.37,20.86,24.18,29.52,0.18,23.62,16.24,13.68,4.07,,,,,,,
Quarterly Results,EPS in Rs,0.34,1.75,1.55,2.49,0.39,2.95,3.00,3.51,1.11,2.96,2.87,3.59,0.70,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,622,,,,1091,,,,1138,,,,1624,211,190,172,170,248,454,
Profit & Loss,Expenses,536,,,,989,,,,1040,,,,1510,135,129,123,154,255,415,
Profit & Loss,Operating Profit,86,,,,102,,,,99,,,,114,76,61,49,15,-7,39,
Profit & Loss,OPM %,14%,,,,9%,,,,9%,,,,7%,36%,32%,28%,9%,-3%,9%,
Profit & Loss,Other Income,24,,,,47,,,,65,,,,80,8,12,-26,16,15,14,
Profit & Loss,Interest,1,,,,6,,,,8,,,,10,0,0,2,1,1,1,
Profit & Loss,Depreciation,39,,,,57,,,,67,,,,118,1,1,8,20,26,36,
Profit & Loss,Profit before tax,70,,,,87,,,,89,,,,66,83,72,13,11,-20,17,
Profit & Loss,Tax %,27%,,,,29%,,,,16%,,,,23%,22%,15%,92%,38%,37%,18%,
Profit & Loss,Net Profit,51,,,,61,,,,75,,,,51,65,61,1,7,-27,14,
Profit & Loss,EPS in Rs,4.36,,,,5.95,,,,7.39,,,,8.60,161.30,152.58,0.50,3.19,-0.38,1.51,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,31%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,13,,,,26,,,,31,,,,35,2,2,11,11,11,12,
Balance Sheet,Reserves,1028,,,,1078,,,,1968,,,,2828,156,221,341,396,490,646,
Balance Sheet,Borrowings,4,,,,38,,,,28,,,,219,0,0,8,9,8,1,
Balance Sheet,Other Liabilities,358,,,,555,,,,727,,,,1354,41,42,105,92,243,359,
Balance Sheet,Total Liabilities,1404,,,,1698,,,,2753,,,,4435,200,265,465,509,752,1018,
Balance Sheet,Fixed Assets,424,,,,583,,,,608,,,,2695,2,2,152,137,327,296,
Balance Sheet,CWIP,1,,,,0,,,,0,,,,0,0,0,1,1,6,2,
Balance Sheet,Investments,442,,,,332,,,,439,,,,362,55,77,98,127,58,118,
Balance Sheet,Other Assets,537,,,,783,,,,1706,,,,1379,142,187,214,243,360,601,
Balance Sheet,Total Assets,1404,,,,1698,,,,2753,,,,4435,200,265,465,509,752,1018,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,62,,,,8,,,,91,,,,66,59,57,3,19,-2,68,
Cash Flows,Cash from Investing Activity,-329,,,,-89,,,,-612,,,,-1134,-6,-61,-17,-60,18,-271,
Cash Flows,Cash from Financing Activity,335,,,,15,,,,946,,,,805,-20,0,37,6,3,217,
Cash Flows,Net Cash Flow,68,,,,-66,,,,425,,,,-264,33,-5,24,-35,19,14,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,50,,,,62,,,,88,,,,129,58,50,91,96,100,55,
Ratios,Inventory Days,,,,,,,,,10,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,1092,,,,,,,,,,,
Ratios,Cash Conversion Cycle,50,,,,62,,,,-994,,,,129,58,50,91,96,100,55,
Ratios,Working Capital Days,8,,,,33,,,,31,,,,44,33,42,83,104,21,-8,
Ratios,ROCE %,7%,,,,7%,,,,6%,,,,3%,,36%,16%,3%,-4%,2%,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,19.17%,19.14%,19.05%,19.05%,19.01%,17.16%,16.43%,10.05%,10.05%,9.00%,8.78%,,,,,,,8.30%
Shareholding Pattern (Quarterly),FIIs,,,10.34%,10.15%,8.58%,8.58%,10.97%,10.46%,9.44%,6.05%,9.71%,11.59%,13.04%,,,,,,,13.51%
Shareholding Pattern (Quarterly),DIIs,,,5.43%,6.31%,8.19%,10.67%,9.11%,15.90%,16.80%,16.76%,12.21%,13.51%,12.44%,,,,,,,9.77%
Shareholding Pattern (Quarterly),Public,,,65.06%,64.41%,64.19%,61.70%,60.92%,56.48%,57.34%,67.13%,68.03%,65.90%,65.74%,,,,,,,68.41%
Shareholding Pattern (Quarterly),No. of Shareholders,,,200159,194866,190909,178931,171551,171497,169481,160164,144688,136931,130672,,,,,,,120672
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,19.32%,,,,19.05%,,,,16.43%,,,,8.78%,,,,,,20.70%,8.30%
Shareholding Pattern (Yearly),FIIs,10.35%,,,,8.58%,,,,9.44%,,,,13.04%,,,,,,6.02%,13.51%
Shareholding Pattern (Yearly),DIIs,3.89%,,,,8.19%,,,,16.80%,,,,12.44%,,,,,,8.12%,9.77%
Shareholding Pattern (Yearly),Public,66.44%,,,,64.19%,,,,57.34%,,,,65.74%,,,,,,65.17%,68.41%
Shareholding Pattern (Yearly),No. of Shareholders,152401,,,,190909,,,,169481,,,,130672,,,,,,25610,120672
,,,,,,,,,,,,,,,,,,,,,
