Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Quarterly Results,Sales,1407,1507,1900,1667,1652,1905,2172,1930,,,,,
Quarterly Results,Expenses,1423,1512,1842,1634,1603,1848,2064,1914,,,,,
Quarterly Results,Operating Profit,-16,-6,59,33,49,57,108,16,,,,,
Quarterly Results,OPM %,-1%,-0%,3%,2%,3%,3%,5%,1%,,,,,
Quarterly Results,Other Income,20,21,35,18,15,30,45,12,,,,,
Quarterly Results,Interest,36,39,41,0,38,41,42,38,,,,,
Quarterly Results,Depreciation,84,89,96,103,95,98,104,108,,,,,
Quarterly Results,Profit before tax,-115,-112,-43,-52,-70,-52,7,-118,,,,,
Quarterly Results,Tax %,-4%,7%,14%,-16%,8%,22%,314%,-5%,,,,,
Quarterly Results,Net Profit,-110,-119,-48,-43,-76,-63,-15,-112,,,,,
Quarterly Results,EPS in Rs,,,,,,-0.97,-0.15,-1.47,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,6481,,,,7660,508,814,1603,2401,5633
Profit & Loss,Expenses,,,,6410,,,,7430,1450,1047,1561,2420,5950
Profit & Loss,Operating Profit,,,,70,,,,230,-942,-233,42,-18,-317
Profit & Loss,OPM %,,,,1%,,,,3%,-186%,-29%,3%,-1%,-6%
Profit & Loss,Other Income,,,,94,,,,101,27,83,137,116,153
Profit & Loss,Interest,,,,115,,,,158,0,4,14,38,72
Profit & Loss,Depreciation,,,,371,,,,405,18,38,70,111,294
Profit & Loss,Profit before tax,,,,-322,,,,-232,-933,-191,95,-51,-530
Profit & Loss,Tax %,,,,-0%,,,,14%,-0%,-0%,-124%,54%,-8%
Profit & Loss,Net Profit,,,,-322,,,,-265,-933,-191,216,-79,-486
Profit & Loss,EPS in Rs,,,,,,,,-3.67,,,,,
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,81,,,,96,49,35,35,45,81
Balance Sheet,Reserves,,,,3082,,,,4645,1472,2347,3359,3447,3368
Balance Sheet,Borrowings,,,,1430,,,,1570,7,34,61,446,906
Balance Sheet,Other Liabilities,,,,2727,,,,2547,151,341,619,2147,2602
Balance Sheet,Total Liabilities,,,,7321,,,,8858,1678,2758,4073,6084,6957
Balance Sheet,Fixed Assets,,,,3868,,,,3609,351,383,508,2213,3533
Balance Sheet,CWIP,,,,1,,,,7,7,23,18,42,26
Balance Sheet,Investments,,,,5,,,,5,0,0,0,0,0
Balance Sheet,Other Assets,,,,3447,,,,5237,1320,2352,3547,3830,3397
Balance Sheet,Total Assets,,,,7321,,,,8858,1678,2758,4073,6084,6957
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,-42,,,,159,-210,-300,-67,-132,-399
Cash Flows,Cash from Investing Activity,,,,63,,,,-1644,-758,-660,-445,-491,304
Cash Flows,Cash from Financing Activity,,,,81,,,,1507,1063,1033,718,644,-51
Cash Flows,Net Cash Flow,,,,102,,,,22,95,73,206,22,-146
,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,12,,,,13,32,36,31,33,15
Ratios,Inventory Days,,,,143,,,,162,175,162,182,227,119
Ratios,Days Payable,,,,80,,,,71,112,97,104,123,68
Ratios,Cash Conversion Cycle,,,,76,,,,105,95,101,109,138,65
Ratios,Working Capital Days,,,,65,,,,58,120,100,100,94,53
Ratios,ROCE %,,,,-4%,,,,-0%,,-10%,4%,-0%,-10%
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,9.07%,9.62%,7.94%,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,16.83%,16.65%,18.08%,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,66.30%,65.96%,66.38%,,,,,
Shareholding Pattern (Quarterly),Others,,,,,,7.80%,7.75%,7.60%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,130419,117746,115602,,,,,
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,7.94%,,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,18.08%,,,,,
Shareholding Pattern (Yearly),Public,,,,,,,,66.38%,,,,,
Shareholding Pattern (Yearly),Others,,,,,,,,7.60%,,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,115602,,,,,
,,,,,,,,,,,,,,
