Section,,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2023,Jun 2023
Quarterly Results,Sales,160,174,200,158,185,199,277,261,297,269,269,274,310,,,,,,,,,,,
Quarterly Results,Expenses,146,158,182,142,170,174,242,235,265,242,249,251,279,,,,,,,,,,,
Quarterly Results,Operating Profit,13,16,18,16,15,24,36,27,32,27,20,23,31,,,,,,,,,,,
Quarterly Results,OPM %,8%,9%,9%,10%,8%,12%,13%,10%,11%,10%,7%,8%,10%,,,,,,,,,,,
Quarterly Results,Other Income,9,1,3,1,2,2,4,5,7,5,-5,4,4,,,,,,,,,,,
Quarterly Results,Interest,1,1,1,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,
Quarterly Results,Depreciation,3,3,3,3,3,3,4,4,4,4,4,5,5,,,,,,,,,,,
Quarterly Results,Profit before tax,18,14,17,14,13,22,35,26,34,27,9,21,29,,,,,,,,,,,
Quarterly Results,Tax %,17%,25%,23%,25%,25%,26%,26%,29%,24%,26%,28%,28%,38%,,,,,,,,,,,
Quarterly Results,Net Profit,15,11,13,10,10,16,26,19,25,20,7,15,18,,,,,,,,,,,
Quarterly Results,EPS in Rs,10.77,7.78,9.70,7.66,7.34,12.03,19.08,13.76,18.66,14.60,4.93,8.85,10.39,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,661,,,,,,1074,,,,1123,365,371,388,408,442,458,513,526,448,,
Profit & Loss,Expenses,,,601,,,,,,955,,,,1019,331,344,360,366,411,423,468,484,425,,
Profit & Loss,Operating Profit,,,61,,,,,,119,,,,104,34,27,28,42,31,35,46,42,22,,
Profit & Loss,OPM %,,,9%,,,,,,11%,,,,9%,9%,7%,7%,10%,7%,8%,9%,8%,5%,,
Profit & Loss,Other Income,,,14,,,,,,19,,,,7,4,-8,34,3,9,10,10,9,-17,,
Profit & Loss,Interest,,,6,,,,,,6,,,,6,1,2,1,2,2,6,11,10,8,,
Profit & Loss,Depreciation,,,11,,,,,,16,,,,18,12,12,13,12,11,10,10,11,11,,
Profit & Loss,Profit before tax,,,58,,,,,,117,,,,87,24,4,48,32,27,28,36,31,-14,,
Profit & Loss,Tax %,,,22%,,,,,,26%,,,,31%,31%,216%,33%,29%,34%,34%,31%,14%,-26%,,
Profit & Loss,Net Profit,,,45,,,,,,86,,,,60,17,-5,32,22,18,18,25,26,-10,,
Profit & Loss,EPS in Rs,,,33.21,,,,,,63.58,,,,34.51,12.41,-3.76,23.43,16.47,13.13,13.54,18.05,19.21,-7.63,,
Profit & Loss,Dividend Payout %,,,38%,,,,,,39%,,,,58%,48%,-133%,21%,30%,38%,37%,36%,34%,0%,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,14,,,,,,14,,,,17,14,14,14,14,14,14,14,14,14,,
Balance Sheet,Reserves,,,268,,,,,,459,,,,490,169,155,189,203,221,231,248,234,224,,
Balance Sheet,Borrowings,,,2,,,,,,45,,,,2,10,19,0,0,36,81,65,82,29,,
Balance Sheet,Other Liabilities,,,109,,,,,,163,,,,184,74,93,82,118,107,102,103,108,108,,
Balance Sheet,Total Liabilities,,,393,,,,,,681,,,,694,266,280,285,335,378,428,429,437,375,,
Balance Sheet,Fixed Assets,,,117,,,,,,157,,,,197,95,77,97,100,102,103,116,125,117,,
Balance Sheet,CWIP,,,7,,,,,,25,,,,4,0,2,2,1,4,1,1,0,3,,
Balance Sheet,Investments,,,20,,,,,,39,,,,32,27,14,6,12,11,2,4,4,11,,
Balance Sheet,Other Assets,,,248,,,,,,459,,,,461,144,188,179,222,261,322,309,308,244,,
Balance Sheet,Total Assets,,,393,,,,,,681,,,,694,266,280,285,335,378,428,429,437,375,,
