Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2018
Quarterly Results,Sales,95.66,82.28,81.26,88.29,63.73,74.65,69.26,72.05,89.99,92.55,78.46,84.60,89.11,,,,
Quarterly Results,Expenses,89.23,73.79,72.99,78.92,61.45,72.11,61.33,62.75,78.63,76.27,69.89,71.85,81.69,,,,
Quarterly Results,Operating Profit,6.43,8.49,8.27,9.37,2.28,2.54,7.93,9.30,11.36,16.28,8.57,12.75,7.42,,,,
Quarterly Results,OPM %,6.72%,10.32%,10.18%,10.61%,3.58%,3.40%,11.45%,12.91%,12.62%,17.59%,10.92%,15.07%,8.33%,,,,
Quarterly Results,Other Income,6.64,0.31,0.15,0.49,4.81,0.61,0.27,0.58,2.36,0.44,2.04,0.06,2.34,,,,
Quarterly Results,Interest,1.75,1.64,1.68,1.67,1.80,2.18,2.81,2.34,2.84,2.40,2.14,2.14,2.03,,,,
Quarterly Results,Depreciation,2.58,2.59,2.64,2.63,2.92,3.70,3.73,3.73,3.78,3.68,3.76,3.76,3.80,,,,
Quarterly Results,Profit before tax,8.74,4.57,4.10,5.56,2.37,-2.73,1.66,3.81,7.10,10.64,4.71,6.91,3.93,,,,
Quarterly Results,Tax %,7.67%,49.23%,23.66%,31.29%,10.55%,40.29%,126.51%,-8.14%,8.73%,33.27%,29.72%,29.81%,11.45%,,,,
Quarterly Results,Net Profit,8.08,2.32,3.12,3.82,2.11,-3.83,-0.44,4.12,6.47,7.10,3.30,4.86,3.48,,,,
Quarterly Results,EPS in Rs,26.79,9.96,9.10,13.20,5.66,-5.95,2.25,14.22,19.52,23.15,15.45,18.09,9.82,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,350,,,,316,,,,306,,,,345,378,261,266,
