Section,,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2022,Mar 2023
Quarterly Results,Sales,74,71,82,79,102,,,,
Quarterly Results,Expenses,66,62,71,69,88,,,,
Quarterly Results,Operating Profit,8,9,11,10,15,,,,
Quarterly Results,OPM %,11%,13%,14%,13%,14%,,,,
Quarterly Results,Other Income,5,3,1,0,5,,,,
Quarterly Results,Interest,0,1,1,0,0,,,,
Quarterly Results,Depreciation,1,1,1,1,1,,,,
Quarterly Results,Profit before tax,12,10,11,8,18,,,,
Quarterly Results,Tax %,20%,26%,21%,13%,28%,,,,
Quarterly Results,Net Profit,9,7,9,7,13,,,,
Quarterly Results,EPS in Rs,3.27,2.58,3.01,1.89,3.48,,,,
Quarterly Results,Raw PDF,,,,,,,,,
,,,,,,,,,,
Profit & Loss,Sales,278,,,,335,154,154,205,255
Profit & Loss,Expenses,239,,,,290,137,137,182,227
Profit & Loss,Operating Profit,39,,,,45,17,17,22,28
Profit & Loss,OPM %,14%,,,,13%,11%,11%,11%,11%
Profit & Loss,Other Income,9,,,,9,2,3,5,7
Profit & Loss,Interest,2,,,,2,2,2,1,2
Profit & Loss,Depreciation,5,,,,5,3,3,4,4
Profit & Loss,Profit before tax,41,,,,47,13,14,22,29
Profit & Loss,Tax %,25%,,,,23%,27%,27%,22%,23%
Profit & Loss,Net Profit,31,,,,36,9,11,17,22
Profit & Loss,EPS in Rs,10.94,,,,9.59,25.39,29.81,45.54,59.29
Profit & Loss,Dividend Payout %,5%,,,,16%,0%,0%,9%,0%
,,,,,,,,,,
Balance Sheet,Equity Capital,28,,,,37,4,4,4,4
Balance Sheet,Reserves,163,,,,331,84,91,117,138
Balance Sheet,Borrowings,34,,,,23,15,32,25,48
Balance Sheet,Other Liabilities,50,,,,52,31,42,44,40
Balance Sheet,Total Liabilities,276,,,,444,134,169,190,230
Balance Sheet,Fixed Assets,91,,,,98,42,62,60,64
Balance Sheet,CWIP,1,,,,3,0,0,0,2
Balance Sheet,Investments,29,,,,35,14,13,19,20
Balance Sheet,Other Assets,154,,,,309,77,94,110,145
Balance Sheet,Total Assets,276,,,,444,134,169,190,230
,,,,,,,,,,
Cash Flows,Cash from Operating Activity,36,,,,9,13,10,11,-5
Cash Flows,Cash from Investing Activity,-36,,,,-18,-5,-23,-15,-13
Cash Flows,Cash from Financing Activity,3,,,,129,-8,14,3,20
Cash Flows,Net Cash Flow,3,,,,119,0,1,-2,1
,,,,,,,,,,
Ratios,Debtor Days,87,,,,92,80,82,90,100
Ratios,Inventory Days,132,,,,142,150,220,138,128
Ratios,Days Payable,77,,,,59,71,103,96,61
Ratios,Cash Conversion Cycle,143,,,,175,158,199,132,167
Ratios,Working Capital Days,126,,,,139,104,114,109,142
Ratios,ROCE %,20%,,,,15%,,14%,,17%
,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,69.70%,69.70%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,1.38%,0.02%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,8.56%,8.98%,,,,
Shareholding Pattern (Quarterly),Public,,,,20.36%,21.31%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,23737,23281,,,,
,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,69.70%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,0.02%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,8.98%,,,,
Shareholding Pattern (Yearly),Public,,,,,21.31%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,23281,,,,
,,,,,,,,,,
