Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Jun 2025
Quarterly Results,Sales,611,694,712,1127,1657,1527,1713,1621,,,,,
Quarterly Results,Expenses,540,595,589,942,1299,1147,1200,1092,,,,,
Quarterly Results,Operating Profit,71,99,123,184,358,381,514,528,,,,,
Quarterly Results,OPM %,12%,14%,17%,16%,22%,25%,30%,33%,,,,,
Quarterly Results,Other Income,6,8,2,12,12,26,36,59,,,,,
Quarterly Results,Interest,18,21,37,45,45,42,47,43,,,,,
Quarterly Results,Depreciation,15,16,28,37,79,90,152,177,,,,,
Quarterly Results,Profit before tax,44,71,61,115,246,275,351,368,,,,,
Quarterly Results,Tax %,28%,25%,29%,9%,19%,25%,27%,25%,,,,,
Quarterly Results,Net Profit,31,53,43,104,198,206,255,278,,,,,
Quarterly Results,EPS in Rs,1.19,2.01,1.64,3.95,5.93,4.57,5.66,6.16,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,3144,,,,6519,947,701,743,1429,
Profit & Loss,Expenses,,,,2666,,,,4738,853,648,713,1350,
Profit & Loss,Operating Profit,,,,478,,,,1781,94,54,30,78,
Profit & Loss,OPM %,,,,15%,,,,27%,10%,8%,4%,5%,
Profit & Loss,Other Income,,,,29,,,,134,19,35,25,36,
Profit & Loss,Interest,,,,121,,,,177,35,22,43,69,
Profit & Loss,Depreciation,,,,96,,,,498,17,12,28,53,
Profit & Loss,Profit before tax,,,,289,,,,1240,61,56,-16,-8,
Profit & Loss,Tax %,,,,20%,,,,24%,26%,54%,-8%,72%,
Profit & Loss,Net Profit,,,,231,,,,937,45,26,-14,-13,
Profit & Loss,EPS in Rs,,,,8.78,,,,20.79,1.50,0.94,-0.55,-0.49,
Profit & Loss,Dividend Payout %,,,,0%,,,,2%,0%,0%,0%,0%,
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,26,,,,45,25,25,26,26,
Balance Sheet,Reserves,,,,620,,,,2777,206,197,368,385,
Balance Sheet,Borrowings,,,,1402,,,,1954,256,347,455,765,
Balance Sheet,Other Liabilities,,,,1489,,,,2066,342,406,491,934,
Balance Sheet,Total Liabilities,,,,3537,,,,6841,828,975,1340,2110,
Balance Sheet,Fixed Assets,,,,1203,,,,978,263,425,479,592,
Balance Sheet,CWIP,,,,20,,,,242,21,0,114,349,
Balance Sheet,Investments,,,,9,,,,845,6,9,55,59,
Balance Sheet,Other Assets,,,,2305,,,,4776,538,541,693,1110,
Balance Sheet,Total Assets,,,,3537,,,,6841,828,975,1340,2110,
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,90,,,,1348,-66,237,5,37,
Cash Flows,Cash from Investing Activity,,,,-447,,,,-2410,-56,-353,-218,-304,
Cash Flows,Cash from Financing Activity,,,,549,,,,1608,134,109,279,252,
Cash Flows,Net Cash Flow,,,,192,,,,546,13,-7,66,-16,
,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,71,,,,45,74,84,71,15,
Ratios,Inventory Days,,,,157,,,,121,56,44,135,197,
Ratios,Days Payable,,,,152,,,,88,76,114,168,124,
Ratios,Cash Conversion Cycle,,,,76,,,,78,55,14,38,88,
Ratios,Working Capital Days,,,,47,,,,80,78,28,32,-8,
Ratios,ROCE %,,,,25%,,,,41%,,13%,4%,6%,
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,64.25%,64.25%,64.25%,,,,,64.25%
Shareholding Pattern (Quarterly),FIIs,,,,,,3.08%,2.31%,2.95%,,,,,4.38%
Shareholding Pattern (Quarterly),DIIs,,,,,,6.71%,7.95%,8.66%,,,,,12.96%
Shareholding Pattern (Quarterly),Public,,,,,,25.07%,24.62%,23.42%,,,,,17.71%
Shareholding Pattern (Quarterly),Others,,,,,,0.87%,0.87%,0.72%,,,,,0.00%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,415978,374313,388511,,,,,381623
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,64.25%,,,,,64.25%
Shareholding Pattern (Yearly),FIIs,,,,,,,,2.95%,,,,,4.38%
Shareholding Pattern (Yearly),DIIs,,,,,,,,8.66%,,,,,12.96%
Shareholding Pattern (Yearly),Public,,,,,,,,23.42%,,,,,17.71%
Shareholding Pattern (Yearly),Others,,,,,,,,0.72%,,,,,0.00%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,388511,,,,,381623
,,,,,,,,,,,,,,
