Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2018,Mar 2019
Quarterly Results,Sales,10.35,11.10,12.36,10.71,8.18,8.28,11.45,13.96,16.31,12.89,12.41,14.04,14.84,,,,
Quarterly Results,Expenses,8.60,9.95,10.85,8.49,7.18,9.79,9.16,12.18,15.28,11.15,16.89,14.01,15.01,,,,
Quarterly Results,Operating Profit,1.75,1.15,1.51,2.22,1.00,-1.51,2.29,1.78,1.03,1.74,-4.48,0.03,-0.17,,,,
Quarterly Results,OPM %,16.91%,10.36%,12.22%,20.73%,12.22%,-18.24%,20.00%,12.75%,6.32%,13.50%,-36.10%,0.21%,-1.15%,,,,
Quarterly Results,Other Income,0.15,0.13,0.15,0.15,0.35,0.18,0.10,0.11,0.12,0.12,-0.23,0.12,0.03,,,,
Quarterly Results,Interest,0.46,0.46,0.44,0.47,0.18,0.51,0.68,0.65,0.63,0.87,0.85,1.01,1.03,,,,
Quarterly Results,Depreciation,0.28,0.32,0.30,0.29,0.58,0.46,0.55,0.57,0.61,0.62,0.62,0.63,0.66,,,,
Quarterly Results,Profit before tax,1.16,0.50,0.92,1.61,0.59,-2.30,1.16,0.67,-0.09,0.37,-6.18,-1.49,-1.83,,,,
Quarterly Results,Tax %,9.48%,-12.00%,5.43%,32.30%,98.31%,1.30%,-5.17%,-2.99%,166.67%,21.62%,-0.81%,-2.01%,-12.02%,,,,
Quarterly Results,Net Profit,1.05,0.56,0.88,1.09,0.01,-2.33,1.22,0.69,-0.25,0.29,-6.13,-1.46,-1.61,,,,
Quarterly Results,EPS in Rs,0.97,0.52,0.81,1.00,0.01,-2.15,1.12,0.65,-0.22,0.27,-5.65,-1.35,-1.49,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,38.75,,,,42.35,,,,50.00,,,,54.17,47.86,30.46,,
Profit & Loss,Expenses,33.19,,,,36.16,,,,46.20,,,,57.04,39.17,27.06,,
Profit & Loss,Operating Profit,5.56,,,,6.19,,,,3.80,,,,-2.87,8.69,3.40,,
Profit & Loss,OPM %,14.35%,,,,14.62%,,,,7.60%,,,,-5.30%,18.16%,11.16%,,
Profit & Loss,Other Income,0.48,,,,0.71,,,,0.49,,,,0.04,0.45,0.58,,
Profit & Loss,Interest,1.79,,,,1.79,,,,2.66,,,,3.76,0.83,1.51,,
Profit & Loss,Depreciation,0.94,,,,1.48,,,,2.19,,,,2.53,0.47,0.60,,
Profit & Loss,Profit before tax,3.31,,,,3.63,,,,-0.56,,,,-9.12,7.84,1.87,,
Profit & Loss,Tax %,6.04%,,,,30.03%,,,,19.64%,,,,-2.41%,20.66%,-17.65%,,
Profit & Loss,Net Profit,3.11,,,,2.54,,,,-0.67,,,,-8.91,6.23,2.20,,
Profit & Loss,EPS in Rs,2.87,,,,2.34,,,,-0.60,,,,-8.20,6.05,2.14,,
Profit & Loss,Dividend Payout %,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,,
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,10.85,,,,10.85,,,,10.85,,,,10.87,4.11,10.28,,
Balance Sheet,Reserves,26.66,,,,29.25,,,,28.87,,,,20.64,23.92,19.75,,
Balance Sheet,Borrowings,18.50,,,,16.71,,,,25.91,,,,34.73,11.44,11.69,,
Balance Sheet,Other Liabilities,8.04,,,,8.39,,,,11.80,,,,15.92,7.30,4.64,,
Balance Sheet,Total Liabilities,64.05,,,,65.20,,,,77.43,,,,82.16,46.77,46.36,,
Balance Sheet,Fixed Assets,6.77,,,,10.68,,,,15.39,,,,15.86,4.02,5.09,,
Balance Sheet,CWIP,2.42,,,,3.43,,,,6.51,,,,7.64,0.00,0.00,,
