Section,,Mar 2015,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Mar 2024,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Quarterly Results,Sales,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1148,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,1165,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,-17,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,-1%,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,10,,,,,,,,,,,,,,,,
Profit & Loss,Interest,113,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,74,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,-193,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,0%,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,-193,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,-15.84,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,122,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,187,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,1202,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,447,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,1958,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,776,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,1,,,,,,,,,,,,,,,,
Balance Sheet,Investments,0,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,1181,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,1958,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-255,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,17,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,243,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,105,,,,,,,,,,,,,,,,
Ratios,Inventory Days,231,,,,,,,,,,,,,,,,
Ratios,Days Payable,135,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,202,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,225,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,71.02%,71.02%,71.02%,71.02%,71.02%,71.02%,71.02%,71.02%,71.02%,71.02%,71.02%,71.02%,,,,
Shareholding Pattern (Quarterly),Public,,28.98%,28.98%,28.98%,28.98%,28.98%,28.98%,28.98%,28.97%,28.99%,28.98%,28.99%,28.99%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,10051,11024,11496,21109,31035,34558,35696,35501,34864,34564,33896,33216,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,71.02%,,,,71.02%,,,,71.02%,,,71.02%,71.02%,71.02%,71.02%,71.02%
Shareholding Pattern (Yearly),Public,,28.98%,,,,28.98%,,,,28.99%,,,28.99%,28.98%,28.98%,28.98%,28.98%
Shareholding Pattern (Yearly),No. of Shareholders,,10051,,,,31035,,,,34864,,,33216,9748,9474,9545,9654
,,,,,,,,,,,,,,,,,,
