Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020
Quarterly Results,Sales,373,400,293,365,382,343,290,413,284,213,240,242,346,
Quarterly Results,Expenses,213,239,175,205,188,208,195,267,197,141,166,162,257,
Quarterly Results,Operating Profit,160,161,119,160,194,135,95,145,87,71,75,80,88,
Quarterly Results,OPM %,43%,40%,40%,44%,51%,39%,33%,35%,31%,33%,31%,33%,26%,
Quarterly Results,Other Income,4,9,19,7,8,11,11,9,12,10,-29,9,8,
Quarterly Results,Interest,39,39,35,19,3,3,2,2,2,2,3,3,0,
Quarterly Results,Depreciation,17,18,17,17,17,18,18,18,18,19,19,20,21,
Quarterly Results,Profit before tax,107,113,86,131,182,125,87,135,80,61,23,66,75,
Quarterly Results,Tax %,24%,25%,26%,25%,25%,25%,24%,25%,28%,26%,31%,27%,28%,
Quarterly Results,Net Profit,82,84,64,98,137,94,66,102,58,45,16,48,54,
Quarterly Results,EPS in Rs,8.47,8.76,6.60,7.97,11.09,7.63,5.36,8.23,4.67,3.64,1.28,3.89,4.34,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,1130,,,,1441,,,,1330,,,,1041,608
Profit & Loss,Expenses,663,,,,807,,,,867,,,,726,460
Profit & Loss,Operating Profit,467,,,,634,,,,463,,,,315,148
Profit & Loss,OPM %,41%,,,,44%,,,,35%,,,,30%,24%
Profit & Loss,Other Income,12,,,,43,,,,43,,,,-3,9
Profit & Loss,Interest,162,,,,97,,,,8,,,,8,122
Profit & Loss,Depreciation,67,,,,69,,,,70,,,,79,52
Profit & Loss,Profit before tax,251,,,,512,,,,427,,,,224,-17
Profit & Loss,Tax %,25%,,,,25%,,,,25%,,,,28%,117%
Profit & Loss,Net Profit,188,,,,383,,,,319,,,,162,-36
Profit & Loss,EPS in Rs,19.54,,,,31.09,,,,25.85,,,,13.14,-18.81
Profit & Loss,Dividend Payout %,0%,,,,8%,,,,12%,,,,23%,0%
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,19,,,,25,,,,25,,,,25,
Balance Sheet,Reserves,243,,,,1406,,,,1677,,,,1839,
Balance Sheet,Borrowings,897,,,,69,,,,98,,,,235,
Balance Sheet,Other Liabilities,372,,,,255,,,,255,,,,290,
Balance Sheet,Total Liabilities,1531,,,,1755,,,,2055,,,,2389,
Balance Sheet,Fixed Assets,1086,,,,1110,,,,1160,,,,1378,
Balance Sheet,CWIP,17,,,,36,,,,48,,,,69,
Balance Sheet,Investments,11,,,,210,,,,350,,,,339,
Balance Sheet,Other Assets,417,,,,399,,,,497,,,,603,
Balance Sheet,Total Assets,1531,,,,1755,,,,2055,,,,2389,
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,315,,,,496,,,,379,,,,176,
Cash Flows,Cash from Investing Activity,-110,,,,-290,,,,-307,,,,-246,
Cash Flows,Cash from Financing Activity,-224,,,,-212,,,,-33,,,,65,
Cash Flows,Net Cash Flow,-19,,,,-6,,,,40,,,,-5,
,,,,,,,,,,,,,,,
Ratios,Debtor Days,49,,,,30,,,,43,,,,58,
Ratios,Inventory Days,,,,,,,,,530,,,,,
Ratios,Days Payable,,,,,,,,,416,,,,,
Ratios,Cash Conversion Cycle,49,,,,30,,,,157,,,,58,
Ratios,Working Capital Days,52,,,,49,,,,56,,,,98,
Ratios,ROCE %,,,,,45%,,,,25%,,,,13%,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,53.60%,53.60%,53.60%,53.60%,53.46%,53.46%,53.46%,53.46%,53.44%,53.44%,
Shareholding Pattern (Quarterly),FIIs,,,,6.03%,5.47%,4.06%,2.92%,4.15%,5.86%,9.53%,10.17%,10.65%,10.93%,
Shareholding Pattern (Quarterly),DIIs,,,,29.80%,30.25%,30.78%,30.38%,28.69%,27.13%,21.04%,22.02%,22.86%,23.17%,
Shareholding Pattern (Quarterly),Government,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,
Shareholding Pattern (Quarterly),Public,,,,10.56%,10.67%,11.55%,13.08%,13.71%,13.54%,15.96%,14.37%,13.06%,12.44%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,49606,48507,62548,73821,92571,106788,98762,95999,94958,85856,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,53.60%,,,,53.46%,,,,53.44%,
Shareholding Pattern (Yearly),FIIs,,,,,5.47%,,,,5.86%,,,,10.93%,
Shareholding Pattern (Yearly),DIIs,,,,,30.25%,,,,27.13%,,,,23.17%,
Shareholding Pattern (Yearly),Government,,,,,0.00%,,,,0.01%,,,,0.00%,
Shareholding Pattern (Yearly),Public,,,,,10.67%,,,,13.54%,,,,12.44%,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,48507,,,,106788,,,,85856,
,,,,,,,,,,,,,,,
