Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,May 2025
Quarterly Results,Sales,710,565,670,868,1210,908,741,685,763,640,934,1224,1241,,,,,,,,,
Quarterly Results,Expenses,633,492,575,779,1094,843,666,611,701,584,856,1157,1147,,,,,,,,,
Quarterly Results,Operating Profit,78,73,95,89,116,65,75,74,62,56,77,67,94,,,,,,,,,
Quarterly Results,OPM %,11%,13%,14%,10%,10%,7%,10%,11%,8%,9%,8%,5%,8%,,,,,,,,,
Quarterly Results,Other Income,33,12,21,30,30,31,32,29,28,29,32,33,30,,,,,,,,,
Quarterly Results,Interest,68,61,63,66,61,61,64,61,59,54,49,47,45,,,,,,,,,
Quarterly Results,Depreciation,18,15,18,17,18,18,19,20,21,20,23,23,23,,,,,,,,,
Quarterly Results,Profit before tax,25,8,34,35,67,17,25,21,11,11,36,29,56,,,,,,,,,
Quarterly Results,Tax %,43%,46%,44%,9%,27%,30%,39%,29%,36%,45%,28%,26%,27%,,,,,,,,,
Quarterly Results,Net Profit,14,5,19,32,49,12,15,15,7,6,26,22,41,,,,,,,,,
Quarterly Results,EPS in Rs,1.33,0.43,1.79,2.97,4.54,1.13,1.40,1.41,0.66,0.57,2.44,2.03,3.82,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,2561,,,,3310,,,,3097,,,,4039,2173,2441,1943,2229,2783,3442,3754,2110,
Profit & Loss,Expenses,2028,,,,2941,,,,2820,,,,3744,1571,1823,1499,1809,2263,2769,2639,1435,
Profit & Loss,Operating Profit,533,,,,370,,,,277,,,,294,603,617,444,420,520,673,1115,675,
Profit & Loss,OPM %,21%,,,,11%,,,,9%,,,,7%,28%,25%,23%,19%,19%,20%,30%,32%,
