Section,,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,TTM,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,77.13,66.86,67.84,65.69,96.06,106.45,92.46,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,66.18,57.34,58.31,56.16,85.19,95.76,87.84,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,10.95,9.52,9.53,9.53,10.87,10.69,4.62,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,14.20%,14.24%,14.05%,14.51%,11.32%,10.04%,5.00%,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.63,1.25,0.63,0.30,6.09,2.09,2.84,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,0.56,0.42,0.54,0.76,0.72,0.64,0.72,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,2.22,2.05,2.47,2.22,2.65,2.97,3.06,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,8.80,8.30,7.15,6.85,13.59,9.17,3.68,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,34.43%,26.51%,25.45%,31.68%,-65.05%,25.30%,3.26%,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,5.77,6.10,5.33,4.68,22.42,6.85,3.56,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,1.11,1.18,1.03,0.90,4.33,1.32,0.69,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,352,,,,293,,,361,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,309,,,,252,,,325,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,42,,,,41,,,36,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,12%,,,,14%,,,10%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,6,,,,7,,,11,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,4,,,,3,,,3,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,9,,,,9,,,11,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,35,,,,36,,,33,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,29%,,,,-7%,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,25,,,,39,,,38,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,4.76,,,,7.44,,,7.24,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,30%,,,,24%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,5,,,,10,,10,,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,95,,,,177,,187,,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,31,,,,25,,32,,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,50,,,,75,,59,,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,181,,,,288,,289,,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,63,,,,90,,94,,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,2,,,,5,,0,,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,31,,,,18,,20,,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,85,,,,176,,174,,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,181,,,,288,,289,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,32,,,,-18,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-8,,,,40,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-26,,,,-17,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-2,,,,5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,51,,,,105,,,,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,23,,,,85,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,31,,,,67,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,43,,,,123,,,,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,25,,,,77,,,,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,20%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,58.20%,58.22%,58.23%,58.23%,58.23%,58.23%,58.23%,58.23%,58.23%,58.23%,58.23%,58.23%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,1.00%,0.86%,0.47%,0.48%,0.49%,0.51%,0.51%,0.48%,0.49%,0.48%,0.47%,0.52%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,0.17%,0.17%,0.10%,0.10%,0.05%,0.19%,0.44%,0.56%,0.63%,0.59%,0.68%,0.69%,,,,,,
Shareholding Pattern (Quarterly),Government,,,,,,,,,0.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,40.20%,40.77%,41.19%,41.18%,41.22%,41.06%,40.82%,40.71%,40.64%,40.69%,40.63%,40.57%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,32139,36841,38606,37888,38685,37023,35644,35225,34479,33882,34199,33583,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,58.23%,,,,58.23%,,,,58.23%,57.90%,57.92%,57.93%,58.02%,58.17%,58.15%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,,0.48%,,,,0.48%,,,,0.52%,0.00%,0.00%,0.00%,0.01%,0.00%,0.91%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,,0.10%,,,,0.56%,,,,0.69%,0.07%,0.26%,0.57%,0.66%,0.48%,0.08%
Shareholding Pattern (Yearly),Government,,,,,,,,,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.28%,0.38%,0.43%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,41.18%,,,,40.71%,,,,40.57%,42.03%,41.82%,41.50%,41.03%,40.97%,40.43%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,37888,,,,35225,,,,33583,22012,21261,21282,22932,28258,29674
,,,,,,,,,,,,,,,,,,,,,,,,,,,
