Section,,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,93.29,106.80,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,85.21,95.61,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,8.08,11.19,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,8.66%,10.48%,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.63,6.87,,,,,,,,,,,,,,,,
Quarterly Results,Interest,2.50,3.23,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,3.19,4.77,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,3.02,10.06,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,39.74%,38.27%,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,1.82,6.21,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.32,1.09,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,302,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,266,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,36,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,12%,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,8,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,13,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,13,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,19,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,35%,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,12,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,2.13,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,0%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,28,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,256,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,67,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,105,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,457,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,104,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,0,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,0,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,353,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,457,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,9,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,11,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,-15,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,146,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,120,,,,,,,,,,,,,,,,
Ratios,Days Payable,,105,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,161,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,249,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,40.30%,40.30%,54.50%,54.51%,54.51%,43.30%,43.30%,43.30%,43.30%,43.30%,43.30%,40.30%,,,,,,
Shareholding Pattern (Quarterly),FIIs,0.03%,0.08%,5.97%,5.50%,5.51%,3.44%,3.55%,3.36%,0.51%,0.33%,0.33%,0.01%,,,,,,
Shareholding Pattern (Quarterly),Public,59.66%,59.62%,39.53%,40.00%,40.00%,53.25%,53.16%,53.34%,56.17%,56.38%,56.37%,59.69%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,11191,12908,7800,8260,8134,6792,6470,6449,7466,8540,9464,10426,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,40.30%,,,,43.30%,,,,43.30%,,,57.37%,53.26%,52.47%,54.50%,54.50%,54.50%
Shareholding Pattern (Yearly),FIIs,,0.08%,,,,3.44%,,,,0.33%,,,0.00%,0.00%,1.64%,1.60%,6.02%,5.97%
Shareholding Pattern (Yearly),Public,,59.62%,,,,53.25%,,,,56.38%,,,42.63%,46.74%,45.88%,43.90%,39.47%,39.53%
Shareholding Pattern (Yearly),No. of Shareholders,,12908,,,,6792,,,,8540,,,1475,2240,2426,2419,2664,7702
,,,,,,,,,,,,,,,,,,,
