Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,252,196,182,151,133,156,143,167,158,116,70,105,139,,,,,,,,,,,,,
Quarterly Results,Expenses,222,182,183,145,131,152,140,155,148,118,79,109,144,,,,,,,,,,,,,
Quarterly Results,Operating Profit,30,14,-1,6,2,4,3,11,10,-2,-9,-4,-5,,,,,,,,,,,,,
Quarterly Results,OPM %,12%,7%,-0%,4%,2%,2%,2%,7%,6%,-2%,-12%,-4%,-4%,,,,,,,,,,,,,
Quarterly Results,Other Income,1,1,1,1,1,1,0,0,0,0,0,1,0,,,,,,,,,,,,,
Quarterly Results,Interest,10,9,9,9,8,8,8,8,8,8,8,9,8,,,,,,,,,,,,,
Quarterly Results,Depreciation,17,16,11,13,13,11,12,12,12,11,11,11,11,,,,,,,,,,,,,
Quarterly Results,Profit before tax,5,-10,-20,-16,-18,-15,-17,-8,-10,-21,-28,-23,-24,,,,,,,,,,,,,
Quarterly Results,Tax %,63%,-22%,-3%,-9%,-8%,-10%,-9%,-29%,-54%,-10%,0%,-11%,-46%,,,,,,,,,,,,,
Quarterly Results,Net Profit,2,-8,-20,-14,-17,-14,-15,-6,-5,-19,-28,-21,-13,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.54,-2.03,-5.18,-4.78,-5.70,-4.58,-5.21,-2.02,-1.49,-6.47,-9.62,-7.00,-4.42,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,801,,,,662,,,,624,,,,430,36,66,117,150,144,193,311,305,,,,,
Profit & Loss,Expenses,657,,,,640,,,,595,,,,450,31,48,80,106,113,153,241,246,,,,,
Profit & Loss,Operating Profit,144,,,,21,,,,29,,,,-20,6,18,37,44,31,41,70,59,,,,,
Profit & Loss,OPM %,18%,,,,3%,,,,5%,,,,-5%,16%,28%,32%,29%,21%,21%,23%,19%,,,,,
Profit & Loss,Other Income,3,,,,3,,,,1,,,,2,0,0,0,-4,4,4,3,1,,,,,
Profit & Loss,Interest,30,,,,34,,,,32,,,,33,3,4,7,7,7,28,36,37,,,,,
Profit & Loss,Depreciation,58,,,,54,,,,48,,,,46,3,3,5,6,6,16,17,17,,,,,
Profit & Loss,Profit before tax,59,,,,-64,,,,-50,,,,-97,0,12,25,27,22,2,20,6,,,,,
Profit & Loss,Tax %,29%,,,,-9%,,,,-22%,,,,-16%,83%,0%,30%,37%,43%,53%,13%,32%,,,,,
Profit & Loss,Net Profit,42,,,,-58,,,,-39,,,,-81,0,12,18,17,12,1,17,4,,,,,
Profit & Loss,EPS in Rs,10.93,,,,-19.79,,,,-13.30,,,,-27.51,0.01,3.07,4.65,4.44,3.22,0.19,4.52,1.14,,,,,
Profit & Loss,Dividend Payout %,18%,,,,0%,,,,0%,,,,0%,0%,16%,16%,16%,15%,204%,13%,0%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,25,,,,29,,,,29,,,,29,18,18,18,18,18,18,18,18,,,,,
Balance Sheet,Reserves,293,,,,304,,,,265,,,,184,2,11,25,39,49,48,62,67,,,,,
Balance Sheet,Borrowings,501,,,,436,,,,427,,,,463,30,38,54,57,212,263,280,254,,,,,
Balance Sheet,Other Liabilities,297,,,,271,,,,280,,,,266,7,14,31,32,35,47,64,74,,,,,
Balance Sheet,Total Liabilities,1117,,,,1041,,,,1001,,,,943,58,82,128,146,314,376,425,413,,,,,
Balance Sheet,Fixed Assets,924,,,,882,,,,847,,,,812,38,48,78,77,241,255,246,249,,,,,
Balance Sheet,CWIP,1,,,,1,,,,3,,,,7,2,5,0,20,2,3,33,0,,,,,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,0,0,0,0,3,0,7,,,,,
Balance Sheet,Other Assets,191,,,,158,,,,151,,,,125,17,29,50,49,71,116,146,156,,,,,
Balance Sheet,Total Assets,1117,,,,1041,,,,1001,,,,943,58,82,128,146,314,376,425,413,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,99,,,,21,,,,53,,,,10,3,11,33,30,4,16,62,52,,,,,
Cash Flows,Cash from Investing Activity,-505,,,,-14,,,,-12,,,,-15,-2,-15,-38,-26,-153,-33,-33,-19,,,,,
Cash Flows,Cash from Financing Activity,410,,,,-19,,,,-38,,,,3,-0,4,8,-4,149,17,-26,-34,,,,,
Cash Flows,Net Cash Flow,3,,,,-12,,,,2,,,,-2,-0,0,3,-0,-0,0,3,-2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,28,,,,23,,,,24,,,,21,60,32,48,38,54,45,37,40,,,,,
