Section,,Mar 20069m,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Sep 201318m,Mar 20146m,Mar 2015,Mar 2016,Mar 2006,Sep 2013,Mar 2014,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,428,627,666,603,578,665,500,724,183,15,1,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,461,730,802,731,706,781,598,842,227,53,22,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,-34,-103,-135,-129,-128,-116,-98,-118,-44,-38,-21,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,-8%,-16%,-20%,-21%,-22%,-17%,-20%,-16%,-24%,-251%,-2632%,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,23,155,222,122,124,111,92,84,111,6,2,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,9,17,20,12,11,27,20,30,57,8,10,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,18,23,21,21,18,17,22,22,8,2,2,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,-38,12,46,-39,-32,-49,-48,-86,1,-42,-32,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,18%,-4%,33%,-9%,57%,-8%,-7%,-10%,334%,0%,0%,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,-44,13,38,-38,-43,-32,-31,-73,-2,-42,-32,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,-2.75,0.79,2.36,-2.34,-2.66,-2.00,-1.82,-3.98,-0.11,-2.01,-1.52,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,161,161,161,161,81,87,,,104,104,161,92,92,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,-39,-3,-42,-86,-37,-57,,,-166,-198,-62,-125,-128,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,188,126,124,96,125,131,,,41,38,159,98,41,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,222,184,172,244,252,188,,,91,107,218,200,183,,,,,,,,,,,,,,,,,,
