Section,,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Jun 2025
Quarterly Results,Sales,3328,3537,1596,2936,3409,3574,3457,4004,,,,,
Quarterly Results,Expenses,2861,3020,1425,2518,2856,3050,2736,3081,,,,,
Quarterly Results,Operating Profit,468,517,171,418,552,525,722,923,,,,,
Quarterly Results,OPM %,14%,15%,11%,14%,16%,15%,21%,23%,,,,,
Quarterly Results,Other Income,87,21,105,364,88,89,88,133,,,,,
Quarterly Results,Interest,40,33,18,48,34,31,31,57,,,,,
Quarterly Results,Depreciation,57,71,74,75,76,84,89,153,,,,,
Quarterly Results,Profit before tax,457,435,184,659,531,499,690,845,,,,,
Quarterly Results,Tax %,26%,26%,23%,28%,24%,25%,27%,24%,,,,,
Quarterly Results,Net Profit,338,320,141,475,401,376,507,644,,,,,
Quarterly Results,EPS in Rs,17.05,15.98,6.32,23.41,19.99,13.73,17.15,21.54,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,11398,,,,14444,1996,1953,2854,6751,
Profit & Loss,Expenses,,,,9823,,,,11723,1903,1868,2748,5915,
Profit & Loss,Operating Profit,,,,1575,,,,2722,93,85,106,836,
Profit & Loss,OPM %,,,,14%,,,,19%,5%,4%,4%,12%,
Profit & Loss,Other Income,,,,576,,,,398,25,45,97,88,
Profit & Loss,Interest,,,,140,,,,152,34,31,41,82,
Profit & Loss,Depreciation,,,,277,,,,402,27,29,43,164,
Profit & Loss,Profit before tax,,,,1734,,,,2565,57,70,118,677,
Profit & Loss,Tax %,,,,27%,,,,25%,31%,31%,33%,26%,
Profit & Loss,Net Profit,,,,1274,,,,1928,39,48,80,500,
Profit & Loss,EPS in Rs,,,,62.76,,,,65.00,2.12,2.50,3.84,24.49,
Profit & Loss,Dividend Payout %,,,,0%,,,,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,263,,,,287,197,197,197,243,
Balance Sheet,Reserves,,,,3825,,,,9192,101,148,231,1595,
Balance Sheet,Borrowings,,,,553,,,,1199,157,340,363,320,
Balance Sheet,Other Liabilities,,,,6635,,,,9069,483,596,1362,5247,
Balance Sheet,Total Liabilities,,,,11277,,,,19747,938,1281,2154,7406,
Balance Sheet,Fixed Assets,,,,1450,,,,4051,152,285,625,1105,
Balance Sheet,CWIP,,,,1341,,,,1884,40,3,124,537,
Balance Sheet,Investments,,,,71,,,,65,85,115,143,31,
Balance Sheet,Other Assets,,,,8414,,,,13748,661,878,1262,5732,
Balance Sheet,Total Assets,,,,11277,,,,19747,938,1281,2154,7406,
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,2305,,,,3158,83,67,698,1560,
Cash Flows,Cash from Investing Activity,,,,-3346,,,,-6808,-22,-250,-673,-2088,
Cash Flows,Cash from Financing Activity,,,,909,,,,4036,-50,161,101,642,
Cash Flows,Net Cash Flow,,,,-132,,,,386,12,-21,126,114,
,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,31,,,,30,26,22,12,17,
Ratios,Inventory Days,,,,108,,,,93,54,83,85,192,
Ratios,Days Payable,,,,84,,,,78,67,99,83,143,
Ratios,Cash Conversion Cycle,,,,55,,,,45,13,6,14,66,
Ratios,Working Capital Days,,,,-33,,,,-54,14,13,-67,-58,
Ratios,ROCE %,,,,44%,,,,35%,,16%,21%,52%,
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,64.31%,64.31%,,,,,64.30%
Shareholding Pattern (Quarterly),FIIs,,,,,,,1.40%,0.70%,,,,,2.68%
Shareholding Pattern (Quarterly),DIIs,,,,,,,2.70%,2.46%,,,,,2.86%
Shareholding Pattern (Quarterly),Public,,,,,,,31.58%,32.53%,,,,,30.16%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,767963,851028,,,,,767267
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,64.31%,,,,,64.30%
Shareholding Pattern (Yearly),FIIs,,,,,,,,0.70%,,,,,2.68%
Shareholding Pattern (Yearly),DIIs,,,,,,,,2.46%,,,,,2.86%
Shareholding Pattern (Yearly),Public,,,,,,,,32.53%,,,,,30.16%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,851028,,,,,767267
,,,,,,,,,,,,,,
