Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021
Quarterly Results,Sales,374,213,174,356,511,170,309,198,746,138,196,200,550,
Quarterly Results,Expenses,338,208,164,333,465,162,291,184,708,143,199,197,540,
Quarterly Results,Operating Profit,36,5,10,23,46,8,18,15,38,-5,-4,3,10,
Quarterly Results,OPM %,10%,2%,6%,6%,9%,4%,6%,7%,5%,-3%,-2%,2%,2%,
Quarterly Results,Other Income,1,7,6,6,10,11,12,11,16,18,20,18,24,
Quarterly Results,Interest,5,5,7,9,5,7,6,8,9,5,2,2,2,
Quarterly Results,Depreciation,1,0,0,0,0,0,1,2,2,3,3,4,4,
Quarterly Results,Profit before tax,32,6,9,20,50,12,24,16,43,5,11,16,28,
Quarterly Results,Tax %,-1%,14%,13%,14%,18%,17%,17%,17%,24%,44%,51%,37%,27%,
Quarterly Results,Net Profit,32,6,8,17,41,10,20,13,33,3,5,10,21,
Quarterly Results,EPS in Rs,4.19,0.72,1.02,1.77,4.25,0.99,2.05,1.38,2.96,0.26,0.47,0.90,1.86,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Profit & Loss,Sales,1102,,,,1254,,,,1424,,,,1084,641
Profit & Loss,Expenses,1035,,,,1170,,,,1344,,,,1079,631
Profit & Loss,Operating Profit,67,,,,84,,,,80,,,,5,10
Profit & Loss,OPM %,6%,,,,7%,,,,6%,,,,0%,2%
Profit & Loss,Other Income,22,,,,30,,,,50,,,,80,42
Profit & Loss,Interest,11,,,,26,,,,30,,,,11,10
Profit & Loss,Depreciation,2,,,,2,,,,5,,,,13,2
Profit & Loss,Profit before tax,76,,,,86,,,,95,,,,60,40
Profit & Loss,Tax %,13%,,,,16%,,,,20%,,,,36%,26%
Profit & Loss,Net Profit,66,,,,72,,,,76,,,,39,30
Profit & Loss,EPS in Rs,8.48,,,,7.41,,,,6.80,,,,3.49,84.46
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%
,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,15,,,,19,,,,22,,,,22,4
Balance Sheet,Reserves,102,,,,547,,,,1104,,,,1353,43
Balance Sheet,Borrowings,503,,,,509,,,,291,,,,4,136
Balance Sheet,Other Liabilities,322,,,,143,,,,430,,,,525,610
Balance Sheet,Total Liabilities,943,,,,1219,,,,1847,,,,1904,793
Balance Sheet,Fixed Assets,15,,,,15,,,,60,,,,347,16
Balance Sheet,CWIP,0,,,,5,,,,0,,,,0,0
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0
Balance Sheet,Other Assets,928,,,,1199,,,,1787,,,,1558,778
Balance Sheet,Total Assets,943,,,,1219,,,,1847,,,,1904,793
,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-134,,,,-590,,,,4,,,,496,114
Cash Flows,Cash from Investing Activity,21,,,,22,,,,-1,,,,-239,21
Cash Flows,Cash from Financing Activity,364,,,,364,,,,242,,,,-95,-2
Cash Flows,Net Cash Flow,251,,,,-204,,,,245,,,,163,133
,,,,,,,,,,,,,,,
Ratios,Debtor Days,23,,,,93,,,,171,,,,56,7
Ratios,Inventory Days,10,,,,75,,,,56,,,,102,119
Ratios,Days Payable,35,,,,44,,,,109,,,,36,77
Ratios,Cash Conversion Cycle,-2,,,,123,,,,119,,,,122,49
Ratios,Working Capital Days,-66,,,,132,,,,131,,,,9,-217
Ratios,ROCE %,22%,,,,13%,,,,10%,,,,5%,
,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,71.72%,71.72%,71.72%,71.72%,71.72%,62.30%,59.78%,57.13%,56.86%,56.86%,
Shareholding Pattern (Quarterly),FIIs,,,,1.75%,0.94%,0.69%,0.07%,0.35%,2.30%,1.28%,0.77%,1.01%,1.17%,
Shareholding Pattern (Quarterly),DIIs,,,,11.28%,9.69%,9.29%,8.21%,7.02%,11.19%,8.89%,7.88%,5.39%,4.04%,
Shareholding Pattern (Quarterly),Public,,,,15.25%,17.63%,18.29%,20.00%,20.90%,24.24%,30.05%,34.24%,36.75%,37.96%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,69310,71998,71592,70807,70963,86690,111746,148125,142618,142536,
,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,71.72%,,,,62.30%,,,,56.86%,
Shareholding Pattern (Yearly),FIIs,,,,,0.94%,,,,2.30%,,,,1.17%,
Shareholding Pattern (Yearly),DIIs,,,,,9.69%,,,,11.19%,,,,4.04%,
Shareholding Pattern (Yearly),Public,,,,,17.63%,,,,24.24%,,,,37.96%,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,71998,,,,86690,,,,142536,
,,,,,,,,,,,,,,,
