Section,,Mar 2023,Mar 2024,Mar 2025,Jun 2025
Quarterly Results,Sales,,,,
Quarterly Results,Expenses,,,,
Quarterly Results,Operating Profit,,,,
Quarterly Results,OPM %,,,,
Quarterly Results,Other Income,,,,
Quarterly Results,Interest,,,,
Quarterly Results,Depreciation,,,,
Quarterly Results,Profit before tax,,,,
Quarterly Results,Tax %,,,,
Quarterly Results,Net Profit,,,,
Quarterly Results,EPS in Rs,,,,
Quarterly Results,Raw PDF,,,,
,,,,,
Profit & Loss,Sales,860,1171,1301,
Profit & Loss,Expenses,479,623,706,
Profit & Loss,Operating Profit,381,548,595,
Profit & Loss,OPM %,44%,47%,46%,
Profit & Loss,Other Income,43,55,106,
Profit & Loss,Interest,360,436,459,
Profit & Loss,Depreciation,125,148,140,
Profit & Loss,Profit before tax,-61,19,102,
Profit & Loss,Tax %,2%,111%,53%,
Profit & Loss,Net Profit,-62,-2,48,
Profit & Loss,EPS in Rs,,,1.73,
Profit & Loss,Dividend Payout %,0%,0%,0%,
,,,,,
Balance Sheet,Equity Capital,20,20,276,
Balance Sheet,Reserves,-2532,-2846,3280,
Balance Sheet,Borrowings,3883,4453,4142,
Balance Sheet,Other Liabilities,4504,5434,568,
Balance Sheet,Total Liabilities,5876,7062,8266,
Balance Sheet,Fixed Assets,5259,6212,6305,
Balance Sheet,CWIP,27,39,131,
Balance Sheet,Investments,0,0,14,
Balance Sheet,Other Assets,589,811,1816,
Balance Sheet,Total Assets,5876,7062,8266,
,,,,,
Cash Flows,Cash from Operating Activity,318,539,553,
Cash Flows,Cash from Investing Activity,-85,-786,-5730,
Cash Flows,Cash from Financing Activity,-318,147,5236,
Cash Flows,Net Cash Flow,-84,-100,59,
,,,,,
Ratios,Debtor Days,30,23,25,
Ratios,Inventory Days,,,,
Ratios,Days Payable,,,,
Ratios,Cash Conversion Cycle,30,23,25,
Ratios,Working Capital Days,-1,-1558,16,
Ratios,ROCE %,,30%,12%,
,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,75.91%
Shareholding Pattern (Quarterly),FIIs,,,,8.60%
Shareholding Pattern (Quarterly),DIIs,,,,8.17%
Shareholding Pattern (Quarterly),Public,,,,7.31%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,136022
,,,,,
Shareholding Pattern (Yearly),Promoters,,,,75.91%
Shareholding Pattern (Yearly),FIIs,,,,8.60%
Shareholding Pattern (Yearly),DIIs,,,,8.17%
Shareholding Pattern (Yearly),Public,,,,7.31%
Shareholding Pattern (Yearly),No. of Shareholders,,,,136022
,,,,,
