Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,315,347,355,376,356,407,431,499,506,520,543,602,602,,,,
Quarterly Results,Expenses,257,280,284,296,287,328,344,402,408,415,430,470,468,,,,
Quarterly Results,Operating Profit,58,68,71,80,69,78,87,97,98,104,113,131,134,,,,
Quarterly Results,OPM %,18%,20%,20%,21%,19%,19%,20%,19%,19%,20%,21%,22%,22%,,,,
Quarterly Results,Other Income,29,7,13,16,18,10,10,10,27,25,29,21,19,,,,
Quarterly Results,Interest,2,2,3,3,3,3,6,5,5,4,4,3,2,,,,
Quarterly Results,Depreciation,9,9,13,14,14,14,18,18,20,19,25,26,27,,,,
Quarterly Results,Profit before tax,76,64,68,80,70,70,73,83,100,107,113,124,124,,,,
Quarterly Results,Tax %,10%,14%,13%,14%,11%,6%,9%,8%,13%,19%,19%,19%,17%,,,,
Quarterly Results,Net Profit,69,55,59,69,62,66,67,77,87,87,92,100,103,,,,
Quarterly Results,EPS in Rs,5.14,4.09,4.40,5.18,4.68,4.97,5.01,5.48,6.24,6.18,6.56,7.13,7.34,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1082,,,,1434,,,,1843,,,,2266,167,249,334,517
Profit & Loss,Expenses,869,,,,1146,,,,1483,,,,1783,122,179,246,387
Profit & Loss,Operating Profit,213,,,,288,,,,360,,,,483,46,70,88,130
Profit & Loss,OPM %,20%,,,,20%,,,,20%,,,,21%,27%,28%,26%,25%
Profit & Loss,Other Income,72,,,,54,,,,57,,,,94,0,0,6,41
Profit & Loss,Interest,7,,,,11,,,,19,,,,13,1,1,1,4
Profit & Loss,Depreciation,32,,,,49,,,,72,,,,97,8,10,13,20
Profit & Loss,Profit before tax,245,,,,282,,,,327,,,,468,37,60,79,148
Profit & Loss,Tax %,12%,,,,13%,,,,9%,,,,18%,24%,18%,17%,9%
Profit & Loss,Net Profit,215,,,,245,,,,297,,,,382,28,49,66,135
Profit & Loss,EPS in Rs,16.05,,,,18.36,,,,21.20,,,,27.18,2.29,4.02,5.14,10.57
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,27,,,,27,,,,28,,,,28,24,24,26,26
Balance Sheet,Reserves,1151,,,,1438,,,,2470,,,,2918,6,48,204,333
Balance Sheet,Borrowings,149,,,,106,,,,183,,,,82,0,9,68,119
Balance Sheet,Other Liabilities,497,,,,437,,,,592,,,,593,46,77,105,275
Balance Sheet,Total Liabilities,1824,,,,2008,,,,3273,,,,3622,76,158,402,753
Balance Sheet,Fixed Assets,699,,,,786,,,,1144,,,,1332,27,57,163,361
Balance Sheet,CWIP,42,,,,49,,,,98,,,,0,0,2,5,40
Balance Sheet,Investments,135,,,,0,,,,37,,,,63,0,0,0,76
Balance Sheet,Other Assets,948,,,,1174,,,,1993,,,,2226,49,99,234,276
Balance Sheet,Total Assets,1824,,,,2008,,,,3273,,,,3622,76,158,402,753
,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,206,,,,260,,,,262,,,,426,42,48,72,102
Cash Flows,Cash from Investing Activity,-554,,,,-186,,,,-572,,,,-114,-29,-50,-162,-175
Cash Flows,Cash from Financing Activity,615,,,,-59,,,,783,,,,-92,-4,8,139,53
Cash Flows,Net Cash Flow,267,,,,16,,,,473,,,,220,9,6,49,-20
,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,79,,,,62,,,,63,,,,48,36,70,81,76
Ratios,Inventory Days,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,79,,,,62,,,,63,,,,48,36,70,81,76
Ratios,Working Capital Days,-10,,,,42,,,,40,,,,36,-35,-9,15,16
Ratios,ROCE %,28%,,,,20%,,,,16%,,,,17%,,108%,43%,39%
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,59.89%,59.89%,59.89%,59.89%,59.89%,59.89%,56.93%,56.92%,55.14%,55.09%,55.03%,55.02%,,,,
Shareholding Pattern (Quarterly),FIIs,,14.69%,14.24%,12.66%,11.43%,9.97%,9.66%,14.35%,14.79%,15.30%,15.55%,16.49%,16.09%,,,,
Shareholding Pattern (Quarterly),DIIs,,7.51%,9.13%,10.56%,11.95%,13.57%,14.28%,14.71%,14.72%,16.21%,15.59%,14.57%,15.31%,,,,
Shareholding Pattern (Quarterly),Public,,17.85%,16.69%,16.83%,16.68%,16.52%,16.12%,13.95%,13.50%,13.33%,13.70%,13.80%,13.47%,,,,
Shareholding Pattern (Quarterly),Others,,0.06%,0.06%,0.06%,0.06%,0.06%,0.06%,0.05%,0.07%,0.05%,0.09%,0.08%,0.10%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,379806,363209,365603,364615,361200,352826,322499,308470,289362,283423,275241,276042,,,,
,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,59.89%,,,,59.89%,,,,56.92%,,,,55.02%,,,68.38%,62.60%
Shareholding Pattern (Yearly),FIIs,15.40%,,,,11.43%,,,,14.79%,,,,16.09%,,,7.54%,17.28%
Shareholding Pattern (Yearly),DIIs,6.37%,,,,11.95%,,,,14.72%,,,,15.31%,,,11.40%,6.93%
Shareholding Pattern (Yearly),Public,18.33%,,,,16.68%,,,,13.50%,,,,13.47%,,,12.69%,13.19%
Shareholding Pattern (Yearly),Others,0.00%,,,,0.06%,,,,0.07%,,,,0.10%,,,0.00%,0.00%
Shareholding Pattern (Yearly),No. of Shareholders,366185,,,,364615,,,,308470,,,,276042,,,27551,88416
,,,,,,,,,,,,,,,,,,
