Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,826,776,768,839,971,1200,1252,1390,713,1466,1455,1500,,,,
Quarterly Results,Expenses,777,747,728,801,908,1177,1203,1393,705,1408,1423,1495,,,,
Quarterly Results,Operating Profit,49,29,40,38,64,23,49,-3,8,58,32,5,,,,
Quarterly Results,OPM %,6%,4%,5%,4%,7%,2%,4%,-0%,1%,4%,2%,0%,,,,
Quarterly Results,Other Income,23,23,1,-0,9,5,27,8,10,12,26,33,,,,
Quarterly Results,Interest,2,4,1,4,4,3,4,3,3,4,8,8,,,,
Quarterly Results,Depreciation,2,2,3,11,10,9,10,6,8,8,9,9,,,,
Quarterly Results,Profit before tax,68,46,37,22,59,16,62,-4,6,58,41,21,,,,
Quarterly Results,Tax %,26%,27%,21%,54%,25%,65%,21%,-137%,87%,8%,49%,41%,,,,
Quarterly Results,Net Profit,50,33,29,10,44,6,49,2,1,53,21,12,,,,
Quarterly Results,EPS in Rs,1.06,0.73,0.62,0.22,0.88,0.19,0.92,0.02,0.03,1.04,0.41,0.26,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,3209,,,,4813,,,,5133,2742,2373,1708,3083
Profit & Loss,Expenses,,,,3052,,,,4677,,,,5031,2720,2326,1608,2959
Profit & Loss,Operating Profit,,,,158,,,,137,,,,102,23,47,99,124
Profit & Loss,OPM %,,,,5%,,,,3%,,,,2%,1%,2%,6%,4%
Profit & Loss,Other Income,,,,47,,,,49,,,,81,42,44,13,56
Profit & Loss,Interest,,,,13,,,,17,,,,23,6,19,6,10
Profit & Loss,Depreciation,,,,18,,,,35,,,,35,10,10,8,11
Profit & Loss,Profit before tax,,,,174,,,,133,,,,126,49,62,98,159
Profit & Loss,Tax %,,,,29%,,,,24%,,,,30%,36%,26%,26%,27%
Profit & Loss,Net Profit,,,,123,,,,101,,,,88,31,46,72,116
Profit & Loss,EPS in Rs,,,,2.53,,,,2.01,,,,1.73,8.36,12.31,19.36,2.42
Profit & Loss,Dividend Payout %,,,,0%,,,,15%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,48,,,,50,,,,50,4,4,4,48
Balance Sheet,Reserves,,,,427,,,,667,,,,739,138,183,256,327
Balance Sheet,Borrowings,,,,343,,,,492,,,,535,132,169,181,330
Balance Sheet,Other Liabilities,,,,181,,,,230,,,,386,276,117,131,151
Balance Sheet,Total Liabilities,,,,999,,,,1439,,,,1710,549,473,572,856
Balance Sheet,Fixed Assets,,,,261,,,,295,,,,273,84,95,93,141
Balance Sheet,CWIP,,,,58,,,,36,,,,47,0,2,14,92
Balance Sheet,Investments,,,,0,,,,0,,,,0,0,0,0,0
Balance Sheet,Other Assets,,,,680,,,,1109,,,,1390,465,376,466,624
Balance Sheet,Total Assets,,,,999,,,,1439,,,,1710,549,473,572,856
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,136,,,,-166,,,,124,23,24,75,-32
Cash Flows,Cash from Investing Activity,,,,-83,,,,-56,,,,-150,-8,-30,-70,-144
Cash Flows,Cash from Financing Activity,,,,-3,,,,268,,,,5,-12,37,8,142
Cash Flows,Net Cash Flow,,,,50,,,,46,,,,-21,3,32,13,-33
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,34,,,,37,,,,11,38,18,34,34
Ratios,Inventory Days,,,,19,,,,22,,,,56,15,30,34,21
Ratios,Days Payable,,,,13,,,,12,,,,8,40,7,18,12
Ratios,Cash Conversion Cycle,,,,40,,,,46,,,,58,13,41,49,43
Ratios,Working Capital Days,,,,40,,,,49,,,,47,23,31,45,43
Ratios,ROCE %,,,,24%,,,,14%,,,,12%,,26%,26%,29%
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,83.61%,83.61%,83.61%,83.61%,83.61%,83.61%,83.61%,83.61%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,8.05%,8.02%,7.40%,5.88%,5.30%,5.76%,5.33%,5.24%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,0.20%,0.00%,0.00%,0.02%,0.03%,0.00%,0.00%,0.02%,,,,
Shareholding Pattern (Quarterly),Public,,,,,8.14%,8.37%,8.98%,10.48%,11.06%,10.63%,11.04%,11.14%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,58962,20604,26295,54339,58980,60576,65748,65002,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,83.61%,,,,83.61%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,5.88%,,,,5.24%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,0.02%,,,,0.02%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,,10.48%,,,,11.14%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,54339,,,,65002,,,,
,,,,,,,,,,,,,,,,,
