Section,,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022,Mar 2023
Quarterly Results,Sales,142,39,94,73,108,,
Quarterly Results,Expenses,131,26,86,55,92,,
Quarterly Results,Operating Profit,11,14,8,17,16,,
Quarterly Results,OPM %,8%,34%,9%,24%,15%,,
Quarterly Results,Other Income,6,9,8,6,21,,
Quarterly Results,Interest,1,0,1,1,0,,
Quarterly Results,Depreciation,1,1,1,1,2,,
Quarterly Results,Profit before tax,15,22,14,22,36,,
Quarterly Results,Tax %,7%,19%,5%,10%,14%,,
Quarterly Results,Net Profit,14,18,13,20,30,,
Quarterly Results,EPS in Rs,74933.33,2.11,1.62,1.92,2.51,,
Quarterly Results,Raw PDF,,,,,,,
,,,,,,,,
Profit & Loss,Sales,,301,,,337,183,253
Profit & Loss,Expenses,,263,,,271,159,221
Profit & Loss,Operating Profit,,38,,,65,23,32
Profit & Loss,OPM %,,13%,,,19%,13%,13%
Profit & Loss,Other Income,,31,,,54,29,20
Profit & Loss,Interest,,2,,,2,1,3
Profit & Loss,Depreciation,,3,,,5,2,2
Profit & Loss,Profit before tax,,63,,,112,49,48
Profit & Loss,Tax %,,12%,,,11%,14%,16%
Profit & Loss,Net Profit,,55,,,100,42,40
Profit & Loss,EPS in Rs,,5.19,,,8.54,110133.33,137400.00
Profit & Loss,Dividend Payout %,,0%,,,12%,0%,0%
,,,,,,,,
Balance Sheet,Equity Capital,,72,,,77,0.15,0.15
Balance Sheet,Reserves,,81,,,347,92,112
Balance Sheet,Borrowings,,38,,,9,12,11
Balance Sheet,Other Liabilities,,167,,,381,149,189
Balance Sheet,Total Liabilities,,359,,,814,253,312
Balance Sheet,Fixed Assets,,66,,,238,34,40
Balance Sheet,CWIP,,2,,,2,0,1
Balance Sheet,Investments,,48,,,37,0,31
Balance Sheet,Other Assets,,243,,,537,219,241
Balance Sheet,Total Assets,,359,,,814,253,312
,,,,,,,,
Cash Flows,Cash from Operating Activity,,52,,,62,9,44
Cash Flows,Cash from Investing Activity,,-81,,,-93,-13,-55
Cash Flows,Cash from Financing Activity,,25,,,171,2,-4
Cash Flows,Net Cash Flow,,-4,,,141,-3,-14
,,,,,,,,
Ratios,Debtor Days,,97,,,214,108,94
Ratios,Inventory Days,,43,,,185,139,109
Ratios,Days Payable,,117,,,167,93,120
Ratios,Cash Conversion Cycle,,22,,,232,154,82
Ratios,Working Capital Days,,12,,,169,66,20
Ratios,ROCE %,,31%,,,28%,,28%
,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,73.91%,,
Shareholding Pattern (Quarterly),FIIs,,,,,3.99%,,
Shareholding Pattern (Quarterly),DIIs,,,,,8.76%,,
Shareholding Pattern (Quarterly),Public,,,,,13.35%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,81106,,
,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,73.91%,,
Shareholding Pattern (Yearly),FIIs,,,,,3.99%,,
Shareholding Pattern (Yearly),DIIs,,,,,8.76%,,
Shareholding Pattern (Yearly),Public,,,,,13.35%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,81106,,
,,,,,,,,
