Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Mar 201915m,Mar 2020,Mar 2021,Mar 2019,Mar 2017,Mar 2018
Quarterly Results,Sales,1174,1098,1035,1327,1631,1833,1610,2017,2258,2381,1991,2245,2480,,,,,,,,,,,
Quarterly Results,Expenses,1090,1008,975,1223,1491,1671,1452,1812,2037,2160,1809,2039,2221,,,,,,,,,,,
Quarterly Results,Operating Profit,84,90,60,104,140,162,158,205,221,221,182,206,258,,,,,,,,,,,
Quarterly Results,OPM %,7%,8%,6%,8%,9%,9%,10%,10%,10%,9%,9%,9%,10%,,,,,,,,,,,
Quarterly Results,Other Income,10,12,37,14,7,13,14,15,22,16,23,8,10,,,,,,,,,,,
Quarterly Results,Interest,36,35,39,40,51,51,52,58,57,53,57,57,62,,,,,,,,,,,
Quarterly Results,Depreciation,26,25,28,30,31,45,53,56,54,49,47,45,51,,,,,,,,,,,
Quarterly Results,Profit before tax,32,41,30,47,65,79,68,106,130,135,100,112,155,,,,,,,,,,,
Quarterly Results,Tax %,48%,27%,33%,22%,42%,34%,21%,26%,31%,26%,28%,22%,27%,,,,,,,,,,,
Quarterly Results,Net Profit,17,30,20,37,38,52,54,79,90,100,72,87,114,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.95,1.75,1.15,2.13,2.20,3.04,3.12,4.56,5.21,5.83,4.19,5.07,6.61,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,3809,,,,5091,,,,7718,,,,9097,1524,1652,2892,2938,2061,3170,2861,2728,,,
Profit & Loss,Expenses,3516,,,,4691,,,,6973,,,,8229,1362,1561,2700,2726,1796,2843,2523,2515,,,
Profit & Loss,Operating Profit,293,,,,400,,,,745,,,,868,162,91,192,212,264,327,338,213,,,
Profit & Loss,OPM %,8%,,,,8%,,,,10%,,,,10%,11%,6%,7%,7%,13%,10%,12%,8%,,,
Profit & Loss,Other Income,45,,,,63,,,,64,,,,56,34,114,-102,23,7,14,-10,45,,,
Profit & Loss,Interest,142,,,,165,,,,218,,,,229,128,136,138,89,88,124,130,138,,,
Profit & Loss,Depreciation,103,,,,114,,,,208,,,,192,44,43,37,46,58,82,137,100,,,
Profit & Loss,Profit before tax,94,,,,184,,,,383,,,,503,24,27,-85,99,126,134,60,20,,,
Profit & Loss,Tax %,26%,,,,32%,,,,28%,,,,26%,61%,28%,-30%,48%,42%,38%,27%,20%,,,
Profit & Loss,Net Profit,69,,,,125,,,,274,,,,373,9,19,-59,51,73,83,44,16,,,
Profit & Loss,EPS in Rs,4.01,,,,7.23,,,,15.93,,,,21.70,0.81,1.25,-3.82,3.28,4.69,4.77,2.51,0.92,,,
Profit & Loss,Dividend Payout %,11%,,,,10%,,,,11%,,,,9%,12%,0%,0%,9%,9%,8%,12%,13%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,17,,,,17,,,,17,,,,17,12,16,16,16,16,,17,17,17,,
Balance Sheet,Reserves,1114,,,,1220,,,,1477,,,,1816,397,552,493,536,602,,1035,1049,1004,,
Balance Sheet,Borrowings,560,,,,766,,,,889,,,,961,770,765,601,356,489,,539,458,532,,
Balance Sheet,Other Liabilities,1925,,,,3013,,,,3534,,,,3710,682,862,1336,973,1282,,1533,1669,1044,,
Balance Sheet,Total Liabilities,3616,,,,5017,,,,5917,,,,6505,1860,2195,2445,1881,2388,,3125,3192,2597,,
Balance Sheet,Fixed Assets,655,,,,847,,,,1081,,,,1074,224,335,349,385,462,,624,601,529,,
Balance Sheet,CWIP,2,,,,117,,,,10,,,,21,7,3,3,6,38,,5,53,7,,
Balance Sheet,Investments,113,,,,45,,,,5,,,,42,0,0,0,1,1,,255,194,1,,
Balance Sheet,Other Assets,2847,,,,4007,,,,4821,,,,5367,1630,1856,2093,1489,1887,,2241,2344,2060,,
Balance Sheet,Total Assets,3616,,,,5017,,,,5917,,,,6505,1860,2195,2445,1881,2388,,3125,3192,2597,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,339,,,,471,,,,704,,,,203,187,44,465,326,68,,447,191,-134,,
Cash Flows,Cash from Investing Activity,-25,,,,-438,,,,-419,,,,-245,-49,-38,-104,-20,-157,,-87,-51,-133,,
Cash Flows,Cash from Financing Activity,-56,,,,28,,,,-123,,,,-209,-147,-4,-302,-222,40,,-212,-250,244,,
Cash Flows,Net Cash Flow,258,,,,61,,,,162,,,,-251,-9,1,59,83,-49,,147,-110,-24,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,60,,,,77,,,,57,,,,64,96,91,39,27,42,,75,71,50,,
Ratios,Inventory Days,118,,,,119,,,,86,,,,73,680,641,530,61,92,,99,144,75,,
Ratios,Days Payable,276,,,,275,,,,206,,,,202,211,236,340,340,363,,225,311,171,,
Ratios,Cash Conversion Cycle,-99,,,,-78,,,,-63,,,,-64,566,496,229,-252,-229,,-51,-96,-45,,
Ratios,Working Capital Days,23,,,,6,,,,9,,,,30,160,159,37,0,37,,38,48,90,,
Ratios,ROCE %,14%,,,,19%,,,,27%,,,,28%,13%,5%,14%,19%,24%,,15%,10%,20%,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,46.64%,46.64%,46.64%,46.64%,46.64%,46.64%,46.64%,46.64%,46.64%,46.64%,46.64%,46.64%,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,10.47%,12.80%,13.30%,12.23%,13.46%,14.42%,13.90%,17.08%,20.00%,20.99%,17.04%,13.95%,,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,11.62%,8.37%,5.64%,5.07%,4.57%,3.38%,1.94%,1.82%,2.44%,2.32%,2.60%,6.14%,,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,31.27%,32.20%,34.42%,36.05%,35.34%,35.56%,37.53%,34.46%,30.92%,30.06%,33.72%,33.28%,,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,55360,47476,46637,49858,57196,73005,76050,78347,86975,108988,107317,102140,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,46.64%,,,,46.64%,,,,46.64%,,,,46.64%,,,,,,,46.64%,46.64%,46.64%,51.63%,46.64%
Shareholding Pattern (Yearly),FIIs,10.50%,,,,12.23%,,,,17.08%,,,,13.95%,,,,,,,6.79%,10.91%,4.59%,2.69%,2.98%
Shareholding Pattern (Yearly),DIIs,12.31%,,,,5.07%,,,,1.82%,,,,6.14%,,,,,,,25.44%,20.33%,28.07%,23.62%,29.24%
Shareholding Pattern (Yearly),Public,30.55%,,,,36.05%,,,,34.46%,,,,33.28%,,,,,,,21.13%,22.13%,20.70%,22.06%,21.14%
Shareholding Pattern (Yearly),No. of Shareholders,55390,,,,49858,,,,78347,,,,102140,,,,,,,35834,44245,35220,22552,31193
,,,,,,,,,,,,,,,,,,,,,,,,,
