Section,,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Dec 2024,Mar 2025
Quarterly Results,Sales,11.78,10.94,11.73,17.02,15.80,14.11,17.51,13.30,11.63,13.81,13.18,7.77,5.20,,,,,,,,,,,,
Quarterly Results,Expenses,10.56,13.17,10.20,13.66,13.83,12.48,16.93,12.79,13.02,14.38,10.36,11.86,5.33,,,,,,,,,,,,
Quarterly Results,Operating Profit,1.22,-2.23,1.53,3.36,1.97,1.63,0.58,0.51,-1.39,-0.57,2.82,-4.09,-0.13,,,,,,,,,,,,
Quarterly Results,OPM %,10.36%,-20.38%,13.04%,19.74%,12.47%,11.55%,3.31%,3.83%,-11.95%,-4.13%,21.40%,-52.64%,-2.50%,,,,,,,,,,,,
Quarterly Results,Other Income,1.03,4.32,8.78,1.51,3.99,2.18,3.39,4.91,3.21,2.95,3.42,2.19,3.45,,,,,,,,,,,,
Quarterly Results,Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Quarterly Results,Depreciation,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.05,0.08,0.08,0.07,0.06,,,,,,,,,,,,
Quarterly Results,Profit before tax,2.20,2.04,10.26,4.82,5.91,3.77,3.92,5.38,1.77,2.30,6.16,-1.97,3.26,,,,,,,,,,,,
Quarterly Results,Tax %,43.64%,-2.94%,4.87%,39.00%,16.58%,39.52%,7.14%,42.38%,1.13%,3.04%,19.48%,88.83%,54.60%,,,,,,,,,,,,
Quarterly Results,Net Profit,1.23,2.07,9.74,2.93,4.91,5.53,3.63,3.08,1.75,2.28,4.94,-3.72,1.59,,,,,,,,,,,,
Quarterly Results,EPS in Rs,0.01,0.04,0.20,0.02,0.14,0.14,0.08,0.05,0.07,0.04,0.15,-0.11,0.03,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,56.34,,,,75.10,,,,65.00,,,224.50,214.59,197.56,189.00,110.78,115.65,100.87,44.86,56.87,39.96,,
Profit & Loss,Expenses,,,41.96,,,,56.89,,,,50.57,,,99.76,102.41,92.92,95.56,84.68,83.44,73.72,67.90,48.47,41.93,,
Profit & Loss,Operating Profit,,,14.38,,,,18.21,,,,14.43,,,124.74,112.18,104.64,93.44,26.10,32.21,27.15,-23.04,8.40,-1.97,,
Profit & Loss,OPM %,,,25.52%,,,,24.25%,,,,22.20%,,,55.56%,52.28%,52.97%,49.44%,23.56%,27.85%,26.92%,-51.36%,14.77%,-4.93%,,
Profit & Loss,Other Income,,,1.09,,,,3.60,,,,1.42,,,2.43,8.30,11.12,1.76,4.39,5.88,-25.58,3.80,1.76,12.01,,
Profit & Loss,Interest,,,0.00,,,,0.00,,,,0.00,,,2.71,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
