Section,,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2021,Mar 2022,Mar 2023,Jun 2022,Sep 2022,Dec 2022,Jun 2023,Sep 2023
Quarterly Results,Sales,52,35,26,21,11,17,2,0,0,0,1,1,5,,,,,,,,,,,,,
Quarterly Results,Expenses,51,118,23,18,62,151,20,6,12,28,35,37,14,,,,,,,,,,,,,
Quarterly Results,Operating Profit,1,-82,3,3,-50,-133,-18,-6,-12,-28,-34,-36,-9,,,,,,,,,,,,,
Quarterly Results,OPM %,1%,-232%,12%,15%,-444%,-773%,-912%,,,,-3550%,-3118%,-192%,,,,,,,,,,,,,
Quarterly Results,Other Income,1,-9015,1,1,1,-44,-161,0,0,2,0,1,5,,,,,,,,,,,,,
Quarterly Results,Interest,338,397,357,361,357,394,389,5,10,10,6,2,2,,,,,,,,,,,,,
Quarterly Results,Depreciation,54,-91,17,17,19,18,18,17,17,15,15,15,16,,,,,,,,,,,,,
Quarterly Results,Profit before tax,-390,-9404,-371,-375,-426,-589,-586,-27,-39,-51,-54,-53,-23,,,,,,,,,,,,,
Quarterly Results,Tax %,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,
Quarterly Results,Net Profit,-390,-9795,-371,-375,-426,-589,-586,-27,-39,-51,-54,-53,-23,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,-5.29,-132.80,-5.03,-5.09,-5.77,-7.98,-7.94,-5.21,-7.37,-9.77,-10.31,-10.04,-4.34,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,180,,,,75,,,0,,,,7,2534,912,312,563,378,6,6,3,,,,,
Profit & Loss,Expenses,,266,,,,253,,,29,,,,115,1907,830,459,529,557,30,33,36,,,,,
Profit & Loss,Operating Profit,,-86,,,,-178,,,-29,,,,-108,626,81,-147,34,-179,-24,-27,-33,,,,,
Profit & Loss,OPM %,,-48%,,,,-235%,,,,,,,-1536%,25%,9%,-47%,6%,-47%,-376%,-421%,-1039%,,,,,
Profit & Loss,Other Income,,-9011,,,,-42,,,2,,,,8,38,31,34,39,-84,-1298,13,19508,,,,,
Profit & Loss,Interest,,1368,,,,1469,,,26,,,,21,477,487,537,626,754,2032,1999,1470,,,,,
Profit & Loss,Depreciation,,70,,,,72,,,68,,,,61,166,204,221,208,208,74,74,68,,,,,
Profit & Loss,Profit before tax,,-10536,,,,-1761,,,-121,,,,-182,21,-578,-871,-760,-1224,-3427,-2086,17937,,,,,
Profit & Loss,Tax %,,4%,,,,0%,,,0%,,,,0%,87%,-36%,-32%,-24%,-17%,0%,0%,0%,,,,,
Profit & Loss,Net Profit,,-10927,,,,-1761,,,-121,,,,-182,3,-371,-592,-577,-1012,-3427,-2086,17937,,,,,
Profit & Loss,EPS in Rs,,-148.14,,,,-23.87,,,-22.89,,,,-34.45,0.04,-5.03,-8.05,-7.84,-13.72,-46.46,-28.28,243.19,,,,,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,738,,,,738,,,3,,,,53,736,736,736,736,738,738,738,3,,,,,
Balance Sheet,Reserves,,-11159,,,,-12915,,,474,,,,243,1607,1880,1289,711,-294,-16042,-18127,545,,,,,
Balance Sheet,Borrowings,,11780,,,,12918,,,2219,,,,2505,5527,6893,8306,9456,10689,15433,15436,2148,,,,,
Balance Sheet,Other Liabilities,,2788,,,,4007,,,48,,,,91,2210,1918,1491,1519,1862,3678,5697,91,,,,,
Balance Sheet,Total Liabilities,,4146,,,,4747,,,2743,,,,2892,10080,11427,11821,12422,12994,3807,3743,2785,,,,,
