Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,242,242,241,233,283,302,263,294,318,316,315,,,,
Quarterly Results,Expenses,211,208,214,202,242,258,225,252,268,270,267,,,,
Quarterly Results,Operating Profit,31,34,27,31,40,45,38,42,50,47,48,,,,
Quarterly Results,OPM %,13%,14%,11%,13%,14%,15%,14%,14%,16%,15%,15%,,,,
Quarterly Results,Other Income,2,3,3,1,3,2,6,2,2,4,3,,,,
Quarterly Results,Interest,5,6,5,5,9,7,1,0,0,0,2,,,,
Quarterly Results,Depreciation,3,3,3,3,5,5,3,5,5,5,10,,,,
Quarterly Results,Profit before tax,25,28,21,25,30,35,40,39,47,46,39,,,,
Quarterly Results,Tax %,24%,31%,19%,28%,24%,29%,27%,25%,25%,25%,25%,,,,
Quarterly Results,Net Profit,19,20,17,18,23,25,29,29,35,34,30,,,,
Quarterly Results,EPS in Rs,3.91,4.08,3.59,3.66,4.77,4.39,5.02,5.15,6.12,5.98,5.17,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,926,,,,1081,,,,1244,356,373,411,801
Profit & Loss,Expenses,,,813,,,,927,,,,1058,315,322,356,704
Profit & Loss,Operating Profit,,,114,,,,154,,,,186,41,51,54,96
Profit & Loss,OPM %,,,12%,,,,14%,,,,15%,11%,14%,13%,12%
Profit & Loss,Other Income,,,9,,,,12,,,,12,0,1,1,3
Profit & Loss,Interest,,,20,,,,21,,,,2,6,5,4,6
Profit & Loss,Depreciation,,,11,,,,16,,,,25,11,10,6,8
Profit & Loss,Profit before tax,,,92,,,,130,,,,171,25,38,46,86
Profit & Loss,Tax %,,,26%,,,,27%,,,,25%,20%,26%,26%,25%
Profit & Loss,Net Profit,,,68,,,,94,,,,128,20,28,34,64
Profit & Loss,EPS in Rs,,,14.16,,,,16.49,,,,22.41,165.67,232.42,287.50,532.92
Profit & Loss,Dividend Payout %,,,0%,,,,0%,,,,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,48,,,,57,,,,57,12,12,12,12
Balance Sheet,Reserves,,,229,,,,774,,,,902,70,98,133,197
Balance Sheet,Borrowings,,,237,,,,245,,,,338,72,54,46,199
Balance Sheet,Other Liabilities,,,191,,,,240,,,,283,68,81,179,167
Balance Sheet,Total Liabilities,,,704,,,,1316,,,,1580,223,245,370,575
Balance Sheet,Fixed Assets,,,183,,,,358,,,,830,78,73,79,183
Balance Sheet,CWIP,,,22,,,,341,,,,23,0,0,7,0
Balance Sheet,Investments,,,0,,,,0,,,,0,0,0,0,0
Balance Sheet,Other Assets,,,500,,,,617,,,,728,144,172,283,392
Balance Sheet,Total Assets,,,704,,,,1316,,,,1580,223,245,370,575
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,67,,,,146,,,,64,19,31,42,59
Cash Flows,Cash from Investing Activity,,,-91,,,,-499,,,,-152,-9,-6,-20,-188
Cash Flows,Cash from Financing Activity,,,27,,,,361,,,,92,-9,-23,-19,125
Cash Flows,Net Cash Flow,,,3,,,,8,,,,4,1,1,3,-5
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,104,,,,97,,,,97,93,85,123,97
Ratios,Inventory Days,,,77,,,,91,,,,93,50,84,107,76
Ratios,Days Payable,,,105,,,,113,,,,90,80,92,132,86
Ratios,Cash Conversion Cycle,,,77,,,,75,,,,100,64,77,99,87
Ratios,Working Capital Days,,,98,,,,88,,,,110,77,86,73,97
Ratios,ROCE %,,,24%,,,,19%,,,,15%,,26%,28%,31%
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,50.90%,50.90%,50.90%,50.90%,50.90%,50.90%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,3.57%,1.94%,1.19%,1.01%,0.74%,0.35%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,10.31%,20.78%,21.24%,20.61%,19.96%,19.77%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,35.22%,26.39%,26.67%,27.48%,28.41%,29.00%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,139117,39396,35115,32254,36692,39996,,,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,50.90%,,,,50.90%,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,1.94%,,,,0.35%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,20.78%,,,,19.77%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,26.39%,,,,29.00%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,39396,,,,39996,,,,
,,,,,,,,,,,,,,,,
