Section,,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2010,Jun 201115m,Mar 20129m,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,TTM,Jun 2011,Mar 2012,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022
Quarterly Results,Sales,56,35,30,84,54,48,48,52,69,52,48,49,50,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,220,151,74,172,102,171,53,44,54,46,68,41,42,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,-164,-116,-44,-89,-48,-124,-5,9,16,6,-20,8,8,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,-292%,-332%,-148%,-106%,-88%,-259%,-11%,17%,22%,12%,-41%,16%,16%,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,33,13,1,5,1,291,1,24,10,11,1,355,451,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,4,4,4,5,5,6,5,5,5,5,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,1,1,1,1,1,1,1,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,-136,-108,-49,-89,-52,161,-11,27,19,10,-26,356,452,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,-136,-108,-49,-89,-52,161,-11,27,19,10,-26,356,452,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,-8.67,-6.86,-3.13,-5.68,-3.32,10.22,-0.67,1.71,1.23,0.64,-1.63,22.66,28.74,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,219,,,,215,,,,221,,,,2237,3942,1858,2592,1618,1675,1683,1221,995,198,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,633,,,,434,,,,163,,,,1913,3338,1741,2440,1441,2201,2778,1378,1122,196,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,-414,,,,-219,,,,58,,,,324,605,117,152,178,-526,-1095,-157,-127,2,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,-189%,,,,-102%,,,,26%,,,,14%,15%,6%,6%,11%,-31%,-65%,-13%,-13%,1%,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,20,,,,213,,,,14,,,,138,272,-1,40,23,77,-904,34,-718,818,,,,,,,,,,,,,,,
Profit & Loss,Interest,,17,,,,19,,,,21,,,,155,486,452,567,582,517,610,547,19,22,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,5,,,,5,,,,5,,,,59,104,102,178,126,133,101,47,17,5,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,-415,,,,-30,,,,46,,,,247,286,-438,-552,-508,-1098,-2709,-718,-881,793,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,0%,,,,0%,,,,0%,,,,16%,26%,4%,1%,6%,0%,0%,-1%,-0%,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,-415,,,,-30,,,,46,,,,206,198,-459,-554,-562,-1115,-2868,-994,-454,793,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,-26.39,,,,-1.91,,,,2.91,,,,21.31,20.38,-47.20,-35.32,-35.69,-70.88,-182.31,-63.19,-28.89,50.41,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,,,,14%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,157,,,,157,,,,157,,157,,97,,,157,157,157,157,157,157,,97,97,,,,,,,,,,,,,
Balance Sheet,Reserves,,-7560,,,,-7655,,,,-7588,,-7266,,1316,,,796,273,-874,-5160,-6127,-6570,,1509,1139,,,,,,,,,,,,,
Balance Sheet,Borrowings,,157,,,,174,,,,194,,6582,,2374,,,4784,4008,3300,260,127,141,,4189,4329,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,7556,,,,7588,,,,7434,,788,,937,,,2472,3167,4111,7149,7433,7270,,1705,2625,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,310,,,,265,,,,197,,261,,4723,,,8208,7606,6695,2407,1591,998,,7500,8190,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,79,,,,79,,,,76,,77,,340,,,512,419,249,141,99,83,,566,597,,,,,,,,,,,,,
Balance Sheet,CWIP,,0,,,,0,,,,0,,0,,99,,,106,118,64,0,0,0,,249,181,,,,,,,,,,,,,
Balance Sheet,Investments,,184,,,,51,,,,51,,51,,591,,,2291,3245,3167,701,416,842,,2452,2329,,,,,,,,,,,,,
Balance Sheet,Other Assets,,47,,,,135,,,,70,,133,,3693,,,5298,3823,3215,1565,1076,73,,4233,5082,,,,,,,,,,,,,
Balance Sheet,Total Assets,,310,,,,265,,,,197,,261,,4723,,,8208,7606,6695,2407,1591,998,,7500,8190,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,92,,,,83,,,,63,,,,362,,,-17,467,330,80,76,140,,127,-1938,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,2,,,,7,,,,-0,,,,-1134,,,-26,92,7,41,21,-11,,-2207,-116,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,-105,,,,-103,,,,-64,,,,1305,,,56,-496,-395,-140,-78,-212,,1300,1391,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,-10,,,,-14,,,,-1,,,,532,,,13,63,-58,-18,19,-83,,-780,-664,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,0,,,,0,,,,0,,,,60,,,179,206,120,46,23,0,,94,225,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,72,,,678,180,145,32,,,,55,112,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,208,,,663,332,612,587,,,,193,149,,,,,,,,,,,,,
