Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2019
Quarterly Results,Sales,54,53,53,56,87,81,114,115,122,128,164,164,274,,,
Quarterly Results,Expenses,51,53,47,52,84,77,106,110,120,120,149,137,245,,,
Quarterly Results,Operating Profit,3,1,5,4,3,4,8,5,1,8,15,27,29,,,
Quarterly Results,OPM %,6%,1%,10%,8%,4%,5%,7%,4%,1%,7%,9%,17%,10%,,,
Quarterly Results,Other Income,2,1,-1,0,0,0,0,3,5,1,10,4,1,,,
Quarterly Results,Interest,0,1,1,1,1,1,1,1,2,2,4,6,5,,,
Quarterly Results,Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,0,,,
Quarterly Results,Profit before tax,4,0,3,3,2,3,7,6,3,7,20,25,24,,,
Quarterly Results,Tax %,26%,-117%,37%,32%,29%,25%,26%,25%,23%,26%,25%,24%,35%,,,
Quarterly Results,Net Profit,3,1,2,2,1,2,5,4,3,5,15,16,15,,,
Quarterly Results,EPS in Rs,2.20,0.56,1.55,1.79,1.18,1.70,4.70,4.01,2.38,4.88,13.13,14.69,9.85,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,176,,,,250,,,,439,,,,743,79,104,
Profit & Loss,Expenses,168,,,,236,,,,413,,,,652,73,97,
Profit & Loss,Operating Profit,8,,,,13,,,,25,,,,92,6,8,
Profit & Loss,OPM %,5%,,,,5%,,,,6%,,,,12%,7%,7%,
Profit & Loss,Other Income,2,,,,0,,,,1,,,,4,0,0,
Profit & Loss,Interest,4,,,,3,,,,5,,,,17,2,2,
Profit & Loss,Depreciation,2,,,,3,,,,3,,,,2,1,2,
Profit & Loss,Profit before tax,4,,,,8,,,,19,,,,76,3,3,
Profit & Loss,Tax %,27%,,,,27%,,,,25%,,,,28%,28%,30%,
Profit & Loss,Net Profit,3,,,,6,,,,14,,,,51,2,2,
Profit & Loss,EPS in Rs,2.30,,,,5.21,,,,12.80,,,,34.24,1.76,1.82,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,8%,,,,3%,32%,40%,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,10,,,,11,,,,13,,,,16,5,10,
Balance Sheet,Reserves,15,,,,29,,,,53,,,,196,16,13,
Balance Sheet,Borrowings,41,,,,41,,,,50,,,,258,17,36,
Balance Sheet,Other Liabilities,26,,,,29,,,,47,,,,104,13,22,
Balance Sheet,Total Liabilities,92,,,,110,,,,163,,,,574,51,81,
Balance Sheet,Fixed Assets,20,,,,22,,,,22,,,,26,7,18,
Balance Sheet,CWIP,0,,,,3,,,,8,,,,84,1,0,
Balance Sheet,Investments,1,,,,1,,,,1,,,,2,0,0,
Balance Sheet,Other Assets,70,,,,84,,,,131,,,,462,43,62,
Balance Sheet,Total Assets,92,,,,110,,,,163,,,,574,51,81,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,4,,,,2,,,,-7,,,,-203,-0,-4,
Cash Flows,Cash from Investing Activity,-5,,,,-7,,,,-8,,,,-82,-3,-12,
Cash Flows,Cash from Financing Activity,2,,,,6,,,,15,,,,288,4,16,
Cash Flows,Net Cash Flow,-0,,,,0,,,,-0,,,,2,1,0,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,57,,,,34,,,,26,,,,59,94,108,
Ratios,Inventory Days,73,,,,61,,,,44,,,,78,87,98,
Ratios,Days Payable,46,,,,24,,,,36,,,,42,74,84,
Ratios,Cash Conversion Cycle,84,,,,71,,,,33,,,,95,106,122,
Ratios,Working Capital Days,84,,,,71,,,,62,,,,111,113,109,
Ratios,ROCE %,10%,,,,18%,,,,24%,,,,31%,,12%,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,72.77%,72.21%,65.34%,55.43%,55.43%,55.43%,55.43%,55.41%,55.41%,55.41%,55.41%,43.62%,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,2.60%,2.22%,1.94%,1.94%,1.63%,1.63%,1.64%,1.63%,0.68%,0.09%,0.01%,,,
Shareholding Pattern (Quarterly),DIIs,,2.63%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
Shareholding Pattern (Quarterly),Public,,24.61%,25.19%,32.45%,42.62%,42.62%,42.94%,42.94%,42.95%,42.95%,43.91%,44.51%,56.37%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,1668,4264,4618,3816,3764,3687,4603,6029,6508,10385,16912,19007,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,72.77%,,,,55.43%,,,,55.41%,,,,43.62%,72.77%,72.77%,72.77%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,1.94%,,,,1.64%,,,,0.01%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,2.50%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.52%,0.00%
Shareholding Pattern (Yearly),Public,24.73%,,,,42.62%,,,,42.95%,,,,56.37%,27.24%,26.71%,27.23%
Shareholding Pattern (Yearly),No. of Shareholders,1420,,,,3816,,,,6029,,,,19007,70,176,87
,,,,,,,,,,,,,,,,,
