Section,,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,195,197,208,235,239,252,252,279,313,345,,,,,,
Quarterly Results,Expenses,181,182,191,216,219,232,232,258,290,320,,,,,,
Quarterly Results,Operating Profit,14,14,17,19,20,20,20,22,23,26,,,,,,
Quarterly Results,OPM %,7%,7%,8%,8%,8%,8%,8%,8%,7%,7%,,,,,,
Quarterly Results,Other Income,0,1,0,1,1,1,1,1,1,2,,,,,,
Quarterly Results,Interest,4,5,5,5,6,6,6,5,5,6,,,,,,
Quarterly Results,Depreciation,1,1,2,3,3,3,3,4,4,5,,,,,,
Quarterly Results,Profit before tax,8,9,10,11,12,12,12,14,15,16,,,,,,
Quarterly Results,Tax %,23%,36%,28%,27%,28%,26%,27%,28%,31%,29%,,,,,,
Quarterly Results,Net Profit,6,6,7,8,9,9,9,10,10,12,,,,,,
Quarterly Results,EPS in Rs,2.64,2.40,2.95,3.39,3.56,3.58,3.59,3.74,3.83,4.23,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,748,,,,931,,,,1190,,,,,,
Profit & Loss,Expenses,,696,,,,856,,,,1100,,,,,,
Profit & Loss,Operating Profit,,52,,,,75,,,,90,,,,,,
Profit & Loss,OPM %,,7%,,,,8%,,,,8%,,,,,,
Profit & Loss,Other Income,,3,,,,4,,,,6,,,,,,
Profit & Loss,Interest,,17,,,,22,,,,22,,,,,,
Profit & Loss,Depreciation,,5,,,,12,,,,16,,,,,,
Profit & Loss,Profit before tax,,33,,,,45,,,,57,,,,,,
Profit & Loss,Tax %,,27%,,,,27%,,,,29%,,,,,,
Profit & Loss,Net Profit,,24,,,,33,,,,41,,,,,,
Profit & Loss,EPS in Rs,,9.97,,,,13.48,,,,14.90,,,,,,
Profit & Loss,Dividend Payout %,,0%,,,,0%,,,,0%,,,,,,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,24,,,,24,,,,28,,,,,,
Balance Sheet,Reserves,,124,,,,159,,,,294,,,,,,
Balance Sheet,Borrowings,,207,,,,260,,,,316,,,,,,
Balance Sheet,Other Liabilities,,9,,,,10,,,,14,,,,,,
Balance Sheet,Total Liabilities,,365,,,,453,,,,652,,,,,,
Balance Sheet,Fixed Assets,,38,,,,63,,,,147,,,,,,
Balance Sheet,CWIP,,0,,,,0,,,,0,,,,,,
Balance Sheet,Investments,,0,,,,0,,,,1,,,,,,
Balance Sheet,Other Assets,,327,,,,390,,,,504,,,,,,
Balance Sheet,Total Assets,,365,,,,453,,,,652,,,,,,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,10,,,,15,,,,-16,,,,,,
Cash Flows,Cash from Investing Activity,,-19,,,,-36,,,,-93,,,,,,
Cash Flows,Cash from Financing Activity,,17,,,,33,,,,129,,,,,,
Cash Flows,Net Cash Flow,,8,,,,12,,,,19,,,,,,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,118,,,,116,,,,115,,,,,,
Ratios,Inventory Days,,,,,,,,,,0,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,118,,,,116,,,,115,,,,,,
Ratios,Working Capital Days,,138,,,,130,,,,134,,,,,,
Ratios,ROCE %,,,,,,17%,,,,15%,,,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,73.04%,73.04%,73.04%,73.04%,73.04%,73.04%,73.04%,63.12%,62.29%,62.29%,73.04%,73.04%,,,,
Shareholding Pattern (Quarterly),FIIs,0.03%,0.03%,0.02%,0.03%,0.03%,0.03%,0.45%,0.05%,0.34%,0.06%,0.03%,0.03%,,,,
Shareholding Pattern (Quarterly),DIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,2.53%,2.51%,2.79%,0.00%,0.00%,,,,
Shareholding Pattern (Quarterly),Public,26.94%,26.94%,26.94%,26.93%,26.93%,26.93%,26.48%,34.31%,34.86%,34.03%,26.93%,26.92%,,,,
Shareholding Pattern (Quarterly),Others,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.83%,0.00%,0.00%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,3214,3123,3057,3404,4802,5543,5698,6669,9445,9247,1469,3005,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,73.04%,,,,73.04%,,,,62.29%,,,73.04%,73.04%,73.04%,73.04%
Shareholding Pattern (Yearly),FIIs,,0.03%,,,,0.03%,,,,0.06%,,,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,0.00%,,,,0.00%,,,,2.79%,,,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,26.94%,,,,26.93%,,,,34.03%,,,26.96%,26.96%,26.96%,26.96%
Shareholding Pattern (Yearly),Others,,0.00%,,,,0.00%,,,,0.83%,,,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),No. of Shareholders,,3123,,,,5543,,,,9247,,,530,413,584,587
,,,,,,,,,,,,,,,,,
