Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,169.43,173.88,178.60,207.83,211.67,220.60,210.17,231.95,269.25,281.68,283.98,260.88,199.76,,,,,,
Quarterly Results,Expenses,152.15,151.89,153.57,179.73,189.26,195.16,184.90,205.92,238.39,249.66,251.76,234.06,181.22,,,,,,
Quarterly Results,Operating Profit,17.28,21.99,25.03,28.10,22.41,25.44,25.27,26.03,30.86,32.02,32.22,26.82,18.54,,,,,,
Quarterly Results,OPM %,10.20%,12.65%,14.01%,13.52%,10.59%,11.53%,12.02%,11.22%,11.46%,11.37%,11.35%,10.28%,9.28%,,,,,,
Quarterly Results,Other Income,0.67,0.75,7.27,0.62,-2.29,2.02,1.96,2.02,0.94,1.98,1.92,1.81,5.93,,,,,,
Quarterly Results,Interest,1.75,1.90,2.36,2.35,2.23,2.46,2.47,2.14,2.22,2.39,2.41,2.42,2.56,,,,,,
Quarterly Results,Depreciation,7.09,7.91,8.01,7.89,7.91,8.06,8.34,8.39,8.27,7.68,8.67,8.45,10.01,,,,,,
Quarterly Results,Profit before tax,9.11,12.93,21.93,18.48,9.98,16.94,16.42,17.52,21.31,23.93,23.06,17.76,11.90,,,,,,
Quarterly Results,Tax %,24.59%,25.91%,24.30%,24.68%,22.04%,22.90%,24.06%,22.49%,23.79%,23.07%,24.20%,23.42%,25.88%,,,,,,
Quarterly Results,Net Profit,6.88,9.58,16.60,13.92,7.78,13.07,12.46,13.58,16.25,18.41,17.47,13.60,8.81,,,,,,
Quarterly Results,EPS in Rs,1.91,2.66,4.61,3.86,2.16,3.63,3.46,3.77,4.51,5.11,4.85,3.78,2.43,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,510,,,,772,,,,932,,,,1026,372,371,453,512,364,355
Profit & Loss,Expenses,444,,,,674,,,,824,,,,917,311,295,362,426,304,293
Profit & Loss,Operating Profit,66,,,,98,,,,108,,,,110,61,76,91,86,60,62
Profit & Loss,OPM %,13%,,,,13%,,,,12%,,,,11%,16%,20%,20%,17%,17%,17%
Profit & Loss,Other Income,3,,,,6,,,,7,,,,12,1,7,6,7,6,2
Profit & Loss,Interest,7,,,,9,,,,9,,,,10,6,6,4,4,6,8
Profit & Loss,Depreciation,27,,,,32,,,,33,,,,35,13,17,18,19,24,26
Profit & Loss,Profit before tax,35,,,,63,,,,72,,,,77,43,60,75,70,36,30
Profit & Loss,Tax %,27%,,,,24%,,,,23%,,,,24%,35%,35%,35%,35%,15%,23%
Profit & Loss,Net Profit,26,,,,48,,,,55,,,,58,28,39,49,45,30,24
Profit & Loss,EPS in Rs,7.09,,,,13.29,,,,15.37,,,,16.11,8.20,11.43,13.62,12.52,8.47,6.53
Profit & Loss,Dividend Payout %,14%,,,,15%,,,,13%,,,,16%,37%,17%,7%,16%,24%,15%
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,7,,,,7,,,,7,,,,7,7,7,7,7,7,7
Balance Sheet,Reserves,349,,,,393,,,,440,,,,492,122,153,237,273,299,324
Balance Sheet,Borrowings,126,,,,133,,,,118,,,,155,69,40,34,99,75,105
Balance Sheet,Other Liabilities,83,,,,122,,,,145,,,,136,48,67,72,78,63,79
Balance Sheet,Total Liabilities,565,,,,656,,,,710,,,,791,246,267,351,458,444,516
Balance Sheet,Fixed Assets,280,,,,275,,,,278,,,,325,139,165,159,192,263,257
Balance Sheet,CWIP,1,,,,11,,,,7,,,,7,1,0,10,47,1,0
Balance Sheet,Investments,23,,,,20,,,,12,,,,15,0,1,56,56,17,26
Balance Sheet,Other Assets,260,,,,349,,,,414,,,,444,107,101,126,163,163,233
Balance Sheet,Total Assets,565,,,,656,,,,710,,,,791,246,267,351,458,444,516
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,25,,,,63,,,,102,,,,124,56,59,47,43,53,16
Cash Flows,Cash from Investing Activity,-39,,,,-53,,,,-49,,,,-125,-26,-25,-75,-92,2,-49
Cash Flows,Cash from Financing Activity,10,,,,-6,,,,-33,,,,0,-21,-42,26,52,-42,23
Cash Flows,Net Cash Flow,-4,,,,4,,,,20,,,,-1,9,-8,-1,3,12,-11
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,45,,,,38,,,,35,,,,23,36,34,37,29,28,43
Ratios,Inventory Days,189,,,,153,,,,133,,,,124,105,125,118,146,158,330
Ratios,Days Payable,52,,,,55,,,,56,,,,44,69,78,79,58,56,92
Ratios,Cash Conversion Cycle,182,,,,137,,,,112,,,,103,72,81,76,117,130,281
Ratios,Working Capital Days,125,,,,91,,,,73,,,,67,43,43,51,62,83,147
Ratios,ROCE %,9%,,,,13%,,,,15%,,,,14%,,31%,32%,22%,11%,9%
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,65.77%,65.77%,65.77%,65.77%,65.77%,65.77%,65.77%,65.77%,65.77%,65.77%,65.31%,65.02%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.01%,0.01%,0.01%,0.06%,0.03%,0.01%,0.01%,0.01%,0.05%,0.12%,0.22%,0.51%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,6.60%,5.93%,5.33%,5.43%,5.56%,5.71%,5.68%,5.49%,5.49%,4.74%,4.24%,2.85%,,,,,,
Shareholding Pattern (Quarterly),Public,,27.62%,28.30%,28.90%,28.73%,28.65%,28.52%,28.55%,28.74%,28.69%,29.38%,30.24%,31.61%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,16913,17468,16083,18111,19483,21324,24341,30750,29806,32583,39185,40602,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,65.77%,,,,65.77%,,,,65.77%,,,,65.02%,,70.15%,65.32%,65.30%,65.77%,65.77%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.06%,,,,0.01%,,,,0.51%,,0.17%,0.04%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,6.56%,,,,5.43%,,,,5.49%,,,,2.85%,,0.47%,5.61%,8.06%,8.07%,8.00%
Shareholding Pattern (Yearly),Public,27.67%,,,,28.73%,,,,28.74%,,,,31.61%,,29.21%,29.03%,26.64%,26.16%,26.23%
Shareholding Pattern (Yearly),No. of Shareholders,18021,,,,18111,,,,30750,,,,40602,,7958,9151,7344,7108,9534
,,,,,,,,,,,,,,,,,,,,
