Section,,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,43,45,53
Quarterly Results,Expenses,36,37,42
Quarterly Results,Operating Profit,7,7,11
Quarterly Results,OPM %,16%,17%,20%
Quarterly Results,Other Income,6,3,4
Quarterly Results,Interest,0,0,0
Quarterly Results,Depreciation,1,1,1
Quarterly Results,Profit before tax,11,9,14
Quarterly Results,Tax %,-1%,25%,25%
Quarterly Results,Net Profit,11,7,10
Quarterly Results,EPS in Rs,,2.19,3.17
Quarterly Results,Raw PDF,,,
,,,,
Profit & Loss,Sales,,,179
Profit & Loss,Expenses,,,148
Profit & Loss,Operating Profit,,,31
Profit & Loss,OPM %,,,17%
Profit & Loss,Other Income,,,17
Profit & Loss,Interest,,,0
Profit & Loss,Depreciation,,,5
Profit & Loss,Profit before tax,,,42
Profit & Loss,Tax %,,,19%
Profit & Loss,Net Profit,,,34
Profit & Loss,EPS in Rs,,,10.68
Profit & Loss,Dividend Payout %,,,0%
,,,,
Balance Sheet,Equity Capital,,,3
Balance Sheet,Reserves,,,250
Balance Sheet,Borrowings,,,4
Balance Sheet,Other Liabilities,,,45
Balance Sheet,Total Liabilities,,,301
Balance Sheet,Fixed Assets,,,35
Balance Sheet,CWIP,,,2
Balance Sheet,Investments,,,199
Balance Sheet,Other Assets,,,66
Balance Sheet,Total Assets,,,301
,,,,
Cash Flows,Cash from Operating Activity,,,5
Cash Flows,Cash from Investing Activity,,,-10
Cash Flows,Cash from Financing Activity,,,-1
Cash Flows,Net Cash Flow,,,-7
,,,,
Ratios,Debtor Days,,,65
Ratios,Inventory Days,,,85
Ratios,Days Payable,,,89
Ratios,Cash Conversion Cycle,,,62
Ratios,Working Capital Days,,,54
Ratios,ROCE %,,,
,,,,
Shareholding Pattern (Quarterly),Promoters,,,69.61%
Shareholding Pattern (Quarterly),FIIs,,,1.57%
Shareholding Pattern (Quarterly),Public,,,28.82%
Shareholding Pattern (Quarterly),No. of Shareholders,,,18762
,,,,
Shareholding Pattern (Yearly),Promoters,,,69.61%
Shareholding Pattern (Yearly),FIIs,,,1.57%
Shareholding Pattern (Yearly),Public,,,28.82%
Shareholding Pattern (Yearly),No. of Shareholders,,,18762
,,,,
