Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Quarterly Results,Sales,10.12,8.14,8.00,7.45,12.21,12.90,15.14,13.67,8.19,9.10,8.82,7.98,7.44,,,,
Quarterly Results,Expenses,9.75,7.81,8.18,7.80,10.03,12.23,14.35,13.27,8.26,9.28,8.75,7.86,6.93,,,,
Quarterly Results,Operating Profit,0.37,0.33,-0.18,-0.35,2.18,0.67,0.79,0.40,-0.07,-0.18,0.07,0.12,0.51,,,,
Quarterly Results,OPM %,3.66%,4.05%,-2.25%,-4.70%,17.85%,5.19%,5.22%,2.93%,-0.85%,-1.98%,0.79%,1.50%,6.85%,,,,
Quarterly Results,Other Income,0.01,0.00,0.00,0.00,0.14,0.12,0.00,0.05,0.00,0.00,0.01,0.00,0.03,,,,
Quarterly Results,Interest,0.12,0.06,0.08,0.09,0.15,0.13,0.15,0.11,0.08,0.06,0.11,0.14,0.16,,,,
Quarterly Results,Depreciation,0.21,0.22,0.23,0.27,0.25,0.24,0.26,0.26,0.23,0.21,0.21,0.22,0.29,,,,
Quarterly Results,Profit before tax,0.05,0.05,-0.49,-0.71,1.92,0.42,0.38,0.08,-0.38,-0.45,-0.24,-0.24,0.09,,,,
Quarterly Results,Tax %,-2800.00%,160.00%,-2.04%,-9.86%,13.54%,33.33%,-18.42%,-100.00%,-5.26%,6.67%,-12.50%,-12.50%,-111.11%,,,,
Quarterly Results,Net Profit,1.45,-0.03,-0.48,-0.64,1.66,0.28,0.45,0.16,-0.36,-0.47,-0.21,-0.20,0.20,,,,
Quarterly Results,EPS in Rs,1.36,-0.03,-0.45,-0.60,1.55,0.26,0.42,0.15,-0.34,-0.44,-0.20,-0.19,0.19,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,41.59,,,,35.79,,,,49.90,,,,33.34,36.08,50.10,41.73,41.93
Profit & Loss,Expenses,44.18,,,,33.81,,,,48.03,,,,32.81,26.96,40.72,38.65,44.62
Profit & Loss,Operating Profit,-2.59,,,,1.98,,,,1.87,,,,0.53,9.12,9.38,3.08,-2.69
Profit & Loss,OPM %,-6.23%,,,,5.53%,,,,3.75%,,,,1.59%,25.28%,18.72%,7.38%,-6.42%
Profit & Loss,Other Income,-0.09,,,,0.15,,,,0.09,,,,0.04,0.15,0.58,0.22,-0.15
Profit & Loss,Interest,0.59,,,,0.39,,,,0.47,,,,0.47,3.05,1.45,0.65,0.43
Profit & Loss,Depreciation,0.98,,,,0.98,,,,0.98,,,,0.92,0.83,1.42,1.48,1.16
