Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,157,178,176,232,220,236,204,222,197,220,202,222,,,,
Quarterly Results,Expenses,135,148,143,197,186,199,207,200,181,188,187,204,,,,
Quarterly Results,Operating Profit,22,29,32,35,34,36,-3,22,15,32,16,18,,,,
Quarterly Results,OPM %,14%,16%,18%,15%,15%,15%,-2%,10%,8%,14%,8%,8%,,,,
Quarterly Results,Other Income,10,10,10,11,13,13,29,13,19,14,19,17,,,,
Quarterly Results,Interest,0,0,0,0,0,0,1,1,0,0,0,1,,,,
Quarterly Results,Depreciation,4,5,5,5,5,5,6,11,7,7,6,8,,,,
Quarterly Results,Profit before tax,27,34,38,41,42,43,19,24,27,38,29,25,,,,
Quarterly Results,Tax %,22%,25%,25%,23%,23%,24%,21%,18%,22%,25%,20%,19%,,,,
Quarterly Results,Net Profit,21,26,28,32,32,33,15,19,21,28,23,20,,,,
Quarterly Results,EPS in Rs,5.28,6.38,7.06,7.82,7.96,8.10,3.77,4.77,5.21,6.92,5.66,5.03,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,741,,,,882,,,,841,755,716,603,691
Profit & Loss,Expenses,,,,623,,,,792,,,,760,578,568,518,567
Profit & Loss,Operating Profit,,,,118,,,,89,,,,80,177,148,85,124
Profit & Loss,OPM %,,,,16%,,,,10%,,,,10%,23%,21%,14%,18%
Profit & Loss,Other Income,,,,42,,,,68,,,,68,33,38,49,79
Profit & Loss,Interest,,,,1,,,,2,,,,2,2,2,1,0
Profit & Loss,Depreciation,,,,18,,,,27,,,,28,28,27,17,17
Profit & Loss,Profit before tax,,,,140,,,,128,,,,118,180,157,116,186
Profit & Loss,Tax %,,,,24%,,,,24%,,,,22%,32%,23%,20%,22%
Profit & Loss,Net Profit,,,,107,,,,97,,,,92,124,121,92,144
Profit & Loss,EPS in Rs,,,,26.46,,,,24.05,,,,22.80,30.90,30.31,22.99,35.75
Profit & Loss,Dividend Payout %,,,,38%,,,,42%,,,,44%,0%,0%,0%,126%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,40,,,,40,,,,41,40,40,40,40
Balance Sheet,Reserves,,,,817,,,,886,,,,958,626,714,628,748
Balance Sheet,Borrowings,,,,8,,,,21,,,,69,20,14,0,12
Balance Sheet,Other Liabilities,,,,239,,,,238,,,,239,184,172,195,188
Balance Sheet,Total Liabilities,,,,1104,,,,1185,,,,1307,870,940,863,988
Balance Sheet,Fixed Assets,,,,63,,,,86,,,,163,157,64,51,65
Balance Sheet,CWIP,,,,11,,,,13,,,,0,5,5,1,4
Balance Sheet,Investments,,,,529,,,,550,,,,661,373,406,285,364
Balance Sheet,Other Assets,,,,501,,,,536,,,,482,335,465,525,555
Balance Sheet,Total Assets,,,,1104,,,,1185,,,,1307,870,940,863,988
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,137,,,,58,,,,193,136,54,100,11
Cash Flows,Cash from Investing Activity,,,,-282,,,,19,,,,-159,-104,-13,157,-139
Cash Flows,Cash from Financing Activity,,,,-44,,,,-47,,,,-42,-39,-39,-183,-1
Cash Flows,Net Cash Flow,,,,-190,,,,29,,,,-8,-7,2,74,-129
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,103,,,,78,,,,63,88,107,120,106
Ratios,Inventory Days,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,103,,,,78,,,,63,88,107,120,106
Ratios,Working Capital Days,,,,20,,,,24,,,,51,28,103,55,43
Ratios,ROCE %,,,,17%,,,,14%,,,,12%,,22%,16%,19%
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,10.64%,9.74%,8.61%,6.71%,9.90%,10.90%,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,51.04%,40.97%,30.07%,28.87%,30.09%,27.80%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,38.32%,49.28%,61.32%,64.43%,60.00%,61.29%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,95678,146313,157975,160638,194623,209538,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,9.74%,,,,10.90%,,,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,40.97%,,,,27.80%,,,,
Shareholding Pattern (Yearly),Public,,,,,,,,49.28%,,,,61.29%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,146313,,,,209538,,,,
,,,,,,,,,,,,,,,,,
