Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Apr 2025
Quarterly Results,Sales,61,88,108,136,117,124,142,161,164,153,145,151,139,,,
Quarterly Results,Expenses,31,46,72,81,74,89,77,100,115,106,108,103,126,,,
Quarterly Results,Operating Profit,29,42,37,55,42,35,65,61,49,47,37,48,14,,,
Quarterly Results,OPM %,48%,47%,34%,41%,36%,28%,46%,38%,30%,31%,26%,32%,10%,,,
Quarterly Results,Other Income,5,4,4,4,4,3,3,5,-64,4,5,3,4,,,
Quarterly Results,Interest,1,0,1,1,1,1,2,1,1,1,1,2,2,,,
Quarterly Results,Depreciation,1,1,1,1,1,1,1,4,1,2,4,3,3,,,
Quarterly Results,Profit before tax,32,44,39,57,44,35,65,60,-17,47,37,46,12,,,
Quarterly Results,Tax %,28%,25%,27%,27%,30%,26%,27%,24%,-13%,28%,28%,26%,-13%,,,
Quarterly Results,Net Profit,23,33,28,42,31,26,47,46,-15,34,27,34,14,,,
Quarterly Results,EPS in Rs,0.07,0.10,0.08,0.12,0.09,0.07,0.13,0.13,-0.04,0.09,0.07,0.09,0.04,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,235,,,,449,,,,591,,,,587,141,138,
Profit & Loss,Expenses,102,,,,273,,,,381,,,,442,131,61,
Profit & Loss,Operating Profit,133,,,,176,,,,210,,,,145,10,78,
Profit & Loss,OPM %,57%,,,,39%,,,,36%,,,,25%,7%,56%,
Profit & Loss,Other Income,14,,,,15,,,,-54,,,,16,40,12,
Profit & Loss,Interest,3,,,,3,,,,6,,,,6,3,6,
Profit & Loss,Depreciation,1,,,,3,,,,7,,,,12,1,1,
Profit & Loss,Profit before tax,144,,,,185,,,,143,,,,143,46,83,
Profit & Loss,Tax %,26%,,,,27%,,,,27%,,,,24%,28%,27%,
Profit & Loss,Net Profit,106,,,,134,,,,103,,,,109,33,61,
Profit & Loss,EPS in Rs,0.30,,,,0.39,,,,0.29,,,,0.30,0.09,0.18,
Profit & Loss,Dividend Payout %,21%,,,,0%,,,,17%,,,,0%,0%,36%,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,43,,,,174,,,,177,,,,354,22,22,
Balance Sheet,Reserves,192,,,,196,,,,427,,,,366,80,141,
Balance Sheet,Borrowings,50,,,,87,,,,19,,,,38,7,17,
Balance Sheet,Other Liabilities,197,,,,240,,,,261,,,,396,182,218,
Balance Sheet,Total Liabilities,483,,,,697,,,,885,,,,1154,290,398,
Balance Sheet,Fixed Assets,31,,,,37,,,,131,,,,167,12,12,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,1,0,0,
Balance Sheet,Investments,1,,,,0,,,,40,,,,48,1,1,
Balance Sheet,Other Assets,451,,,,660,,,,715,,,,938,277,385,
Balance Sheet,Total Assets,483,,,,697,,,,885,,,,1154,290,398,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,20,,,,-119,,,,124,,,,112,27,74,
Cash Flows,Cash from Investing Activity,-56,,,,83,,,,-43,,,,-92,-55,-23,
Cash Flows,Cash from Financing Activity,-31,,,,4,,,,56,,,,16,6,0,
Cash Flows,Net Cash Flow,-67,,,,-33,,,,137,,,,35,-21,51,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,82,,,,127,,,,144,,,,184,150,76,
Ratios,Inventory Days,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,82,,,,127,,,,144,,,,184,150,76,
Ratios,Working Capital Days,-7,,,,295,,,,137,,,,219,-53,-147,
Ratios,ROCE %,63%,,,,51%,,,,40%,,,,21%,,62%,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,74.90%,74.90%,74.90%,71.30%,65.54%,64.30%,64.30%,64.30%,50.38%,50.38%,48.97%,,,47.30%
Shareholding Pattern (Quarterly),FIIs,,,2.52%,2.31%,2.06%,2.54%,2.30%,2.18%,2.78%,2.57%,2.50%,2.58%,3.74%,,,3.51%
Shareholding Pattern (Quarterly),DIIs,,,2.44%,2.82%,2.98%,2.50%,2.42%,2.35%,2.45%,2.60%,2.64%,3.00%,2.90%,,,2.77%
Shareholding Pattern (Quarterly),Public,,,20.15%,19.97%,20.06%,23.66%,29.74%,31.16%,30.46%,30.54%,44.47%,44.05%,44.37%,,,46.42%
Shareholding Pattern (Quarterly),No. of Shareholders,,,129646,232458,259695,287396,376620,463094,747766,744165,922939,1045426,1099224,,,1094892
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,74.90%,,,,74.90%,,,,64.30%,,,,48.97%,,74.90%,47.30%
Shareholding Pattern (Yearly),FIIs,2.80%,,,,2.06%,,,,2.78%,,,,3.74%,,4.15%,3.51%
Shareholding Pattern (Yearly),DIIs,1.09%,,,,2.98%,,,,2.45%,,,,2.90%,,11.04%,2.77%
Shareholding Pattern (Yearly),Public,21.21%,,,,20.06%,,,,30.46%,,,,44.37%,,9.92%,46.42%
Shareholding Pattern (Yearly),No. of Shareholders,116957,,,,259695,,,,747766,,,,1099224,,47698,1094892
,,,,,,,,,,,,,,,,,
