Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2017,Mar 2018
Quarterly Results,Sales,445,327,292,309,306,239,263,233,310,282,328,256,307,,,,,
Quarterly Results,Expenses,359,276,256,260,249,234,250,207,240,244,281,215,270,,,,,
Quarterly Results,Operating Profit,86,51,36,49,56,6,13,26,69,38,47,42,37,,,,,
Quarterly Results,OPM %,19%,16%,12%,16%,18%,2%,5%,11%,22%,14%,14%,16%,12%,,,,,
Quarterly Results,Other Income,7,8,3,6,-3,9,4,4,22,22,7,18,6,,,,,
Quarterly Results,Interest,3,2,1,2,1,0,1,1,1,1,1,1,1,,,,,
Quarterly Results,Depreciation,7,6,7,7,6,6,6,7,6,6,6,7,7,,,,,
Quarterly Results,Profit before tax,83,51,31,46,46,8,10,22,84,53,46,52,35,,,,,
Quarterly Results,Tax %,23%,26%,26%,27%,34%,8%,39%,29%,20%,19%,30%,21%,27%,,,,,
Quarterly Results,Net Profit,65,38,23,34,30,7,6,15,67,43,32,41,25,,,,,
Quarterly Results,EPS in Rs,155.34,90.63,55.18,81.27,72.80,17.06,14.44,36.84,161.50,103.77,77.35,97.54,60.48,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,1301,,,,1234,,,,1044,,,,1173,989,1213,1091,,
Profit & Loss,Expenses,1050,,,,1043,,,,926,,,,998,802,983,852,,
Profit & Loss,Operating Profit,250,,,,191,,,,118,,,,175,188,230,240,,
Profit & Loss,OPM %,19%,,,,15%,,,,11%,,,,15%,19%,19%,22%,,
Profit & Loss,Other Income,16,,,,15,,,,35,,,,42,1,14,6,,
Profit & Loss,Interest,7,,,,6,,,,3,,,,5,16,16,4,,
Profit & Loss,Depreciation,25,,,,26,,,,26,,,,27,17,22,26,,
Profit & Loss,Profit before tax,234,,,,174,,,,123,,,,185,155,205,215,,
Profit & Loss,Tax %,25%,,,,28%,,,,23%,,,,24%,28%,23%,24%,,
Profit & Loss,Net Profit,176,,,,125,,,,96,,,,141,112,158,164,,
Profit & Loss,EPS in Rs,423.51,,,,299.88,,,,229.85,,,,339.13,262.48,371.03,385.69,,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,1%,,,,0%,1%,0%,0%,,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,4,,,,4,,,,4,,,,4,4,4,4,,
Balance Sheet,Reserves,766,,,,889,,,,984,,,,1126,405,560,723,,
Balance Sheet,Borrowings,174,,,,28,,,,80,,,,85,247,94,58,,
Balance Sheet,Other Liabilities,142,,,,152,,,,129,,,,193,100,94,122,,
Balance Sheet,Total Liabilities,1086,,,,1074,,,,1197,,,,1408,756,752,908,,
Balance Sheet,Fixed Assets,228,,,,225,,,,230,,,,230,150,203,191,,
Balance Sheet,CWIP,11,,,,11,,,,6,,,,15,35,18,18,,
Balance Sheet,Investments,43,,,,67,,,,143,,,,298,0,9,150,,
