Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Mar 201515m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2015
Quarterly Results,Sales,810,745,917,802,787,762,957,805,930,815,1011,949,974,,,,,,,,,
Quarterly Results,Expenses,634,596,660,574,618,618,668,587,673,584,689,658,641,,,,,,,,,
Quarterly Results,Operating Profit,175,149,257,229,170,144,289,218,257,231,322,292,333,,,,,,,,,
Quarterly Results,OPM %,22%,20%,28%,29%,22%,19%,30%,27%,28%,28%,32%,31%,34%,,,,,,,,,
Quarterly Results,Other Income,1322,31,22,12,38,54,28,-135,32,36,39,35,41,,,,,,,,,
Quarterly Results,Interest,0,1,0,0,1,0,0,0,1,0,0,0,1,,,,,,,,,
Quarterly Results,Depreciation,15,16,16,16,17,16,18,17,18,16,17,19,15,,,,,,,,,
Quarterly Results,Profit before tax,1482,163,262,224,190,181,299,65,271,249,344,308,359,,,,,,,,,
Quarterly Results,Tax %,18%,27%,26%,27%,30%,27%,27%,30%,28%,27%,27%,25%,27%,,,,,,,,,
Quarterly Results,Net Profit,1219,119,193,165,133,132,218,46,194,182,252,230,263,,,,,,,,,
Quarterly Results,EPS in Rs,71.96,7.04,11.42,9.71,7.88,7.81,12.84,2.70,11.48,10.76,14.91,13.57,15.52,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,3278,,,,3252,,,,3454,,,,3749,2563,3305,2838,2908,2871,3128,3224,2926,
Profit & Loss,Expenses,2516,,,,2447,,,,2545,,,,2570,2034,2672,2360,2489,2363,2527,2567,2327,
Profit & Loss,Operating Profit,762,,,,804,,,,909,,,,1179,528,633,478,420,508,601,657,598,
Profit & Loss,OPM %,23%,,,,25%,,,,26%,,,,31%,21%,19%,17%,14%,18%,19%,20%,20%,
Profit & Loss,Other Income,1401,,,,103,,,,-21,,,,149,203,149,125,119,70,131,-262,9,
Profit & Loss,Interest,2,,,,2,,,,2,,,,1,0,0,0,0,0,1,6,4,
Profit & Loss,Depreciation,68,,,,66,,,,70,,,,67,20,25,25,27,38,49,83,79,
Profit & Loss,Profit before tax,2093,,,,839,,,,816,,,,1260,711,756,578,511,540,683,306,525,
Profit & Loss,Tax %,19%,,,,27%,,,,28%,,,,26%,32%,37%,35%,34%,35%,35%,70%,32%,
Profit & Loss,Net Profit,1695,,,,611,,,,590,,,,928,482,476,376,337,351,445,93,358,
Profit & Loss,EPS in Rs,100.04,,,,36.05,,,,34.83,,,,54.75,28.43,28.12,22.20,19.88,20.70,26.29,5.50,21.14,
Profit & Loss,Dividend Payout %,90%,,,,89%,,,,92%,,,,99%,88%,111%,113%,75%,85%,76%,727%,142%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,169,,,,169,,,,169,,,,169,85,,85,85,85,169,169,169,85
Balance Sheet,Reserves,2494,,,,1572,,,,1608,,,,1782,1905,,2099,1922,1973,1970,1651,1309,1744
Balance Sheet,Borrowings,20,,,,16,,,,19,,,,10,4,,2,2,1,1,0,35,3
Balance Sheet,Other Liabilities,1950,,,,1570,,,,1760,,,,2147,1136,,869,995,1889,1771,1312,1602,1384
Balance Sheet,Total Liabilities,4633,,,,3327,,,,3557,,,,4108,3130,,3055,3004,3947,3911,3133,3115,3216
Balance Sheet,Fixed Assets,331,,,,330,,,,321,,,,284,100,,204,258,325,432,758,387,123
Balance Sheet,CWIP,30,,,,20,,,,14,,,,14,62,,268,605,923,1003,120,13,115
Balance Sheet,Investments,366,,,,518,,,,813,,,,1118,10,,6,0,0,0,0,0,0
Balance Sheet,Other Assets,3907,,,,2458,,,,2408,,,,2692,2958,,2577,2140,2700,2477,2255,2715,2977
Balance Sheet,Total Assets,4633,,,,3327,,,,3557,,,,4108,3130,,3055,3004,3947,3911,3133,3115,3216
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,811,,,,484,,,,582,,,,1290,281,,139,234,473,409,490,578,338
Cash Flows,Cash from Investing Activity,-406,,,,808,,,,9,,,,-46,189,,499,301,-104,-153,-57,418,180
Cash Flows,Cash from Financing Activity,-524,,,,-1543,,,,-562,,,,-769,-494,,-638,-511,-307,-358,-428,-696,-497
Cash Flows,Net Cash Flow,-119,,,,-251,,,,29,,,,475,-24,,-0,24,62,-102,6,300,21
,,,,,,,,,,,,,,,,,,,,,,,
