Section,,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2022
Quarterly Results,Sales,103,40,108,87,108,55,95,150,228,,
Quarterly Results,Expenses,89,33,93,80,95,45,80,128,194,,
Quarterly Results,Operating Profit,14,7,14,7,13,10,15,22,34,,
Quarterly Results,OPM %,13%,17%,13%,8%,12%,18%,16%,15%,15%,,
Quarterly Results,Other Income,0,-0,6,2,-0,1,3,3,7,,
Quarterly Results,Interest,2,0,2,1,3,2,2,2,2,,
Quarterly Results,Depreciation,2,2,2,2,3,2,3,3,6,,
Quarterly Results,Profit before tax,10,4,17,5,7,6,14,21,33,,
Quarterly Results,Tax %,27%,24%,24%,25%,13%,24%,25%,25%,27%,,
Quarterly Results,Net Profit,7,3,13,4,6,5,10,16,24,,
Quarterly Results,EPS in Rs,4.17,1.99,7.69,2.33,3.68,2.08,4.51,6.97,10.50,,
Quarterly Results,Raw PDF,,,,,,,,,,,
,,,,,,,,,,,,
Profit & Loss,Sales,300,,,,342,,,,528,160,264
Profit & Loss,Expenses,262,,,,301,,,,447,144,233
Profit & Loss,Operating Profit,38,,,,42,,,,81,17,30
Profit & Loss,OPM %,13%,,,,12%,,,,15%,10%,11%
Profit & Loss,Other Income,0,,,,8,,,,14,2,2
Profit & Loss,Interest,6,,,,6,,,,7,2,3
Profit & Loss,Depreciation,8,,,,9,,,,14,5,6
Profit & Loss,Profit before tax,25,,,,35,,,,74,11,23
Profit & Loss,Tax %,25%,,,,22%,,,,26%,24%,25%
Profit & Loss,Net Profit,19,,,,27,,,,55,8,18
Profit & Loss,EPS in Rs,11.20,,,,16.11,,,,23.97,543.36,1154.40
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,0%,0%
,,,,,,,,,,,,
Balance Sheet,Equity Capital,17,,,,17,,,,23,2,2
Balance Sheet,Reserves,47,,,,113,,,,253,25,43
Balance Sheet,Borrowings,47,,,,48,,,,41,32,32
Balance Sheet,Other Liabilities,26,,,,58,,,,91,54,44
Balance Sheet,Total Liabilities,136,,,,235,,,,408,112,120
Balance Sheet,Fixed Assets,41,,,,46,,,,80,32,31
Balance Sheet,CWIP,0,,,,0,,,,0,0,0
Balance Sheet,Investments,7,,,,8,,,,19,4,2
Balance Sheet,Other Assets,88,,,,181,,,,309,76,87
Balance Sheet,Total Assets,136,,,,235,,,,408,112,120
,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,21,,,,14,,,,1,14,10
Cash Flows,Cash from Investing Activity,-23,,,,-14,,,,-47,-13,-6
Cash Flows,Cash from Financing Activity,5,,,,39,,,,80,5,-3
Cash Flows,Net Cash Flow,4,,,,40,,,,34,5,1
,,,,,,,,,,,,
Ratios,Debtor Days,19,,,,33,,,,27,51,22
Ratios,Inventory Days,17,,,,39,,,,82,15,17
Ratios,Days Payable,19,,,,46,,,,66,139,54
Ratios,Cash Conversion Cycle,17,,,,27,,,,43,-72,-14
Ratios,Working Capital Days,52,,,,69,,,,100,16,37
Ratios,ROCE %,33%,,,,28%,,,,33%,,38%
,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,72.92%,72.92%,72.92%,72.92%,,
Shareholding Pattern (Quarterly),FIIs,,,,,,2.49%,0.28%,0.09%,0.04%,,
Shareholding Pattern (Quarterly),DIIs,,,,,,4.81%,4.81%,4.32%,3.45%,,
Shareholding Pattern (Quarterly),Public,,,,,,19.78%,21.99%,22.68%,23.59%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,29719,19641,18668,17193,,
,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,72.92%,,
Shareholding Pattern (Yearly),FIIs,,,,,,,,,0.04%,,
Shareholding Pattern (Yearly),DIIs,,,,,,,,,3.45%,,
Shareholding Pattern (Yearly),Public,,,,,,,,,23.59%,,
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,17193,,
,,,,,,,,,,,,
