Section,,Mar 2005,Jun 2005,Sep 2005,Dec 2005,Mar 2006,Jun 2006,Sep 2006,Dec 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,45.19,48.74,49.18,50.18,58.88,46.34,44.78,62.64,66.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,38.57,41.15,41.15,42.03,50.63,40.24,38.57,53.43,57.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,6.62,7.59,8.03,8.15,8.25,6.10,6.21,9.21,8.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,14.65%,15.57%,16.33%,16.24%,14.01%,13.16%,13.87%,14.70%,13.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,0.15,0.21,0.20,0.43,0.26,0.77,0.52,0.13,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,1.45,1.05,1.00,0.96,1.10,1.61,1.74,2.01,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,1.11,0.93,1.02,1.10,1.13,1.07,1.16,1.24,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,4.21,5.82,6.21,6.52,6.28,4.19,3.83,6.09,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,27.32%,19.93%,24.64%,23.62%,20.70%,14.32%,9.66%,24.30%,18.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,3.06,4.56,4.62,4.98,4.88,3.49,3.36,4.61,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,2.85,2.03,1.99,2.71,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,206,,,,226,260,260,268,311,357,362,484,526,454,497,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,,,175,,,,199,241,244,246,287,326,332,443,482,411,458,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,,,31,,,,27,19,17,22,24,31,30,41,44,43,39,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,,,15%,,,,12%,7%,6%,8%,8%,9%,8%,8%,8%,9%,8%,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,,,1,,,,2,8,0,0,0,-4,-0,0,-0,-1,0,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,,,5,,,,9,15,15,10,10,14,14,16,16,16,16,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,,,4,,,,5,8,8,8,9,10,10,11,12,14,14,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,,,23,,,,14,4,-6,4,6,4,5,14,15,12,10,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,,,21%,,,,18%,14%,-3%,3%,-0%,-10%,-2%,5%,-14%,18%,36%,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,,,18,,,,12,4,-6,4,6,4,5,13,17,10,6,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,,,10.77,,,,6.74,2.35,-3.09,2.55,3.63,2.57,3.16,7.79,9.93,5.90,3.75,,,,,,,,,,,,,,,,,
