Section,,Dec 2018,Mar 2019,Jun 2022,Sep 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2007,Mar 2018,Mar 2022,Dec 2022,Mar 2017,Mar 2020,Mar 2021
Quarterly Results,Sales,42.89,48.50,83.14,107.78,82.35,76.49,84.92,93.09,76.17,54.74,56.64,63.61,58.75,,,,,,,
Quarterly Results,Expenses,38.87,44.00,77.83,103.59,62.84,67.24,77.44,81.60,64.92,45.71,48.31,50.51,62.96,,,,,,,
Quarterly Results,Operating Profit,4.02,4.50,5.31,4.19,19.51,9.25,7.48,11.49,11.25,9.03,8.33,13.10,-4.21,,,,,,,
Quarterly Results,OPM %,9.37%,9.28%,6.39%,3.89%,23.69%,12.09%,8.81%,12.34%,14.77%,16.50%,14.71%,20.59%,-7.17%,,,,,,,
Quarterly Results,Other Income,0.08,0.23,0.73,1.08,1.90,0.38,1.41,1.07,1.45,1.98,3.49,0.73,1.66,,,,,,,
Quarterly Results,Interest,2.49,3.12,1.27,0.78,1.29,0.66,0.85,0.78,1.38,0.73,0.80,1.18,2.02,,,,,,,
Quarterly Results,Depreciation,1.66,1.66,1.87,1.90,2.11,2.16,2.24,2.40,2.58,2.70,2.55,2.77,2.88,,,,,,,
Quarterly Results,Profit before tax,-0.05,-0.05,2.90,2.59,18.01,6.81,5.80,9.38,8.74,7.58,8.47,9.88,-7.45,,,,,,,
Quarterly Results,Tax %,-940.00%,1180.00%,28.62%,28.19%,29.65%,29.22%,27.07%,28.25%,30.55%,24.80%,23.73%,28.64%,-20.54%,,,,,,,
Quarterly Results,Net Profit,0.42,-0.65,2.06,1.85,12.67,4.81,4.23,6.74,6.07,5.70,6.47,7.06,-5.92,,,,,,,
Quarterly Results,EPS in Rs,0.22,-0.34,1.07,0.96,6.90,2.62,2.30,3.67,3.31,3.10,3.52,3.84,-3.22,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,182,,,367,,,,331,,,,234,217,207,,,,,
Profit & Loss,Expenses,,164,,,332,,,,291,,,,205,196,191,,,,,
Profit & Loss,Operating Profit,,18,,,35,,,,39,,,,28,21,17,,,,,
Profit & Loss,OPM %,,10%,,,10%,,,,12%,,,,12%,10%,8%,,,,,
Profit & Loss,Other Income,,0,,,6,,,,4,,,,6,1,0,,,,,
Profit & Loss,Interest,,10,,,4,,,,4,,,,5,7,10,,,,,
