Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jan 2016
Quarterly Results,Sales,54.79,90.02,107.45,110.59,87.86,84.90,86.56,118.12,118.66,94.05,96.63,138.69,93.04,,,,,,,,,
Quarterly Results,Expenses,68.07,80.78,105.31,100.84,76.94,69.03,69.45,99.93,104.07,87.93,86.60,108.20,82.22,,,,,,,,,
Quarterly Results,Operating Profit,-13.28,9.24,2.14,9.75,10.92,15.87,17.11,18.19,14.59,6.12,10.03,30.49,10.82,,,,,,,,,
Quarterly Results,OPM %,-24.24%,10.26%,1.99%,8.82%,12.43%,18.69%,19.77%,15.40%,12.30%,6.51%,10.38%,21.98%,11.63%,,,,,,,,,
Quarterly Results,Other Income,5.92,3.40,3.37,3.93,3.44,2.35,2.05,1.86,6.18,2.21,1.87,2.88,3.26,,,,,,,,,
Quarterly Results,Interest,2.74,2.64,2.77,3.25,2.47,3.63,3.24,3.11,2.73,2.93,3.06,3.27,3.09,,,,,,,,,
Quarterly Results,Depreciation,13.73,12.72,12.78,11.45,12.58,11.02,10.45,10.93,10.39,9.62,9.48,9.74,9.77,,,,,,,,,
Quarterly Results,Profit before tax,-23.83,-2.72,-10.04,-1.02,-0.69,3.57,5.47,6.01,7.65,-4.22,-0.64,20.36,1.22,,,,,,,,,
Quarterly Results,Tax %,-20.73%,-6.25%,-8.86%,-67.65%,71.01%,29.41%,40.04%,23.79%,21.31%,-1.90%,37.50%,24.90%,158.20%,,,,,,,,,
Quarterly Results,Net Profit,-18.89,-2.55,-9.15,-0.33,-1.18,2.52,3.28,4.58,6.02,-4.14,-0.88,15.29,-0.71,,,,,,,,,
Quarterly Results,EPS in Rs,-4.97,-0.67,-2.40,-0.09,-0.31,0.66,0.85,1.19,1.56,-1.07,-0.23,3.95,-0.18,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,160,,,,396,,,,408,,,,326,424,478,570,599,594,612,502,88,
Profit & Loss,Expenses,211,,,,364,,,,342,,,,278,290,318,387,414,424,449,384,177,
Profit & Loss,Operating Profit,-51,,,,32,,,,66,,,,47,134,160,183,185,170,163,118,-88,
Profit & Loss,OPM %,-32%,,,,8%,,,,16%,,,,15%,32%,33%,32%,31%,29%,27%,23%,-100%,
Profit & Loss,Other Income,12,,,,14,,,,12,,,,8,3,6,7,16,17,21,16,14,
Profit & Loss,Interest,12,,,,11,,,,13,,,,9,20,20,14,14,9,11,10,13,
Profit & Loss,Depreciation,56,,,,50,,,,43,,,,29,66,77,77,92,80,74,71,63,
Profit & Loss,Profit before tax,-107,,,,-14,,,,23,,,,17,51,69,98,96,98,99,52,-151,
Profit & Loss,Tax %,-19%,,,,-9%,,,,28%,,,,43%,-2%,26%,35%,38%,38%,35%,26%,-22%,
Profit & Loss,Net Profit,-87,,,,-13,,,,16,,,,10,52,53,67,60,61,65,39,-118,
Profit & Loss,EPS in Rs,-22.83,,,,-3.46,,,,4.24,,,,2.46,18.40,18.85,23.08,21.92,22.17,23.47,13.68,-41.48,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,35%,46%,56%,128%,110%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,38,,,,38,,,,39,,,,39,26,26,28,28,28,28,28,28,
Balance Sheet,Reserves,238,,,,230,,,,249,,,,259,371,427,489,378,441,459,353,236,
Balance Sheet,Borrowings,95,,,,105,,,,76,,,,88,171,127,104,84,86,78,90,104,
Balance Sheet,Other Liabilities,155,,,,150,,,,168,,,,173,171,193,228,225,220,218,196,145,
