Section,,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,TTM,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2022
Quarterly Results,Sales,0,4,4,1,4,5,7,5,6,3,5,11,7,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,1,140,0,0,0,0,18,0,0,0,0,16,-2,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,-1,-136,4,1,4,5,-11,5,6,3,5,-4,9,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,-187%,-3692%,96%,89%,97%,97%,-158%,97%,98%,91%,97%,-35%,136%,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,18,-63,28,41,30,15,57,71,47,273,63,58,49,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,17,-199,32,42,34,20,46,76,53,276,68,54,58,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,5%,0%,3%,1%,2%,14%,6%,2%,2%,1%,2%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,16,-200,31,42,33,17,43,75,52,273,67,53,57,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,4.97,-60.40,9.47,12.88,10.13,5.33,13.74,23.00,15.85,78.79,20.61,16.22,17.37,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,16,,,,21,,,,210,,,,16,14,15,24,12,9,53,27,8,26,,,,,,,,,,,,,
