Section,,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,OPM %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Other Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Tax %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Net Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,0,0,18,78,125,194,229,258,304,410,450,,,,,,,,,,,,,,,,,,
Profit & Loss,Expenses,32,40,78,113,151,142,169,201,240,337,366,,,,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,-32,-40,-60,-35,-26,53,60,57,64,74,84,,,,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,-328%,-45%,-20%,27%,26%,22%,21%,18%,19%,,,,,,,,,,,,,,,,,,
Profit & Loss,Other Income,42,50,56,56,62,3,3,5,2,4,8,,,,,,,,,,,,,,,,,,
Profit & Loss,Interest,0,1,13,21,19,21,28,27,22,20,14,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,0,0,6,8,9,9,9,10,10,14,13,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,9,9,-23,-8,9,26,27,25,34,44,65,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,37%,46%,7%,76%,76%,38%,34%,32%,28%,24%,30%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,6,5,-25,-14,2,16,17,17,24,34,46,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,0.45,0.38,-1.53,-0.87,0.28,1.20,1.32,1.29,1.83,2.53,3.44,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,0%,0%,-10%,-23%,89%,8%,38%,39%,27%,20%,15%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,13,13,13,13,13,13,13,13,13,13,13,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,6,11,-12,-3,3,83,92,102,118,144,765,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,0,53,162,182,182,170,192,182,151,115,68,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,15,43,58,63,70,112,89,95,142,171,190,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,34,120,221,255,268,379,386,392,424,443,1036,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,2,19,186,215,222,321,323,326,323,326,914,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,5,72,5,7,4,1,1,1,1,2,4,,,,,,,,,,,,,,,,,,
