Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,148,160,140,167,184,161,164,155,118,180,199,220,240
Quarterly Results,Expenses,105,118,103,120,124,116,118,124,107,137,145,155,161
Quarterly Results,Operating Profit,42,42,37,47,60,45,46,31,10,43,54,65,80
Quarterly Results,OPM %,29%,27%,26%,28%,32%,28%,28%,20%,9%,24%,27%,29%,33%
Quarterly Results,Other Income,0,6,6,3,1,2,14,5,4,9,8,11,2
Quarterly Results,Interest,3,3,1,0,1,1,2,2,4,3,2,3,5
Quarterly Results,Depreciation,4,5,5,6,7,9,10,10,10,10,11,11,13
Quarterly Results,Profit before tax,35,41,37,44,52,37,49,24,0,39,49,61,64
Quarterly Results,Tax %,26%,26%,27%,20%,28%,19%,25%,27%,486%,24%,28%,29%,21%
Quarterly Results,Net Profit,26,31,27,35,38,30,37,17,-1,30,35,43,50
Quarterly Results,EPS in Rs,2.31,2.46,2.19,2.81,3.02,2.25,2.77,1.31,-0.11,2.26,2.63,3.27,3.79
Quarterly Results,Raw PDF,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Profit & Loss,Sales,590,,,,651,,,,598,,,,839
Profit & Loss,Expenses,422,,,,465,,,,466,,,,598
Profit & Loss,Operating Profit,168,,,,186,,,,132,,,,241
Profit & Loss,OPM %,28%,,,,29%,,,,22%,,,,29%
Profit & Loss,Other Income,7,,,,17,,,,25,,,,30
Profit & Loss,Interest,13,,,,5,,,,9,,,,13
Profit & Loss,Depreciation,15,,,,23,,,,40,,,,45
Profit & Loss,Profit before tax,146,,,,174,,,,110,,,,213
Profit & Loss,Tax %,26%,,,,25%,,,,25%,,,,26%
Profit & Loss,Net Profit,109,,,,130,,,,82,,,,158
Profit & Loss,EPS in Rs,9.67,,,,10.47,,,,6.22,,,,11.95
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%
,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,113,,,,125,,,,133,,,,133
Balance Sheet,Reserves,274,,,,1120,,,,1931,,,,2093
Balance Sheet,Borrowings,291,,,,16,,,,183,,,,200
Balance Sheet,Other Liabilities,92,,,,120,,,,154,,,,218
Balance Sheet,Total Liabilities,770,,,,1380,,,,2401,,,,2644
Balance Sheet,Fixed Assets,257,,,,646,,,,853,,,,1125
Balance Sheet,CWIP,58,,,,37,,,,232,,,,355
Balance Sheet,Investments,17,,,,1,,,,0,,,,0
Balance Sheet,Other Assets,438,,,,695,,,,1315,,,,1163
Balance Sheet,Total Assets,770,,,,1380,,,,2401,,,,2644
,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-5,,,,-7,,,,-16,,,,100
Cash Flows,Cash from Investing Activity,-151,,,,-348,,,,-424,,,,-418
Cash Flows,Cash from Financing Activity,169,,,,439,,,,894,,,,2
Cash Flows,Net Cash Flow,12,,,,84,,,,453,,,,-316
,,,,,,,,,,,,,,
Ratios,Debtor Days,101,,,,145,,,,142,,,,126
Ratios,Inventory Days,221,,,,301,,,,411,,,,324
Ratios,Days Payable,95,,,,99,,,,124,,,,104
Ratios,Cash Conversion Cycle,227,,,,348,,,,429,,,,346
Ratios,Working Capital Days,183,,,,269,,,,384,,,,319
Ratios,ROCE %,,,,,18%,,,,7%,,,,10%
,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,87.09%,87.10%,87.07%,87.07%,81.80%,81.80%,81.79%,81.79%,81.79%,81.78%,81.77%,81.77%
Shareholding Pattern (Quarterly),FIIs,,1.80%,1.49%,1.56%,1.57%,1.87%,2.44%,1.97%,2.22%,2.90%,3.17%,3.32%,3.33%
Shareholding Pattern (Quarterly),DIIs,,8.33%,8.39%,8.35%,8.39%,13.65%,12.99%,11.79%,11.82%,11.55%,11.63%,11.49%,11.43%
Shareholding Pattern (Quarterly),Public,,2.78%,3.03%,3.01%,2.98%,2.67%,2.76%,4.44%,4.16%,3.74%,3.40%,3.41%,3.47%
Shareholding Pattern (Quarterly),No. of Shareholders,,51639,57529,56840,53456,55208,60466,84000,78655,71683,67251,66677,64034
,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,87.07%,,,,81.79%,,,,81.77%
Shareholding Pattern (Yearly),FIIs,,,,,1.57%,,,,2.22%,,,,3.33%
Shareholding Pattern (Yearly),DIIs,,,,,8.39%,,,,11.82%,,,,11.43%
Shareholding Pattern (Yearly),Public,,,,,2.98%,,,,4.16%,,,,3.47%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,53456,,,,78655,,,,64034
,,,,,,,,,,,,,,
