Section,,Sep 2019,Dec 2019,Jun 2020,Sep 2020,Dec 2020,Jun 2021,Dec 2021,Jun 2022,Jun 2023,Mar 2024,Jun 2024,Dec 2024,Mar 2025,Mar 2008,Mar 2009,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Sep 2022,Dec 2022,Sep 2023,Dec 2023,Sep 2024,Mar 2017,Mar 2018
Quarterly Results,Sales,2239.43,2934.17,0.43,0.43,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.26,0.26,,,,,,,,,,,,,,
Quarterly Results,Expenses,2561.71,3570.99,202.47,2.52,0.28,0.46,1.27,0.37,0.44,0.24,0.20,0.24,0.28,,,,,,,,,,,,,,
Quarterly Results,Operating Profit,-322.28,-636.82,-202.04,-2.09,-0.28,-0.46,-1.27,-0.37,-0.44,0.03,0.07,0.02,-0.02,,,,,,,,,,,,,,
Quarterly Results,OPM %,-14.39%,-21.70%,-46986.05%,-486.05%,,,,,,11.11%,25.93%,7.69%,-7.69%,,,,,,,,,,,,,,
Quarterly Results,Other Income,32.29,0.00,0.47,1.12,0.28,0.27,0.83,0.27,0.27,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
Quarterly Results,Interest,37.16,38.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
Quarterly Results,Depreciation,3.75,6.52,2.07,4.14,2.07,1.97,5.89,1.61,1.48,1.42,1.28,1.30,1.28,,,,,,,,,,,,,,
Quarterly Results,Profit before tax,-330.90,-681.97,-203.64,-5.11,-2.07,-2.16,-6.33,-1.71,-1.65,-1.39,-1.21,-1.28,-1.30,,,,,,,,,,,,,,
Quarterly Results,Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-47.48%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,
Quarterly Results,Net Profit,-330.90,-681.97,-203.64,-5.11,-2.07,-2.16,-6.33,-1.72,-1.65,-0.73,-1.21,-1.28,-1.30,,,,,,,,,,,,,,
Quarterly Results,EPS in Rs,-4.50,-9.26,-2.77,-0.07,-0.03,-0.03,-0.09,-0.02,-0.02,-0.01,-0.02,-0.02,-0.02,,,,,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,,,,,,,,0.00,,,1.06,939.60,1163.59,5303.79,2864.80,0.43,0.00,0.00,,,,,,,
Profit & Loss,Expenses,,,,,,,,,,1.83,,,0.99,865.21,1095.58,5027.99,4127.41,3.05,1.25,0.99,,,,,,,
Profit & Loss,Operating Profit,,,,,,,,,,-1.83,,,0.07,74.39,68.01,275.80,-1262.61,-2.62,-1.25,-0.99,,,,,,,
Profit & Loss,OPM %,,,,,,,,,,-71.03%,,,6.60%,7.92%,5.84%,5.20%,-44.07%,-609.30%,,8.33%,,,,,,,
Profit & Loss,Other Income,,,,,,,,,,1.07,,,0.00,3.00,5.56,14.01,115.59,1.80,1.10,1.08,,,,,,,
Profit & Loss,Interest,,,,,,,,,,0.00,,,0.00,9.77,10.57,83.20,65.28,0.00,0.00,0.00,,,,,,,
Profit & Loss,Depreciation,,,,,,,,,,5.69,,,5.10,3.27,5.80,8.83,8.28,7.86,7.86,6.49,,,,,,,
Profit & Loss,Profit before tax,,,,,,,,,,-6.45,,,-5.03,64.35,57.20,197.78,-1220.58,-8.68,-8.01,-6.40,,,,,,,
Profit & Loss,Tax %,,,,,,,,,,-10.23%,,,-14.51%,32.68%,33.44%,20.17%,-0.08%,-13.13%,-15.86%,-12.34%,,,,,,,
Profit & Loss,Net Profit,,,,,,,,,,-5.80,,,-4.31,43.32,38.07,157.89,-1219.62,-7.55,-6.73,-5.61,,,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,,-0.08,,,-0.06,,,2.14,-16.57,-0.10,-0.09,-0.08,,,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,,0.00%,,,0.00%,6.02%,11.43%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,,,,,,73.61,,,73.61,8.70,17.40,,,73.61,73.61,73.61,,,,,,,
Balance Sheet,Reserves,,,,,,,,,,-665.64,,,-669.94,114.56,136.58,,,-647.50,-654.23,-659.84,,,,,,,
Balance Sheet,Borrowings,,,,,,,,,,899.07,,,899.07,195.25,158.79,,,898.45,899.07,899.07,,,,,,,
Balance Sheet,Other Liabilities,,,,,,,,,,32.59,,,31.80,70.96,75.50,,,38.59,34.81,33.93,,,,,,,
Balance Sheet,Total Liabilities,,,,,,,,,,339.63,,,334.54,389.47,388.27,,,363.15,353.26,346.77,,,,,,,
Balance Sheet,Fixed Assets,,,,,,,,,,70.22,,,65.12,131.37,146.63,,,90.27,82.41,75.92,,,,,,,
Balance Sheet,CWIP,,,,,,,,,,0.00,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,,
Balance Sheet,Investments,,,,,,,,,,0.01,,,0.01,2.76,2.96,,,0.01,0.01,0.01,,,,,,,
Balance Sheet,Other Assets,,,,,,,,,,269.40,,,269.41,255.34,238.68,,,272.87,270.84,270.84,,,,,,,
Balance Sheet,Total Assets,,,,,,,,,,339.63,,,334.54,389.47,388.27,,,363.15,353.26,346.77,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,,,,,,-0.97,,,0.58,55.19,85.49,157.98,51.26,2.48,-1.14,1.20,,,,,,,
Cash Flows,Cash from Investing Activity,,,,,,,,,,0.61,,,0.05,-53.94,-8.93,29.63,66.50,-1.44,1.44,0.02,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,,,,,,-0.66,,,-0.73,5.29,-39.10,-186.43,-125.79,-0.28,-0.65,-0.79,,,,,,,
Cash Flows,Net Cash Flow,,,,,,,,,,-1.02,,,-0.10,6.54,37.46,1.19,-8.03,0.77,-0.35,0.43,,,,,,,
