Section,,Sep 2022,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Jun 2022,Dec 2022,Jun 2023,Sep 2023
Quarterly Results,Sales,123,16,41,52,58,47,,,,,,,,,,
Quarterly Results,Expenses,88,12,31,31,33,31,,,,,,,,,,
Quarterly Results,Operating Profit,35,4,10,21,25,17,,,,,,,,,,
Quarterly Results,OPM %,28%,25%,24%,40%,43%,35%,,,,,,,,,,
Quarterly Results,Other Income,0,0,2,1,1,3,,,,,,,,,,
Quarterly Results,Interest,1,1,2,2,3,3,,,,,,,,,,
Quarterly Results,Depreciation,2,1,2,3,3,3,,,,,,,,,,
Quarterly Results,Profit before tax,32,2,8,17,19,14,,,,,,,,,,
Quarterly Results,Tax %,26%,32%,13%,25%,19%,23%,,,,,,,,,,
Quarterly Results,Net Profit,24,1,7,13,16,11,,,,,,,,,,
Quarterly Results,EPS in Rs,23.08,1.35,6.77,12.06,14.77,10.08,,,,,,,,,,
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,164,,,201,11,11,24,33,61,202,,,,
Profit & Loss,Expenses,,,114,,,122,8,6,16,20,29,133,,,,
Profit & Loss,Operating Profit,,,50,,,78,3,4,8,13,32,69,,,,
Profit & Loss,OPM %,,,30%,,,39%,24%,41%,32%,40%,53%,34%,,,,
Profit & Loss,Other Income,,,3,,,5,0,0,0,0,1,1,,,,
Profit & Loss,Interest,,,4,,,10,0,1,1,2,2,2,,,,
Profit & Loss,Depreciation,,,6,,,11,0,1,2,2,2,4,,,,
Profit & Loss,Profit before tax,,,43,,,62,2,3,5,9,28,63,,,,
Profit & Loss,Tax %,,,23%,,,20%,34%,10%,20%,28%,25%,26%,,,,
Profit & Loss,Net Profit,,,39,,,50,1,3,5,7,21,48,,,,
Profit & Loss,EPS in Rs,,,36.03,,,46.12,1320.00,7.60,18.16,6.37,19.89,43.97,,,,
Profit & Loss,Dividend Payout %,,,0%,,,0%,0%,0%,0%,0%,0%,0%,,,,
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,11,,,11,0.01,2,2,10,10,11,,,,
Balance Sheet,Reserves,,,156,,,207,2,4,8,17,37,123,,,,
Balance Sheet,Borrowings,,,60,,,133,7,11,16,17,26,25,,,,
Balance Sheet,Other Liabilities,,,31,,,48,5,12,9,7,20,50,,,,
Balance Sheet,Total Liabilities,,,258,,,399,14,30,36,51,94,209,,,,
Balance Sheet,Fixed Assets,,,107,,,159,11,12,27,28,53,59,,,,
Balance Sheet,CWIP,,,12,,,50,0,8,0,3,2,8,,,,
Balance Sheet,Investments,,,29,,,60,0,1,1,0,5,11,,,,
Balance Sheet,Other Assets,,,110,,,129,3,9,7,20,34,131,,,,
Balance Sheet,Total Assets,,,258,,,399,14,30,36,51,94,209,,,,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,34,,,58,3,11,2,5,35,21,,,,
Cash Flows,Cash from Investing Activity,,,-72,,,-127,-10,-9,-11,-4,-31,-23,,,,
Cash Flows,Cash from Financing Activity,,,32,,,64,7,5,4,9,7,35,,,,
Cash Flows,Net Cash Flow,,,-5,,,-6,-0,7,-6,10,11,33,,,,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,96,,,131,57,36,46,4,24,101,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,96,,,131,57,36,46,4,24,101,,,,
Ratios,Working Capital Days,,,82,,,86,1,-276,-14,61,-15,55,,,,
Ratios,ROCE %,,,24%,,,25%,,24%,27%,30%,50%,55%,,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,72.30%,67.09%,60.61%,60.66%,60.69%,60.69%,,,,,73.27%,67.09%,73.27%,67.09%,67.09%,67.09%
Shareholding Pattern (Quarterly),FIIs,0.09%,0.17%,1.20%,1.03%,0.82%,0.61%,,,,,0.00%,0.62%,0.00%,0.60%,0.58%,0.33%
Shareholding Pattern (Quarterly),DIIs,0.00%,0.00%,2.18%,2.85%,2.24%,1.92%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Quarterly),Public,27.61%,32.73%,36.01%,35.46%,36.26%,36.78%,,,,,26.73%,32.29%,26.73%,32.32%,32.33%,32.58%
Shareholding Pattern (Quarterly),No. of Shareholders,598,1963,2168,2345,3949,4513,,,,,294,886,432,845,1030,1760
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,60.61%,,,60.69%,,,,73.27%,73.27%,67.09%,,,,
Shareholding Pattern (Yearly),FIIs,,,1.20%,,,0.61%,,,,0.00%,0.00%,0.62%,,,,
Shareholding Pattern (Yearly),DIIs,,,2.18%,,,1.92%,,,,0.00%,0.00%,0.00%,,,,
Shareholding Pattern (Yearly),Public,,,36.01%,,,36.78%,,,,26.73%,26.73%,32.29%,,,,
Shareholding Pattern (Yearly),No. of Shareholders,,,2168,,,4513,,,,465,294,886,,,,
,,,,,,,,,,,,,,,,,
